event_id,event_type,block_section_id,km,occurred_at,duration_min,resources_consumed,blocks_invalidated,followup_task_id
EMG-2026-0028,weather,GI-STM-UP,16.53,2026-05-09 12:30,332,ENG-ENR-C,BLK-2025-00794,
EMG-2025-0029,OHE_failure,PV-TBM-DN_SUB,24.85,2025-11-06 09:30,129,TRD-CGL-A;OHE-TC-05,BLK-2026-01341;BLK-2026-01022,TRD-2026-01583
EMG-2026-0030,rail_fracture,ABU-AVD-UP,15.76,2026-05-13 06:15,233,ENG-MJR-B;USFD-SR-04,BLK-2026-00289,ENG-2025-05843
EMG-2026-0031,other,PER-ABU-UP_SUB,10.77,2026-03-05 15:45,119,ENG-AVD-A,,
EMG-2026-0032,cattle_run_over,TKO-AJJ-SINGLE,122.95,2026-03-22 07:30,75,ENG-TI-B,BLK-2025-00375,
EMG-2025-0033,cattle_run_over,BBQ-TNP-DN,4.53,2025-11-09 08:30,68,ENG-GPD-A,,
EMG-2025-0034,point_failure,MBM-GI-DN_SUB,14.32,2025-12-04 10:00,161,SNT-ENR-B,,
EMG-2026-0035,cattle_run_over,BBQ-TNP-UP,4.74,2026-02-21 06:00,52,ENG-TI-A,,
EMG-2025-0036,weather,PON-GPD-UP,41.89,2025-12-19 07:45,501,ENG-MJR-B,,
EMG-2026-0037,other,ABU-AVD-UP_SUB,20.86,2026-02-09 17:15,94,ENG-AVD-B,,
EMG-2026-0038,rail_fracture,BBQ-TNP-DN,2.21,2026-01-03 18:45,296,ENG-GPD-B,BLK-2026-01359,ENG-2025-05738
EMG-2025-0039,OHE_failure,STM-PV-UP_SUB,19.48,2025-12-08 16:15,171,TRD-ENR-B;OHE-TC-05,,TRD-2026-01285
EMG-2026-0040,cattle_run_over,PON-GPD-UP,40.81,2026-05-13 08:30,82,ENG-GI-C,BLK-2026-02070;BLK-2026-02301,
EMG-2026-0041,rail_fracture,PER-ABU-DN,9.74,2026-05-25 20:45,142,ENG-TRL-C;USFD-SR-01,,ENG-2026-05159
EMG-2026-0042,signal_failure,ABU-AVD-UP,15.28,2026-08-20 12:15,113,SNT-MAS-A,BLK-2026-01608,
EMG-2026-0043,rail_fracture,MAS-BBQ-UP,0.74,2026-05-13 11:15,246,ENG-STM-B,,ENG-2026-04334
EMG-2025-0044,signal_failure,TI-TRL-UP,41.23,2025-12-18 09:45,90,SNT-STM-B,BLK-2026-01463,
EMG-2026-0045,other,STM-PV-DN_SUB,17.34,2026-04-20 21:00,170,ENG-MSB-C,,
EMG-2026-0046,cattle_run_over,MJR-PON-DN,29.35,2026-08-15 06:00,43,ENG-GI-A,BLK-2026-00211,
EMG-2025-0047,OHE_failure,MAS-BBQ-DN,1.22,2025-12-04 15:45,141,TRD-MSB-A;OHE-TC-05,,TRD-2026-01285
EMG-2026-0048,signal_failure,MBM-GI-UP_SUB,14.11,2026-08-08 07:15,69,SNT-ENR-A,,
EMG-2026-0049,point_failure,GI-STM-DN_SUB,16.24,2026-02-06 14:45,123,SNT-AVD-C,,SNT-2026-01480
EMG-2025-0050,point_failure,MSB-MS-UP_SUB,2.14,2025-09-13 00:30,161,SNT-GPD-B,,SNT-2025-00710
EMG-2026-0051,other,STM-PV-DN_SUB,17.72,2026-07-16 19:15,85,ENG-GPD-B,,
EMG-2026-0052,rail_fracture,AVD-TI-UP,28.74,2026-06-12 21:15,294,ENG-TNP-C,,
EMG-2026-0053,signal_failure,BBQ-PER-DN,3.01,2026-01-17 12:00,120,SNT-CGL-A,,
EMG-2026-0054,rail_fracture,TI-TRL-UP,35.23,2026-05-12 20:30,218,ENG-MAS-B,BLK-2026-02057;BLK-2026-00339,ENG-2025-04693
EMG-2025-0055,cattle_run_over,TNP-ENR-DN,12.55,2025-11-13 06:15,68,ENG-AVD-B,,
EMG-2026-0056,cattle_run_over,BBQ-TNP-UP,3.15,2026-05-16 06:45,40,ENG-GI-B,,
EMG-2026-0057,signal_failure,AVD-TI-DN_SUB,21.21,2026-03-31 20:45,112,SNT-TRL-B,,
EMG-2025-0058,OHE_failure,MAS-BBQ-DN_SUB,0.58,2025-10-30 14:00,159,TRD-AJJ-A;OHE-TC-04,BLK-2026-01164,
EMG-2026-0059,signal_failure,MSB-MS-UP,1.79,2026-04-08 03:15,136,SNT-PER-A,BLK-2025-01716;BLK-2026-01072,
EMG-2025-0060,weather,GI-STM-DN_SUB,15.20,2025-11-09 16:45,401,ENG-MBM-A,,
EMG-2026-0061,rail_fracture,TI-TRL-UP,32.24,2026-04-04 19:15,281,ENG-ENR-A,BLK-2026-00061,ENG-2025-05609
EMG-2025-0062,weather,PER-ABU-UP_SUB,14.01,2025-10-30 15:15,292,ENG-TNP-B,BLK-2026-01738,
EMG-2025-0063,rail_fracture,PER-ABU-DN,14.41,2025-12-31 08:00,192,ENG-AJJ-C;USFD-SR-01,BLK-2026-02268,
EMG-2025-0064,signal_failure,MBM-GI-DN,14.31,2025-09-27 13:45,94,SNT-ENR-A,BLK-2026-01876,
EMG-2025-0065,other,MSB-MS-UP,0.11,2025-09-18 11:45,169,ENG-AJJ-C,,
EMG-2026-0066,point_failure,PER-ABU-UP_SUB,10.96,2026-04-13 06:30,109,SNT-PER-B,,SNT-2026-00731
EMG-2026-0067,point_failure,BBQ-PER-DN,4.63,2026-08-13 11:30,171,SNT-AVD-A,,SNT-2026-00596
EMG-2026-0068,weather,AVD-TI-UP,24.47,2026-01-22 18:30,311,ENG-GPD-B,,
EMG-2026-0069,signal_failure,MSB-MS-UP_SUB,1.15,2026-04-26 11:00,109,SNT-GI-A,BLK-2025-02289;BLK-2026-01946,
EMG-2026-0070,rail_fracture,ABU-AVD-DN,19.81,2026-02-22 20:45,236,ENG-AVD-B;USFD-SR-04,,ENG-2026-05518
EMG-2026-0071,cattle_run_over,BBQ-TNP-DN,2.52,2026-02-19 05:15,71,ENG-TRL-A,BLK-2026-00535;BLK-2025-00122,
EMG-2026-0072,point_failure,AVD-TI-UP_SUB,25.39,2026-02-08 22:00,150,SNT-TRL-A,BLK-2026-00673,
EMG-2026-0073,OHE_failure,AVD-TI-DN,23.15,2026-06-18 04:15,170,TRD-CGL-B;OHE-TC-03,,
EMG-2026-0074,other,STM-PV-UP_SUB,21.19,2026-06-20 06:45,129,ENG-MS-A,BLK-2025-01561;BLK-2025-02013,
EMG-2026-0075,point_failure,MAS-BBQ-DN_SUB,0.59,2026-01-03 15:15,107,SNT-AVD-B,BLK-2026-00054;BLK-2026-00253,
EMG-2026-0076,OHE_failure,TNP-ENR-DN,11.67,2026-04-16 04:45,200,TRD-MSB-B;OHE-TC-03,BLK-2026-01299,
EMG-2026-0077,cattle_run_over,BBQ-TNP-DN,3.87,2026-06-20 05:30,31,ENG-MBM-C,BLK-2025-01421,
EMG-2026-0078,other,AVD-TI-DN_SUB,23.94,2026-05-23 11:00,216,ENG-AJJ-A,,
EMG-2026-0079,signal_failure,GI-STM-UP_SUB,15.57,2026-06-18 02:00,56,SNT-PER-C,,
EMG-2026-0080,rail_fracture,MAS-BBQ-DN,1.64,2026-06-17 19:45,155,ENG-ENR-A;USFD-SR-04,,ENG-2025-04573
EMG-2025-0081,rail_fracture,TI-TRL-DN,35.13,2025-12-25 19:15,161,ENG-MJR-C;USFD-SR-01,,ENG-2026-04277
EMG-2025-0082,cattle_run_over,PON-GPD-DN,41.75,2025-11-08 05:15,52,ENG-GPD-C,BLK-2026-00378;BLK-2025-01812,
EMG-2026-0083,rail_fracture,MJR-PON-DN,29.18,2026-01-09 15:15,209,ENG-ABU-B,,ENG-2026-04235
EMG-2025-0084,OHE_failure,MSB-MS-DN,1.46,2025-12-31 02:00,176,TRD-GPD-B;OHE-TC-05,,TRD-2026-01414
EMG-2025-0085,point_failure,STM-PV-UP_SUB,19.39,2025-12-26 22:30,128,SNT-AVD-C,,
EMG-2025-0086,point_failure,STM-PV-DN_SUB,20.30,2025-11-17 09:30,166,SNT-AJJ-C,BLK-2026-02332,SNT-2026-01345
EMG-2025-0087,weather,MS-MBM-DN,5.80,2025-12-13 20:00,530,ENG-ABU-A,,
EMG-2026-0088,OHE_failure,MSB-MS-DN_SUB,3.82,2026-05-17 00:00,113,TRD-AVD-B;OHE-TC-02,,TRD-2026-01249
EMG-2025-0089,OHE_failure,GI-STM-DN_SUB,15.50,2025-11-30 10:00,210,TRD-ENR-C;OHE-TC-05,,
EMG-2026-0090,rail_fracture,ABU-AVD-UP,19.75,2026-05-30 19:00,136,ENG-MAS-C;USFD-SR-04,,
EMG-2026-0091,cattle_run_over,PON-GPD-UP,37.62,2026-04-05 08:30,61,ENG-CJ-A,BLK-2026-01566;BLK-2026-00170,
EMG-2025-0092,weather,MS-MBM-DN_SUB,9.07,2025-10-09 11:30,458,ENG-TI-C,,
EMG-2025-0093,other,GI-STM-UP_SUB,15.69,2025-11-10 09:00,75,ENG-TNP-C,BLK-2026-00658;BLK-2025-00544,
EMG-2025-0094,point_failure,PV-TBM-UP_SUB,28.91,2025-10-18 05:30,150,SNT-AJJ-C,BLK-2026-01625,SNT-2026-01205
EMG-2026-0095,rail_fracture,BBQ-TNP-UP,4.21,2026-08-06 10:00,163,ENG-MBM-A,,ENG-2026-06003
EMG-2026-0096,signal_failure,PV-TBM-DN_SUB,23.67,2026-07-02 23:30,120,SNT-CGL-A,,
EMG-2025-0097,signal_failure,TRL-AJJ-UP,56.48,2025-11-06 12:00,118,SNT-PER-C,BLK-2026-00666;BLK-2025-00743,
EMG-2026-0098,weather,BBQ-PER-UP_SUB,4.34,2026-04-23 23:00,582,ENG-PV-B,BLK-2026-01744,
EMG-2026-0099,point_failure,MS-MBM-DN_SUB,11.11,2026-06-07 03:15,82,SNT-TRL-C,,
EMG-2026-0100,point_failure,BBQ-PER-UP_SUB,2.91,2026-04-17 06:45,159,SNT-PER-C,,SNT-2026-00989
EMG-2026-0101,point_failure,MS-MBM-UP_SUB,9.31,2026-01-13 19:45,82,SNT-AJJ-C,,SNT-2025-01303
EMG-2026-0102,other,MAS-BBQ-UP,0.57,2026-06-06 03:15,198,ENG-AJJ-A,BLK-2026-01239,
EMG-2026-0103,rail_fracture,PON-GPD-UP,37.10,2026-04-28 04:30,162,ENG-TI-C,BLK-2026-00366;BLK-2026-02119,ENG-2026-04334
EMG-2026-0104,point_failure,PV-TBM-DN_SUB,28.11,2026-09-01 11:45,169,SNT-STM-A,,SNT-2025-01245
EMG-2025-0105,other,BBQ-PER-DN,3.21,2025-09-15 07:15,96,ENG-MAS-B,,
EMG-2026-0106,other,GI-STM-UP,15.04,2026-06-05 13:00,200,ENG-AVD-B,BLK-2025-01392;BLK-2026-00923,
EMG-2025-0107,weather,MJR-PON-UP,34.70,2025-10-20 07:15,600,ENG-TNP-A,,
EMG-2026-0108,weather,GI-STM-UP,15.96,2026-06-02 22:45,389,ENG-AVD-A,,
EMG-2025-0109,weather,CGL-WJ-SINGLE,78.06,2025-11-16 23:15,573,ENG-GPD-B,,
EMG-2026-0110,other,MS-MBM-UP,6.62,2026-01-08 07:00,110,ENG-GI-A,,
EMG-2026-0111,signal_failure,MBM-GI-UP_SUB,14.49,2026-07-03 12:15,62,SNT-TRL-B,BLK-2026-01932,
EMG-2025-0112,other,MAS-BBQ-UP_SUB,1.75,2025-10-05 08:30,207,ENG-TI-A,,
EMG-2026-0113,rail_fracture,PER-ABU-UP,13.45,2026-05-22 12:45,120,ENG-PER-C,,ENG-2026-04162
EMG-2025-0114,cattle_run_over,TNP-ENR-UP,13.33,2025-09-28 07:00,41,ENG-CJ-B,,
EMG-2026-0115,signal_failure,PER-ABU-UP_SUB,8.62,2026-06-03 09:15,50,SNT-GPD-B,BLK-2026-02181,
EMG-2025-0116,OHE_failure,AVD-TI-DN_SUB,26.82,2025-09-17 10:00,145,TRD-CGL-A;OHE-TC-05,BLK-2026-00569;BLK-2026-01203,TRD-2026-01731
EMG-2026-0117,weather,MAS-BBQ-DN_SUB,0.04,2026-05-06 01:30,329,ENG-GPD-B,BLK-2025-00746,
EMG-2026-0118,point_failure,MBM-GI-DN_SUB,13.28,2026-01-26 06:30,113,SNT-TRL-C,BLK-2026-00774,SNT-2025-01303
EMG-2025-0119,rail_fracture,PER-ABU-DN,13.55,2025-09-14 04:00,288,ENG-CJ-A;USFD-SR-01,,
EMG-2026-0120,cattle_run_over,BBQ-TNP-DN,4.92,2026-06-03 05:45,89,ENG-MS-C,,
EMG-2026-0121,signal_failure,PER-ABU-DN_SUB,14.89,2026-08-08 18:30,60,SNT-GPD-A,,
EMG-2026-0122,cattle_run_over,TNP-ENR-DN,8.85,2026-05-21 07:45,82,ENG-TRL-B,,
EMG-2026-0123,point_failure,MS-MBM-UP_SUB,6.11,2026-06-25 23:30,145,SNT-ENR-A,BLK-2025-02009,
EMG-2025-0124,point_failure,BBQ-PER-DN_SUB,4.57,2025-09-15 08:45,91,SNT-TBM-B,,SNT-2025-00724
EMG-2026-0125,signal_failure,TMLP-TKO-SINGLE,109.42,2026-05-02 15:00,62,SNT-MS-B,,
EMG-2025-0126,signal_failure,MSB-MS-DN_SUB,3.49,2025-10-13 00:45,136,SNT-CJ-B,BLK-2026-01412,
EMG-2025-0127,other,TRL-AJJ-DN_SUB,52.96,2025-09-29 22:45,185,ENG-STM-C,BLK-2026-01768,
EMG-2026-0128,point_failure,MBM-GI-UP_SUB,12.64,2026-05-27 16:15,124,SNT-ENR-A,BLK-2026-01427,
EMG-2025-0129,OHE_failure,GI-STM-DN_SUB,16.70,2025-09-20 09:00,191,TRD-MAS-B;OHE-TC-03,BLK-2026-00172,TRD-2026-01876
EMG-2026-0130,point_failure,STM-PV-DN,17.24,2026-03-02 17:45,117,SNT-PER-A,,SNT-2026-01338
EMG-2026-0131,point_failure,STM-PV-UP_SUB,21.16,2026-05-12 13:30,176,SNT-TNP-B,,SNT-2026-00538
EMG-2026-0132,other,BBQ-PER-UP,3.05,2026-04-25 20:30,181,ENG-GI-C,BLK-2026-01689,
EMG-2025-0133,point_failure,AVD-TI-UP_SUB,22.71,2025-09-16 14:15,85,SNT-CGL-B,,SNT-2026-01045
EMG-2026-0134,other,TRL-AJJ-DN,53.06,2026-04-16 06:30,160,ENG-TI-C,,
EMG-2026-0135,rail_fracture,BBQ-TNP-DN,2.28,2026-04-26 00:45,225,ENG-MJR-B;USFD-SR-04,,ENG-2026-04971
EMG-2026-0136,rail_fracture,BBQ-TNP-UP,4.94,2026-04-11 03:15,219,ENG-AVD-A;USFD-SR-04,,ENG-2026-05159
EMG-2026-0137,OHE_failure,MSB-MS-DN,2.12,2026-05-17 03:15,211,TRD-GPD-C;OHE-TC-07,BLK-2026-00937;BLK-2025-00891,TRD-2026-01661
EMG-2025-0138,weather,PER-ABU-UP,5.85,2025-10-09 11:30,329,ENG-STM-C,,
EMG-2026-0139,rail_fracture,TI-TRL-DN,40.57,2026-06-19 00:45,239,ENG-TRL-C,,
EMG-2026-0140,rail_fracture,TRL-AJJ-DN,50.16,2026-05-05 19:45,193,ENG-CJ-A;USFD-SR-01,BLK-2026-00140;BLK-2026-00231,ENG-2026-04272
EMG-2026-0141,OHE_failure,AVD-TI-DN,23.83,2026-08-05 19:00,122,TRD-CGL-A;OHE-TC-06,BLK-2025-00541;BLK-2026-01598,TRD-2026-01502
EMG-2025-0142,rail_fracture,BBQ-PER-DN,2.96,2025-11-13 18:30,134,ENG-PER-C,,ENG-2026-05317
EMG-2026-0143,rail_fracture,PON-GPD-DN,43.48,2026-01-26 12:00,188,ENG-MS-C,,ENG-2026-04133
EMG-2026-0144,point_failure,MSB-MS-UP,3.18,2026-05-31 18:45,171,SNT-ENR-A,BLK-2026-00903;BLK-2026-02233,SNT-2026-00518
EMG-2025-0145,point_failure,MBM-GI-UP_SUB,12.88,2025-10-20 03:45,142,SNT-ENR-B,,SNT-2025-01219
EMG-2025-0146,rail_fracture,BBQ-PER-DN,2.82,2025-09-13 00:45,217,ENG-AJJ-C,,
EMG-2025-0147,weather,TI-TRL-UP,37.09,2025-12-19 11:15,589,ENG-MS-B,,
EMG-2026-0148,weather,PER-ABU-UP,14.84,2026-01-05 22:00,400,ENG-AVD-A,BLK-2026-02015,
EMG-2026-0149,weather,BBQ-PER-DN,2.70,2026-06-24 07:15,499,ENG-TNP-B,,
EMG-2026-0150,rail_fracture,PER-ABU-DN,5.42,2026-03-31 15:00,197,ENG-CGL-B;USFD-SR-04,,ENG-2026-04471
EMG-2025-0151,point_failure,MAS-BBQ-DN_SUB,0.88,2025-09-13 03:30,148,SNT-CGL-A,BLK-2026-02067;BLK-2026-01894,
EMG-2026-0152,OHE_failure,ABU-AVD-UP,15.23,2026-08-16 01:15,106,TRD-GPD-B;OHE-TC-07,,
EMG-2026-0153,point_failure,BBQ-PER-DN_SUB,4.56,2026-01-26 13:30,121,SNT-AVD-C,,
EMG-2026-0154,other,BBQ-TNP-UP,4.61,2026-08-11 20:15,102,ENG-TI-A,,
EMG-2026-0155,signal_failure,MBM-GI-UP_SUB,14.87,2026-05-07 17:15,127,SNT-AJJ-C,,
EMG-2025-0156,rail_fracture,BBQ-TNP-DN,4.12,2025-09-24 12:30,237,ENG-MS-A,BLK-2025-00990,
EMG-2026-0157,point_failure,MAS-BBQ-DN,0.64,2026-01-10 22:15,139,SNT-PER-A,,SNT-2026-00700
EMG-2026-0158,cattle_run_over,TNP-ENR-UP,12.77,2026-07-09 07:15,86,ENG-MSB-B,,
EMG-2025-0159,other,TI-TRL-DN_SUB,34.18,2025-09-21 18:45,67,ENG-GI-B,,
EMG-2026-0160,rail_fracture,BBQ-TNP-DN,2.42,2026-06-10 00:45,187,ENG-MAS-B;USFD-SR-04,,ENG-2025-05514
EMG-2026-0161,cattle_run_over,TNP-ENR-UP,12.32,2026-08-14 05:45,30,ENG-PV-A,,
EMG-2025-0162,OHE_failure,STM-PV-UP_SUB,17.85,2025-09-09 00:15,134,TRD-GI-C;OHE-TC-05,,
EMG-2026-0163,point_failure,ABU-AVD-UP,17.70,2026-09-01 05:15,113,SNT-GI-A,,
EMG-2026-0164,signal_failure,PER-ABU-DN_SUB,14.06,2026-08-24 02:15,148,SNT-MAS-B,BLK-2026-01579,
EMG-2026-0165,cattle_run_over,BBQ-TNP-UP,2.93,2026-05-06 05:30,86,ENG-TI-A,,
EMG-2026-0166,cattle_run_over,TNP-ENR-UP,6.23,2026-04-27 05:45,71,ENG-MSB-A,,
EMG-2025-0167,point_failure,MSB-MS-DN_SUB,0.00,2025-10-14 00:15,117,SNT-ENR-A,,SNT-2025-01303
EMG-2026-0168,cattle_run_over,MJR-PON-DN,27.34,2026-02-22 05:45,80,ENG-PV-B,,
EMG-2026-0169,point_failure,TRL-AJJ-DN_SUB,54.89,2026-06-28 22:00,111,SNT-TBM-A,,SNT-2026-00989
EMG-2026-0170,point_failure,MBM-GI-DN_SUB,14.95,2026-08-22 17:45,132,SNT-GPD-C,BLK-2025-02009,SNT-2026-00594
EMG-2026-0171,cattle_run_over,ENR-MJR-DN,19.64,2026-05-27 06:30,87,ENG-AVD-A,,
EMG-2026-0172,signal_failure,GI-STM-UP_SUB,16.86,2026-07-04 03:15,72,SNT-STM-B,BLK-2026-01957;BLK-2025-01607,
EMG-2025-0173,OHE_failure,GI-STM-DN_SUB,15.85,2025-10-03 05:45,151,TRD-MSB-C;OHE-TC-06,BLK-2026-01432;BLK-2026-00558,TRD-2026-01731
EMG-2026-0174,cattle_run_over,PON-GPD-UP,44.34,2026-07-10 06:15,87,ENG-PER-B,,
EMG-2025-0175,other,TRL-AJJ-DN,58.21,2025-09-28 15:15,193,ENG-TRL-C,BLK-2026-00538;BLK-2026-00931,
EMG-2025-0176,point_failure,STM-PV-UP_SUB,22.87,2025-12-22 14:00,122,SNT-PER-C,BLK-2026-00288;BLK-2026-00995,SNT-2025-00711
EMG-2026-0177,point_failure,TI-TRL-DN,35.83,2026-07-25 18:15,132,SNT-STM-A,,SNT-2025-00711
EMG-2026-0178,OHE_failure,BBQ-PER-DN,4.41,2026-05-03 07:30,138,TRD-MAS-A;OHE-TC-08,,TRD-2026-01208
EMG-2026-0179,point_failure,GI-STM-DN_SUB,15.80,2026-07-09 09:45,72,SNT-PER-A,BLK-2026-02039;BLK-2026-02140,SNT-2026-00559
EMG-2026-0180,signal_failure,MS-MBM-UP,7.30,2026-01-31 06:15,108,SNT-GI-B,,
