defect_id,asset_id,defect_type,severity_at_raise,raised_date,attended_date,days_open,temporary_repair_applied,escalated,escalation_type,escalation_date
DFT-2026-00073,TO-ENR-02,crossing_wear,minor,2026-01-30,2026-03-21,50,false,true,failure,2026-02-16
DFT-2025-00074,RL-MJRPON-09,corrugation,2,2025-11-23,2025-12-07,14,false,false,,
DFT-2025-00075,TO-MAS-03,switch_wear,minor,2025-04-10,2025-04-23,13,false,false,,
DFT-2026-00076,BL-AVD-03,drainage_choke,minor,2026-07-11,2026-08-04,24,false,true,speed_restriction,2026-07-18
DFT-2026-00077,RL-TRLAJJ-07,weld_failure,3,2026-08-01,,37,false,false,,
DFT-2025-00078,IL-MAS-01,relay_fault,minor,2025-04-22,2025-06-08,47,false,false,,
DFT-2025-00079,SL-ABUAVD-05,cracked_sleeper,minor,2025-10-02,2025-11-24,53,false,true,speed_restriction,2025-11-10
DFT-2025-00080,LC-CGLWJ-02,surface_defect,minor,2025-04-09,2025-04-28,19,false,false,,
DFT-2025-00081,OHE-AVDTI-14,hard_spot,minor,2025-05-21,2025-07-07,47,true,true,punctuality_incident,2025-05-22
DFT-2026-00082,BL-MSMBM-07,drainage_choke,minor,2026-08-17,,21,false,false,,
DFT-2025-00083,TO-AJJ-10,switch_wear,critical,2025-04-22,2025-04-23,1,true,false,,
DFT-2025-00084,RL-ABUAVD-12,rail_flaw,3,2025-04-18,2025-05-05,17,false,false,,
DFT-2025-00085,PT-PER-04,obstruction,minor,2025-08-07,2025-09-25,49,false,false,,
DFT-2025-00086,SL-ENRMJR-02,fastening_failure,major,2025-12-11,2025-12-22,11,false,false,,
DFT-2025-00087,SL-AVDTI-09,cracked_sleeper,minor,2025-11-29,2025-12-31,32,false,true,speed_restriction,2025-12-25
DFT-2026-00088,RL-MJRPON-10,wear,3,2026-07-26,2026-08-24,29,false,false,,
DFT-2025-00089,SG-AVDTI-06,lamp_failure,minor,2025-12-13,2026-01-13,31,false,false,,
DFT-2025-00090,OHE-AVDTI-12,height_stagger,minor,2025-08-02,2025-09-22,51,true,true,punctuality_incident,2025-09-12
DFT-2025-00091,AC-AVDTI-07,reset_failure,critical,2025-06-17,2025-06-20,3,true,false,,
DFT-2025-00092,CW-ABUAVD-06,burn_mark,minor,2025-12-05,2025-12-19,14,true,false,,
DFT-2026-00093,PT-BBQ-03,motor_fault,minor,2026-07-17,,52,false,true,punctuality_incident,2026-08-17
DFT-2025-00094,OHE-MJRPON-05,hard_spot,major,2025-09-02,2025-09-18,16,true,false,,
DFT-2026-00095,BL-TRL-04,fouling,major,2026-01-11,2026-01-31,20,false,false,,
DFT-2025-00096,RL-MSBMS-05,rail_flaw,3,2025-05-02,2025-06-09,38,true,false,,
DFT-2026-00097,BL-TRL-03,fouling,critical,2026-04-08,2026-04-14,6,false,false,,
DFT-2026-00098,TO-BBQ-11,crossing_wear,minor,2026-09-05,,2,false,false,,
DFT-2025-00099,OHE-GPD-01,hard_spot,minor,2025-07-23,2025-09-19,58,false,false,,
DFT-2026-00100,PT-MS-12,motor_fault,critical,2026-01-04,2026-01-10,6,false,true,failure,2026-01-05
DFT-2026-00101,SG-TITRL-17,aspect_defect,major,2026-05-31,2026-06-06,6,false,false,,
DFT-2025-00102,TC-CGLWJ-03,bonding_defect,major,2025-08-20,2025-09-11,22,false,false,,
DFT-2026-00103,RL-TRLAJJ-28,wear,3,2026-08-07,2026-08-27,20,false,false,,
DFT-2026-00104,INS-TRLAJJ-18,cracked_insulator,minor,2026-05-11,2026-07-14,64,false,false,,
DFT-2026-00105,SL-WJCJ-01,cracked_sleeper,minor,2026-08-16,,22,false,true,speed_restriction,2026-09-05
DFT-2026-00106,BL-AVDTI-06,ballast_deficiency,minor,2026-08-29,,9,false,false,,
DFT-2025-00107,SG-TRLAJJ-07,aspect_defect,minor,2025-03-30,2025-05-13,44,false,true,failure,2025-04-15
DFT-2025-00108,OHE-TITRL-07,hard_spot,minor,2025-10-25,2025-11-13,19,false,false,,
DFT-2025-00109,PT-PER-09,obstruction,minor,2025-08-27,2025-10-13,47,false,false,,
DFT-2026-00110,SL-TNPENR-04,cracked_sleeper,major,2026-04-30,2026-05-11,11,false,false,,
DFT-2026-00111,RL-TITRL-03,rail_flaw,2,2026-05-06,2026-05-25,19,true,false,,
DFT-2025-00112,RL-STMPV-07,wear,2,2025-05-03,2025-05-21,18,false,false,,
DFT-2025-00113,INS-TITRL-01,flashover_mark,minor,2025-09-19,2025-10-19,30,true,false,,
DFT-2026-00114,SL-MASBBQ-03,cracked_sleeper,major,2026-08-13,2026-09-02,20,false,true,speed_restriction,2026-08-25
DFT-2025-00115,PT-MS-04,detection_failure,minor,2025-11-30,2026-01-25,56,false,false,,
DFT-2025-00116,RL-STMPV-15,wear,IMDT,2025-04-13,2025-04-14,1,true,false,,
DFT-2025-00117,TC-AVDTI-07,bonding_defect,minor,2025-12-11,2026-01-12,32,false,true,punctuality_incident,2026-01-08
DFT-2025-00118,BL-TBM-05,ballast_deficiency,minor,2025-12-26,2026-01-07,12,false,false,,
DFT-2025-00119,MST-GISTM-02,corrosion,major,2025-10-29,2025-11-05,7,false,false,,
DFT-2025-00120,CW-ENRMJR-01,burn_mark,critical,2025-09-07,2025-09-08,1,false,false,,
DFT-2026-00121,RL-WJCJ-09,corrugation,3,2026-01-26,2026-02-15,20,false,true,speed_restriction,2026-02-09
DFT-2026-00122,TO-MAS-04,switch_wear,major,2026-08-28,,10,true,false,,
DFT-2026-00123,RL-TRLAJJ-51,corrugation,2,2026-06-24,2026-07-05,11,false,false,,
DFT-2026-00124,SL-PERABU-10,cracked_sleeper,minor,2026-07-05,2026-08-05,31,false,false,,
DFT-2025-00125,TO-BBQ-05,gauge_defect,minor,2025-04-21,2025-05-09,18,false,true,speed_restriction,2025-05-02
DFT-2025-00126,TC-TNPENR-07,shunt_failure,major,2025-11-16,2025-12-02,16,false,false,,
DFT-2025-00127,TO-BBQ-09,switch_wear,minor,2025-11-24,2025-12-23,29,false,false,,
DFT-2025-00128,BL-TNPENR-06,drainage_choke,minor,2025-03-17,2025-05-02,46,false,false,,
DFT-2025-00129,TO-MSB-05,crossing_wear,major,2025-12-13,2025-12-22,9,false,false,,
DFT-2025-00130,OHE-MS-03,height_stagger,minor,2025-07-28,2025-09-07,41,true,false,,
DFT-2025-00131,SL-ABUAVD-08,cracked_sleeper,major,2025-09-08,2025-09-27,19,false,false,,
DFT-2025-00132,TO-AJJ-08,gauge_defect,minor,2025-07-10,2025-08-02,23,false,false,,
DFT-2026-00133,BL-MAS-04,drainage_choke,minor,2026-04-11,2026-04-23,12,false,false,,
DFT-2026-00134,SG-TNPENR-06,aspect_defect,major,2026-07-21,2026-08-08,18,false,true,punctuality_incident,2026-08-07
DFT-2025-00135,SG-TRLAJJ-36,lamp_failure,minor,2025-07-16,2025-08-08,23,false,false,,
DFT-2025-00136,AC-PONGPD-04,reset_failure,minor,2025-12-29,2026-02-18,51,false,false,,
DFT-2025-00137,TO-TBM-05,crossing_wear,critical,2025-12-06,2025-12-11,5,false,false,,
DFT-2025-00138,PT-MAS-16,detection_failure,minor,2025-06-10,2025-07-13,33,true,false,,
DFT-2026-00139,LC-TRLAJJ-01,surface_defect,minor,2026-04-05,2026-05-03,28,true,false,,
DFT-2025-00140,BL-MAS-05,ballast_deficiency,minor,2025-10-16,2025-12-18,63,false,false,,
DFT-2025-00141,SL-TRLAJJ-11,cracked_sleeper,critical,2025-04-08,2025-04-11,3,false,false,,
DFT-2025-00142,PT-CGL-02,motor_fault,major,2025-10-11,2025-11-02,22,false,false,,
DFT-2025-00143,MST-MJRPON-02,corrosion,minor,2025-11-27,2025-12-12,15,false,false,,
DFT-2025-00144,SL-TITRL-11,cracked_sleeper,minor,2025-06-02,2025-07-05,33,false,false,,
DFT-2025-00145,BL-MAS-07,fouling,major,2025-11-17,2025-12-07,20,false,false,,
DFT-2025-00146,OHE-PONGPD-06,height_stagger,minor,2025-04-10,2025-05-28,48,false,true,failure,2025-05-25
DFT-2026-00147,RL-TRLAJJ-15,weld_failure,2,2026-02-22,2026-03-12,18,true,false,,
DFT-2025-00148,SL-STMPV-05,cracked_sleeper,minor,2025-11-13,2025-12-01,18,false,false,,
DFT-2025-00149,RL-AVDTI-04,wear,3,2025-10-23,2025-12-31,69,false,true,failure,2025-12-23
DFT-2025-00150,RL-STMPV-02,rail_flaw,3,2025-05-25,2025-06-23,29,true,false,,
DFT-2025-00151,MST-TRLAJJ-10,corrosion,minor,2025-11-20,2026-01-18,59,true,false,,
DFT-2025-00152,RL-TITRL-15,corrugation,1,2025-08-13,2025-08-20,7,true,false,,
DFT-2026-00153,RL-PONGPD-04,wear,2,2026-01-10,2026-01-16,6,false,false,,
DFT-2026-00154,OHE-MSMBM-02,height_stagger,major,2026-08-10,2026-08-30,20,false,false,,
DFT-2026-00155,RL-ABUAVD-02,corrugation,2,2026-06-04,2026-06-19,15,true,false,,
DFT-2025-00156,TO-TNP-04,crossing_wear,critical,2025-08-07,2025-08-11,4,false,false,,
DFT-2025-00157,RL-TRLAJJ-65,rail_flaw,3,2025-08-07,2025-10-16,70,false,false,,
DFT-2025-00158,MST-STMPV-04,corrosion,major,2025-09-30,2025-10-13,13,false,false,,
DFT-2026-00159,TO-MSB-12,gauge_defect,major,2026-02-16,2026-03-05,17,true,false,,
DFT-2025-00160,TO-MAS-09,gauge_defect,major,2025-06-26,2025-07-05,9,false,false,,
DFT-2026-00161,SG-TRLAJJ-14,lamp_failure,minor,2026-03-07,2026-03-22,15,true,false,,
DFT-2025-00162,AC-TRLAJJ-15,reset_failure,major,2025-11-23,2025-11-29,6,false,false,,
DFT-2026-00163,AC-TNPENR-02,reset_failure,minor,2026-03-21,2026-04-03,13,true,false,,
DFT-2026-00164,SL-AVDTI-01,cracked_sleeper,critical,2026-03-11,2026-03-18,7,true,false,,
DFT-2025-00165,MST-PERABU-14,foundation_defect,minor,2025-08-24,2025-09-05,12,true,false,,
DFT-2025-00166,TO-TBM-03,switch_wear,major,2025-07-19,2025-08-04,16,false,false,,
DFT-2025-00167,TO-ENR-01,gauge_defect,major,2025-07-21,2025-08-07,17,false,false,,
DFT-2025-00168,OHE-TRLAJJ-20,height_stagger,major,2025-04-12,2025-04-29,17,false,false,,
DFT-2025-00169,AC-GISTM-04,head_fault,minor,2025-06-30,2025-07-25,25,false,true,failure,2025-07-02
DFT-2025-00170,SG-BBQPER-04,lamp_failure,minor,2025-09-26,2025-11-22,57,false,false,,
DFT-2025-00171,RL-TRLAJJ-60,weld_failure,1,2025-04-11,2025-04-13,2,false,false,,
DFT-2026-00172,CW-MASBBQ-03,burn_mark,critical,2026-07-11,2026-07-14,3,false,false,,
DFT-2025-00173,TO-MAS-10,crossing_wear,minor,2025-06-07,2025-06-17,10,false,false,,
DFT-2025-00174,OHE-TBM-03,hard_spot,minor,2025-07-14,2025-07-26,12,false,false,,
DFT-2026-00175,TO-BBQ-11,switch_wear,major,2026-04-24,2026-05-01,7,false,false,,
DFT-2025-00176,SL-PERABU-11,cracked_sleeper,major,2025-09-29,2025-10-09,10,false,false,,
DFT-2026-00177,RL-TRLAJJ-16,rail_flaw,IMDT,2026-03-06,2026-03-08,2,true,false,,
DFT-2026-00178,RL-BBQPER-03,weld_failure,3,2026-03-23,2026-04-19,27,false,false,,
DFT-2026-00179,SG-BBQTNP-01,lamp_failure,minor,2026-07-22,,47,false,true,speed_restriction,2026-08-13
DFT-2025-00180,SL-TRLAJJ-05,cracked_sleeper,minor,2025-12-21,2026-02-06,47,false,false,,
DFT-2026-00181,SL-BBQPER-04,fastening_failure,minor,2026-01-16,2026-03-03,46,false,true,speed_restriction,2026-02-09
DFT-2026-00182,CW-AVDTI-03,burn_mark,minor,2026-02-17,2026-03-08,19,false,false,,
DFT-2025-00183,OHE-ABUAVD-07,hard_spot,critical,2025-12-05,2025-12-07,2,false,false,,
DFT-2025-00184,SL-AVDTI-11,cracked_sleeper,critical,2025-07-18,2025-07-24,6,false,false,,
DFT-2025-00185,RL-TRLAJJ-65,weld_failure,3,2025-06-19,2025-08-21,63,false,false,,
DFT-2026-00186,RL-MASBBQ-03,corrugation,3,2026-02-20,2026-04-14,53,true,false,,
DFT-2025-00187,MST-STMPV-04,corrosion,minor,2025-08-11,2025-09-27,47,false,true,punctuality_incident,2025-08-25
DFT-2025-00188,RL-TITRL-20,wear,3,2025-07-14,2025-08-02,19,false,false,,
DFT-2026-00189,PT-MAS-06,motor_fault,major,2026-03-07,2026-03-22,15,false,false,,
DFT-2026-00190,OHE-MSB-03,hard_spot,major,2026-08-17,2026-09-02,16,true,false,,
DFT-2025-00191,PT-PER-09,detection_failure,major,2025-10-25,2025-11-14,20,false,false,,
DFT-2026-00192,RL-BBQPER-07,rail_flaw,2,2026-08-20,,18,false,false,,
DFT-2025-00193,RL-PERABU-05,rail_flaw,2,2025-04-07,2025-04-17,10,true,true,speed_restriction,2025-04-17
DFT-2026-00194,AC-MSBMS-01,reset_failure,minor,2026-06-11,2026-07-21,40,false,false,,
DFT-2026-00195,SG-ABUAVD-04,aspect_defect,minor,2026-07-19,2026-08-07,19,false,false,,
DFT-2026-00196,TC-MSMBM-12,shunt_failure,major,2026-07-23,2026-08-09,17,false,false,,
DFT-2025-00197,TC-BBQTNP-01,bonding_defect,critical,2025-04-18,2025-04-21,3,false,false,,
DFT-2025-00198,SL-AVDTI-10,fastening_failure,minor,2025-07-27,2025-08-23,27,true,false,,
DFT-2026-00199,MST-TITRL-19,corrosion,minor,2026-08-19,,19,false,false,,
DFT-2026-00200,RL-PONGPD-04,corrugation,IMDT,2026-08-20,2026-08-22,2,false,false,,
DFT-2026-00201,SG-ENRMJR-08,lamp_failure,minor,2026-06-09,2026-07-17,38,true,true,punctuality_incident,2026-07-14
DFT-2026-00202,SL-MASBBQ-02,fastening_failure,minor,2026-01-28,2026-03-11,42,false,true,speed_restriction,2026-03-09
DFT-2025-00203,RL-TRLAJJ-32,corrugation,1,2025-06-24,2025-06-29,5,false,false,,
DFT-2026-00204,RL-TRLAJJ-03,weld_failure,3,2026-08-08,,30,false,false,,
DFT-2025-00205,MST-TRLAJJ-36,corrosion,minor,2025-09-20,2025-11-16,57,false,false,,
DFT-2025-00206,BR-MJRPON-01,bearing_defect,minor,2025-10-28,2025-11-12,15,true,false,,
DFT-2026-00207,BL-ENRMJR-05,fouling,minor,2026-06-25,2026-07-12,17,true,false,,
DFT-2026-00208,OHE-AVDTI-15,hard_spot,major,2026-01-15,2026-02-05,21,false,false,,
DFT-2025-00209,MST-TITRL-19,corrosion,minor,2025-04-10,2025-06-16,67,false,false,,
DFT-2026-00210,OHE-PERABU-13,hard_spot,minor,2026-02-21,2026-05-02,70,false,true,failure,2026-03-08
DFT-2025-00211,BL-TRLAJJ-12,ballast_deficiency,major,2025-10-23,2025-10-28,5,false,false,,
DFT-2025-00212,BL-STMPV-06,fouling,minor,2025-08-19,2025-10-13,55,false,true,speed_restriction,2025-09-30
DFT-2026-00213,TC-ABUAVD-04,shunt_failure,major,2026-09-01,,6,false,true,punctuality_incident,2026-09-04
DFT-2025-00214,RL-PVTBM-08,corrugation,2,2025-08-31,2025-09-24,24,false,false,,
DFT-2025-00215,BR-TITRL-01,corrosion,minor,2025-06-05,2025-08-11,67,false,true,speed_restriction,2025-07-22
DFT-2026-00216,CW-CGLWJ-04,burn_mark,major,2026-03-13,2026-03-28,15,true,false,,
DFT-2025-00217,BL-TKOAJJ-05,fouling,minor,2025-07-04,2025-07-20,16,false,false,,
DFT-2025-00218,RL-MSBMS-06,corrugation,2,2025-12-06,2025-12-21,15,true,true,punctuality_incident,2025-12-10
DFT-2026-00219,BL-PERABU-09,fouling,minor,2026-08-09,2026-08-31,22,false,false,,
DFT-2025-00220,OHE-AVDTI-16,hard_spot,major,2025-08-15,2025-08-27,12,true,false,,
DFT-2026-00221,TC-PVTBM-08,shunt_failure,minor,2026-09-03,,4,false,false,,
DFT-2026-00222,OHE-TRL-01,height_stagger,minor,2026-02-06,2026-03-21,43,true,false,,
DFT-2026-00223,TC-TRLAJJ-33,bonding_defect,minor,2026-08-13,,25,false,false,,
DFT-2026-00224,SG-MASBBQ-04,aspect_defect,critical,2026-06-15,2026-06-16,1,false,false,,
DFT-2026-00225,AC-PVTBM-02,reset_failure,minor,2026-09-02,,5,false,false,,
DFT-2025-00226,OHE-CGLWJ-09,height_stagger,minor,2025-12-02,2026-02-02,62,false,false,,
DFT-2026-00227,BL-AJJ-04,drainage_choke,major,2026-07-30,2026-08-10,11,true,false,,
DFT-2026-00228,TO-BBQ-10,crossing_wear,minor,2026-04-23,2026-06-25,63,false,true,speed_restriction,2026-06-18
DFT-2026-00229,AC-TKOAJJ-01,reset_failure,minor,2026-07-21,,48,false,false,,
DFT-2026-00230,TO-CGL-06,gauge_defect,major,2026-05-16,2026-05-24,8,true,false,,
DFT-2025-00231,RL-TRLAJJ-43,corrugation,1,2025-05-26,2025-05-29,3,false,false,,
DFT-2026-00232,SL-BBQPER-03,fastening_failure,critical,2026-04-22,2026-04-28,6,true,false,,
DFT-2025-00233,PT-AJJ-05,motor_fault,minor,2025-06-10,2025-08-10,61,true,true,punctuality_incident,2025-06-29
DFT-2025-00234,TO-GPD-05,crossing_wear,minor,2025-04-11,2025-05-04,23,true,false,,
DFT-2026-00235,AC-AVDTI-01,reset_failure,major,2026-06-30,2026-07-09,9,false,false,,
DFT-2025-00236,BL-MJRPON-05,ballast_deficiency,minor,2025-09-08,2025-09-29,21,true,false,,
DFT-2025-00237,AC-GISTM-02,head_fault,minor,2025-07-31,2025-09-08,39,false,false,,
DFT-2026-00238,BL-BBQPER-02,drainage_choke,minor,2026-04-20,2026-05-09,19,false,false,,
DFT-2026-00239,RL-TRLAJJ-05,rail_flaw,IMDT,2026-03-01,2026-03-03,2,true,false,,
DFT-2025-00240,SL-PERABU-13,cracked_sleeper,minor,2025-08-06,2025-09-05,30,false,false,,
DFT-2026-00241,SG-MBMGI-01,lamp_failure,minor,2026-06-18,2026-07-07,19,false,false,,
DFT-2026-00242,BL-CGL-01,ballast_deficiency,minor,2026-03-31,2026-05-28,58,false,true,speed_restriction,2026-05-22
DFT-2026-00243,CW-TRLAJJ-10,wire_wear,major,2026-01-30,2026-02-18,19,false,false,,
DFT-2025-00244,SL-GISTM-04,fastening_failure,minor,2025-10-04,2025-11-23,50,false,true,speed_restriction,2025-11-22
DFT-2025-00245,RL-PVTBM-14,wear,3,2025-04-14,2025-05-24,40,true,false,,
DFT-2025-00246,RL-PVTBM-14,wear,3,2025-08-16,2025-10-26,71,false,true,speed_restriction,2025-09-05
DFT-2026-00247,SL-TRLAJJ-22,cracked_sleeper,minor,2026-04-25,2026-06-26,62,false,false,,
DFT-2026-00248,OHE-BBQPER-02,hard_spot,major,2026-04-10,2026-04-29,19,false,true,failure,2026-04-25
DFT-2026-00249,BL-ENRMJR-06,fouling,critical,2026-01-22,2026-01-29,7,true,false,,
DFT-2025-00250,BL-PERABU-15,fouling,major,2025-05-14,2025-05-26,12,true,false,,
DFT-2025-00251,BL-GPD-03,fouling,minor,2025-08-18,2025-09-19,32,false,false,,
DFT-2025-00252,TC-TITRL-10,bonding_defect,major,2025-07-18,2025-08-04,17,false,false,,
DFT-2025-00253,INS-TITRL-10,flashover_mark,critical,2025-05-20,2025-05-21,1,true,false,,
DFT-2026-00254,IL-TBM-01,relay_fault,minor,2026-09-05,,2,false,false,,
DFT-2026-00255,OHE-AVDTI-08,height_stagger,minor,2026-07-15,,54,true,true,failure,2026-08-04
DFT-2025-00256,PT-AJJ-08,obstruction,major,2025-04-08,2025-04-28,20,false,false,,
DFT-2025-00257,MST-TITRL-01,foundation_defect,minor,2025-10-23,2025-11-17,25,true,false,,
DFT-2026-00258,SL-PVTBM-03,fastening_failure,minor,2026-02-12,2026-02-23,11,false,false,,
DFT-2025-00259,OHE-MSB-04,hard_spot,minor,2025-08-10,2025-08-30,20,false,false,,
DFT-2026-00260,PT-BBQ-04,obstruction,minor,2026-05-02,2026-06-30,59,false,true,punctuality_incident,2026-06-09
