block_id,analytical_estimate_min,trains_affected,total_detention_min,rerouted_count,cancelled_count,time_band
BLK-2026-00107,16978,43,18086,1,0,00-06
BLK-2026-00108,17,3,16,3,0,00-06
BLK-2026-00109,17035,60,20594,0,0,00-06
BLK-2026-00110,285,6,314,1,0,00-06
BLK-2026-00111,8683,31,9132,1,0,00-06
BLK-2025-00112,174,22,131,22,0,00-06
BLK-2025-00113,182,24,265,24,0,18-24
BLK-2026-00114,0,0,0,0,0,00-06
BLK-2026-00115,674,12,806,0,0,00-06
BLK-2025-00116,195,5,224,0,0,00-06
BLK-2025-00117,61,8,52,8,0,00-06
BLK-2026-00118,23,3,24,3,0,00-06
BLK-2025-00120,29,4,30,4,0,00-06
BLK-2026-00121,6465,37,7690,0,0,00-06
BLK-2026-00123,11,2,11,2,0,00-06
BLK-2025-00125,133,5,140,0,0,00-06
BLK-2026-00126,0,0,0,0,0,00-06
BLK-2026-00127,42,5,44,5,0,00-06
BLK-2026-00128,2577,8,2670,0,0,00-06
BLK-2026-00131,40,6,32,6,0,00-06
BLK-2026-00132,105,12,90,12,0,00-06
BLK-2025-00133,0,0,0,0,0,00-06
BLK-2026-00134,11,2,17,2,0,00-06
BLK-2026-00136,50,6,63,6,0,00-06
BLK-2026-00137,4942,33,6042,0,0,00-06
BLK-2026-00138,46,7,58,7,0,00-06
BLK-2026-00140,46,7,40,7,0,00-06
BLK-2026-00141,71,8,102,8,0,00-06
BLK-2026-00142,0,0,0,0,0,00-06
BLK-2026-00144,0,0,0,0,0,18-24
BLK-2025-00145,0,0,0,0,0,00-06
BLK-2025-00146,5304,34,6362,0,0,00-06
BLK-2026-00148,0,0,0,0,0,00-06
BLK-2025-00149,395,3,445,0,0,12-18
BLK-2026-00150,34,5,50,5,0,00-06
BLK-2026-00152,0,0,0,0,0,00-06
BLK-2026-00153,23,3,31,3,0,12-18
BLK-2026-00154,40,6,49,6,0,00-06
BLK-2026-00155,0,0,0,0,0,00-06
BLK-2026-00157,3582,28,4261,0,0,00-06
BLK-2026-00159,0,0,0,0,0,00-06
BLK-2026-00160,26795,76,30672,0,0,00-06
BLK-2025-00162,34,5,50,5,0,00-06
BLK-2026-00165,23,3,20,3,0,00-06
BLK-2026-00166,150,6,169,0,0,00-06
BLK-2026-00167,0,0,0,0,0,00-06
BLK-2026-00168,11,2,13,2,0,00-06
BLK-2026-00170,40,6,57,6,0,00-06
BLK-2025-00171,11,2,12,2,0,00-06
BLK-2026-00172,29,4,37,4,0,00-06
BLK-2025-00173,262,8,316,0,0,00-06
BLK-2026-00174,10858,48,12737,0,0,00-06
BLK-2026-00175,0,0,0,0,0,00-06
BLK-2026-00177,55,7,69,7,0,00-06
BLK-2025-00179,6,1,9,1,0,00-06
BLK-2026-00180,142,18,200,18,0,00-06
BLK-2026-00181,29,4,27,4,0,00-06
BLK-2025-00185,11,2,8,2,0,00-06
BLK-2026-00186,25,1,24,0,0,00-06
BLK-2026-00187,655,12,791,0,0,00-06
BLK-2026-00188,3332,21,3956,2,0,18-24
BLK-2026-00189,67,8,56,8,0,00-06
BLK-2025-00190,34,5,44,5,0,00-06
BLK-2026-00191,101,14,142,14,0,00-06
BLK-2026-00192,93,11,112,11,0,00-06
BLK-2026-00193,6018,26,6787,1,0,00-06
BLK-2025-00195,4026,29,4982,0,0,12-18
BLK-2025-00196,0,0,0,0,0,00-06
BLK-2026-00197,54,6,49,6,0,00-06
BLK-2026-00199,28,3,36,0,0,00-06
BLK-2025-00200,10783,48,13053,0,0,00-06
BLK-2025-00202,0,0,0,0,0,00-06
BLK-2026-00203,6,1,9,1,0,00-06
BLK-2026-00207,401,3,409,0,0,00-06
BLK-2026-00209,6,1,5,1,0,00-06
BLK-2026-00210,11,2,16,2,0,00-06
BLK-2026-00211,40,6,37,6,0,00-06
BLK-2026-00214,0,0,0,0,0,00-06
BLK-2026-00215,3123,26,3731,0,0,00-06
BLK-2026-00216,104,14,87,14,0,00-06
BLK-2026-00217,658,4,693,0,0,00-06
BLK-2025-00218,5328,25,6005,1,0,00-06
BLK-2025-00219,139,18,164,18,0,06-12
BLK-2025-00220,46,7,36,7,0,00-06
BLK-2026-00221,5667,33,6450,0,0,00-06
BLK-2026-00222,66,7,65,7,0,00-06
BLK-2026-00224,18,2,13,2,0,00-06
BLK-2026-00225,2717,18,3102,1,0,12-18
BLK-2026-00226,30557,78,34681,0,0,00-06
BLK-2026-00228,29,4,28,4,0,00-06
BLK-2026-00229,3747,17,3969,0,0,00-06
BLK-2026-00230,0,0,0,0,0,00-06
BLK-2026-00231,11,2,19,2,0,00-06
BLK-2025-00233,3835,27,4288,0,0,00-06
BLK-2026-00234,1619,16,1790,0,0,00-06
BLK-2026-00235,462,9,547,0,0,00-06
BLK-2026-00236,5478,25,6152,1,0,12-18
BLK-2026-00238,42,5,50,5,0,00-06
BLK-2025-00239,4594,31,5470,0,0,00-06
BLK-2026-00242,23,3,29,3,0,12-18
BLK-2025-00243,17,3,19,3,0,00-06
BLK-2025-00245,721,7,807,0,0,00-06
BLK-2026-00246,103,4,124,0,0,00-06
BLK-2026-00247,0,0,0,0,0,00-06
BLK-2026-00248,11,2,15,2,0,00-06
BLK-2026-00249,23,3,26,3,0,00-06
BLK-2026-00251,6,1,7,1,0,00-06
BLK-2026-00254,11,2,6,2,0,00-06
BLK-2025-00256,566,11,664,0,0,00-06
BLK-2025-00257,2097,15,2274,0,0,00-06
BLK-2026-00258,0,0,0,0,0,00-06
BLK-2026-00259,6,1,8,1,0,00-06
BLK-2026-00260,1516,18,1736,0,0,00-06
BLK-2025-00261,66,7,85,7,0,00-06
BLK-2025-00263,0,0,0,0,0,00-06
BLK-2026-00264,3713,28,4369,0,0,00-06
BLK-2026-00265,61,8,48,8,0,12-18
BLK-2026-00266,9266,45,10536,0,0,00-06
BLK-2026-00267,0,0,0,0,0,00-06
BLK-2025-00269,1047,11,1399,0,0,06-12
BLK-2025-00272,13478,54,15584,0,0,00-06
BLK-2026-00273,1572,18,1877,0,0,00-06
BLK-2026-00274,0,0,0,0,0,00-06
BLK-2026-00275,0,0,0,0,0,00-06
BLK-2026-00277,898,8,1009,0,0,00-06
BLK-2026-00278,72,10,75,10,0,00-06
BLK-2026-00279,3296,20,3529,1,0,00-06
BLK-2026-00283,2,1,0,0,0,00-06
BLK-2026-00284,773,13,1041,0,0,06-12
BLK-2026-00285,2886,25,3337,0,0,00-06
BLK-2026-00286,71,8,99,8,0,00-06
BLK-2026-00287,117,15,125,15,0,00-06
BLK-2026-00288,0,0,0,0,0,00-06
BLK-2025-00290,8939,42,10814,0,0,00-06
BLK-2026-00291,0,0,0,0,0,00-06
BLK-2026-00293,3370,27,4571,0,0,06-12
BLK-2026-00294,11,2,15,2,0,00-06
BLK-2026-00295,6,1,4,1,0,00-06
BLK-2026-00296,90,1,95,0,0,00-06
BLK-2025-00297,6,1,7,1,0,00-06
BLK-2025-00299,6,1,7,1,0,00-06
BLK-2026-00300,4643,32,5524,0,0,00-06
BLK-2026-00301,82,10,77,10,0,00-06
BLK-2026-00302,110,13,123,13,0,00-06
BLK-2026-00303,2658,24,3123,0,0,00-06
BLK-2025-00304,0,0,0,0,0,00-06
BLK-2026-00306,18870,64,22070,0,0,00-06
BLK-2026-00307,1412,10,1585,0,0,00-06
BLK-2026-00308,0,0,0,0,0,00-06
BLK-2026-00310,10118,47,12501,0,0,00-06
BLK-2026-00311,116,14,129,14,0,00-06
BLK-2026-00314,174,22,155,22,0,00-06
BLK-2026-00317,11,2,18,2,0,00-06
BLK-2025-00320,6,1,7,1,0,00-06
BLK-2026-00325,25,1,29,0,0,00-06
BLK-2025-00326,5410,34,6059,0,0,00-06
BLK-2025-00327,34,5,21,5,0,00-06
BLK-2026-00328,27486,73,31051,0,0,00-06
BLK-2026-00329,415,7,474,0,0,12-18
BLK-2025-00331,1554,6,1874,0,0,06-12
BLK-2026-00333,164,5,185,0,0,00-06
BLK-2026-00334,66,7,54,7,0,00-06
BLK-2026-00335,499,4,502,0,0,00-06
BLK-2025-00336,7867,41,9112,0,0,00-06
BLK-2026-00337,253,32,218,32,0,00-06
BLK-2025-00338,82,10,103,10,0,00-06
BLK-2026-00339,0,0,0,0,0,00-06
BLK-2025-00343,11,2,6,2,0,00-06
BLK-2026-00344,564,7,622,0,0,00-06
BLK-2025-00345,37,2,44,0,0,00-06
BLK-2026-00346,17,3,22,3,0,00-06
BLK-2025-00348,0,0,0,0,0,00-06
BLK-2026-00349,324,3,343,0,0,00-06
BLK-2025-00352,29,4,35,4,0,00-06
BLK-2026-00353,1099,15,1512,0,0,06-12
BLK-2026-00355,0,0,0,0,0,00-06
BLK-2026-00356,6,1,4,1,0,00-06
BLK-2025-00359,0,0,0,0,0,00-06
BLK-2026-00360,3713,28,4308,0,0,00-06
BLK-2026-00361,6,1,5,1,0,00-06
BLK-2025-00362,2214,13,2256,0,0,00-06
BLK-2026-00363,2354,16,2454,0,0,00-06
BLK-2026-00367,370,5,407,0,0,00-06
BLK-2025-00368,31,4,45,4,0,00-06
BLK-2026-00371,34,5,44,5,0,00-06
BLK-2026-00372,5429,24,6086,0,0,00-06
BLK-2026-00374,71,8,80,8,0,00-06
BLK-2026-00376,218,7,272,0,0,00-06
BLK-2026-00377,17,3,27,3,0,00-06
BLK-2026-00380,933,5,970,0,0,00-06
BLK-2026-00383,71,8,73,8,0,00-06
BLK-2025-00384,7240,39,9176,0,0,12-18
BLK-2026-00385,0,0,0,0,0,00-06
BLK-2026-00387,12332,51,14266,0,0,00-06
BLK-2026-00388,9688,46,11643,0,0,00-06
BLK-2026-00389,2064,21,2518,0,0,00-06
BLK-2025-00390,376,3,375,0,0,00-06
BLK-2025-00391,220,28,206,28,0,00-06
BLK-2026-00393,0,0,0,0,0,00-06
BLK-2026-00394,171,21,224,21,0,00-06
BLK-2026-00395,6,1,6,1,0,00-06
BLK-2026-00399,6,1,7,1,0,00-06
BLK-2026-00400,22,4,26,4,0,00-06
BLK-2026-00401,3997,21,5207,0,0,06-12
BLK-2026-00403,3042,26,3696,0,0,00-06
BLK-2025-00404,26,4,27,4,0,00-06
BLK-2026-00405,339,7,374,0,0,00-06
BLK-2026-00406,0,0,0,0,0,00-06
BLK-2025-00408,0,0,0,0,0,00-06
BLK-2025-00409,0,0,0,0,0,00-06
BLK-2026-00411,919,8,934,0,0,00-06
BLK-2026-00412,11,2,16,2,0,00-06
BLK-2026-00413,283,2,309,0,1,12-18
BLK-2026-00417,77,9,108,9,0,00-06
BLK-2026-00418,0,0,0,0,0,00-06
BLK-2025-00419,0,0,0,0,0,00-06
BLK-2026-00423,42,5,55,5,0,00-06
BLK-2026-00424,40,6,61,6,0,00-06
BLK-2026-00425,69,2,69,0,0,00-06
BLK-2026-00427,40,6,42,6,0,00-06
BLK-2026-00428,22,4,28,4,0,00-06
BLK-2025-00433,389,5,392,0,0,00-06
BLK-2026-00434,566,11,682,0,0,00-06
BLK-2026-00435,0,0,0,0,0,00-06
BLK-2026-00437,0,0,0,0,0,00-06
BLK-2026-00439,7748,30,8355,1,0,00-06
BLK-2026-00440,87,3,95,0,0,00-06
BLK-2026-00441,6,1,6,1,0,00-06
BLK-2025-00442,177,22,174,22,0,00-06
BLK-2026-00443,2129,21,2570,0,0,00-06
BLK-2026-00444,34,2,38,0,0,00-06
BLK-2026-00446,77,9,89,9,0,00-06
BLK-2026-00447,32,2,30,0,0,00-06
BLK-2025-00448,110,13,96,13,0,00-06
BLK-2026-00449,3496,27,4048,0,0,00-06
BLK-2026-00450,147,19,178,19,0,00-06
BLK-2026-00451,412,6,451,0,0,00-06
BLK-2025-00452,902,5,1035,0,0,12-18
BLK-2026-00453,0,0,0,0,0,00-06
BLK-2026-00454,186,23,210,23,0,00-06
BLK-2026-00457,78,10,100,10,0,00-06
BLK-2026-00458,18,2,17,2,0,00-06
BLK-2026-00459,8787,43,11717,0,0,06-12
BLK-2026-00460,739,13,871,0,0,00-06
BLK-2026-00461,74,2,84,0,0,00-06
BLK-2026-00462,0,0,0,0,0,00-06
BLK-2026-00465,34,5,25,5,0,00-06
BLK-2026-00466,0,0,0,0,0,00-06
BLK-2025-00467,467,6,499,0,0,00-06
BLK-2026-00468,2925,25,3939,0,0,06-12
BLK-2026-00469,355,6,362,0,0,00-06
BLK-2026-00471,4449,31,5205,0,0,00-06
BLK-2026-00473,18815,62,22596,0,0,00-06
BLK-2026-00474,0,0,0,0,0,00-06
BLK-2026-00477,46,7,58,7,0,00-06
BLK-2026-00478,23260,71,28269,0,0,00-06
BLK-2025-00479,711,12,807,0,0,00-06
BLK-2026-00480,55,7,45,7,0,12-18
BLK-2026-00482,0,0,0,0,0,00-06
BLK-2025-00484,11,2,14,2,0,00-06
BLK-2026-00485,6,1,4,1,0,00-06
BLK-2026-00486,0,0,0,0,0,00-06
BLK-2025-00487,17537,60,21361,0,0,12-18
BLK-2026-00488,81,4,103,0,0,00-06
BLK-2026-00489,8653,43,11477,0,0,06-12
BLK-2026-00490,93,12,131,12,0,06-12
BLK-2026-00492,14801,41,16483,1,0,00-06
BLK-2026-00493,40,6,40,6,0,00-06
BLK-2026-00494,11237,49,14115,0,0,12-18
BLK-2026-00495,2925,25,3360,0,0,00-06
BLK-2026-00496,94,12,79,12,0,00-06
BLK-2026-00497,6,1,5,1,0,00-06
BLK-2026-00498,128,2,137,0,0,00-06
BLK-2026-00499,0,0,0,0,0,00-06
BLK-2025-00500,0,0,0,0,0,00-06
BLK-2025-00501,11,2,9,2,0,00-06
BLK-2026-00503,0,0,0,0,0,00-06
BLK-2026-00505,6,1,8,1,0,00-06
BLK-2026-00506,22,4,35,4,0,18-24
BLK-2026-00507,0,0,0,0,0,00-06
BLK-2026-00508,2078,19,2377,0,0,00-06
BLK-2026-00509,0,0,0,0,0,00-06
BLK-2026-00510,17,3,11,3,0,00-06
BLK-2026-00512,0,0,0,0,0,00-06
BLK-2026-00513,0,0,0,0,0,00-06
BLK-2026-00514,12411,52,14116,0,0,00-06
BLK-2026-00515,0,0,0,0,0,00-06
BLK-2026-00516,162,21,199,21,0,00-06
BLK-2026-00517,142,17,120,17,0,00-06
BLK-2026-00518,2661,14,3101,0,0,12-18
BLK-2025-00521,1273,17,1498,0,0,00-06
BLK-2025-00526,13229,53,15376,0,0,00-06
BLK-2025-00527,6,1,3,1,0,00-06
BLK-2026-00528,66,7,57,7,0,00-06
BLK-2025-00529,109,5,137,0,0,00-06
BLK-2026-00530,2122,15,2271,0,0,00-06
BLK-2025-00532,11,2,17,2,0,00-06
BLK-2026-00534,23,3,32,3,0,12-18
BLK-2026-00536,6,1,6,1,0,00-06
BLK-2026-00539,0,0,0,0,0,00-06
BLK-2025-00540,103,3,112,0,0,00-06
BLK-2025-00541,10783,48,12597,0,0,00-06
BLK-2025-00542,452,10,563,0,0,00-06
BLK-2026-00543,48,2,48,0,0,00-06
BLK-2025-00544,17,3,9,3,0,00-06
BLK-2026-00545,234,6,269,0,0,00-06
BLK-2025-00547,6,1,6,1,0,00-06
BLK-2026-00548,22,4,29,4,0,18-24
BLK-2025-00549,125,17,115,17,0,00-06
BLK-2026-00550,158,2,173,0,0,00-06
BLK-2025-00551,8342,31,9138,1,0,00-06
BLK-2025-00552,116,14,115,14,0,00-06
BLK-2025-00555,0,0,0,0,0,00-06
BLK-2025-00556,965,14,1131,0,0,00-06
BLK-2025-00559,36,4,38,4,0,00-06
BLK-2026-00560,34,5,35,5,0,00-06
BLK-2026-00561,23,3,19,3,0,00-06
BLK-2026-00562,0,0,0,0,0,00-06
BLK-2026-00563,11,2,15,2,0,00-06
BLK-2025-00564,169,21,184,21,0,12-18
BLK-2026-00565,323,5,415,0,0,06-12
BLK-2026-00566,36,4,36,4,0,00-06
BLK-2025-00568,101,14,75,14,0,00-06
BLK-2026-00570,17,3,15,3,0,00-06
BLK-2026-00573,144,4,156,0,0,00-06
BLK-2025-00574,0,0,0,0,0,00-06
BLK-2026-00575,0,0,0,0,0,00-06
BLK-2026-00578,31,4,45,4,0,00-06
BLK-2025-00579,855,8,966,0,0,00-06
BLK-2026-00580,194,24,181,24,0,00-06
BLK-2026-00581,97269,144,112640,0,0,00-06
BLK-2025-00582,79,3,91,0,0,00-06
BLK-2026-00586,6,1,5,1,0,00-06
BLK-2026-00588,77,9,109,9,0,00-06
BLK-2026-00594,171,22,245,22,0,06-12
BLK-2026-00596,12,1,13,0,0,00-06
BLK-2026-00597,1299,17,1511,0,0,00-06
BLK-2025-00598,66,7,75,7,0,00-06
BLK-2025-00600,0,0,0,0,0,18-24
BLK-2025-00602,515,11,599,0,0,00-06
BLK-2025-00603,0,0,0,0,0,00-06
BLK-2025-00604,2383,17,2765,1,0,12-18
BLK-2026-00605,615,11,697,0,0,00-06
BLK-2026-00607,69,4,83,0,0,00-06
BLK-2026-00608,2611,18,2989,1,0,00-06
BLK-2026-00609,0,0,0,0,0,00-06
BLK-2026-00612,15116,57,17520,0,0,00-06
BLK-2026-00613,3413,9,3826,0,0,12-18
BLK-2026-00614,87,10,110,10,0,00-06
BLK-2026-00616,26,3,18,3,0,00-06
BLK-2025-00618,0,0,0,0,0,00-06
BLK-2026-00620,1033,5,1131,0,0,00-06
BLK-2026-00621,34,5,48,5,0,00-06
BLK-2025-00622,6,1,6,1,0,18-24
BLK-2025-00625,6,1,5,1,0,00-06
BLK-2025-00626,11999,30,12799,0,0,00-06
BLK-2026-00627,34,5,29,5,0,00-06
BLK-2025-00630,187,5,196,1,0,00-06
BLK-2026-00631,54,8,82,8,0,18-24
BLK-2026-00633,3061,18,3319,0,0,00-06
BLK-2026-00634,6,1,5,1,0,00-06
BLK-2025-00637,0,0,0,0,0,00-06
BLK-2026-00639,17,3,16,3,0,00-06
BLK-2025-00640,77,9,103,9,0,00-06
BLK-2026-00641,0,0,0,0,0,00-06
BLK-2026-00642,23,3,27,3,0,00-06
BLK-2026-00644,0,0,0,0,0,00-06
BLK-2025-00645,8504,41,9384,0,0,00-06
BLK-2026-00646,2248,13,2557,0,0,12-18
BLK-2026-00648,0,0,0,0,0,00-06
BLK-2026-00649,11,2,17,2,0,18-24
BLK-2026-00651,116,14,114,14,0,00-06
BLK-2026-00652,4094,22,4517,1,0,00-06
BLK-2026-00653,3680,17,3781,0,0,00-06
BLK-2026-00654,0,0,0,0,0,00-06
BLK-2026-00655,0,0,0,0,0,00-06
BLK-2025-00656,50,2,54,0,0,00-06
BLK-2026-00657,250,2,275,0,0,12-18
BLK-2026-00658,23,3,29,3,0,06-12
BLK-2026-00659,940,8,983,0,0,00-06
BLK-2026-00660,110,13,89,13,0,00-06
BLK-2026-00663,38,5,34,5,0,00-06
BLK-2026-00665,8787,43,9918,0,0,00-06
BLK-2025-00667,1223,16,1493,0,0,00-06
BLK-2025-00668,82,10,96,10,0,00-06
BLK-2026-00672,1,1,1,0,0,00-06
BLK-2026-00674,58,8,43,8,0,00-06
BLK-2026-00675,17,3,11,3,0,00-06
BLK-2026-00676,107,14,107,14,0,00-06
BLK-2026-00677,218,5,253,0,0,00-06
BLK-2026-00678,23,3,27,3,0,00-06
BLK-2026-00679,118,16,124,16,0,00-06
BLK-2026-00680,5365,33,5977,0,0,00-06
BLK-2026-00682,11,2,12,2,0,00-06
BLK-2026-00683,15116,57,17628,0,0,00-06
BLK-2025-00688,0,0,0,0,0,00-06
BLK-2026-00689,6,1,8,1,0,00-06
BLK-2026-00690,11,2,18,2,0,00-06
BLK-2026-00692,0,0,0,0,0,00-06
BLK-2025-00695,11,2,9,2,0,00-06
BLK-2026-00696,834,8,876,0,0,00-06
BLK-2026-00697,83,12,94,12,0,00-06
BLK-2026-00698,1273,17,1437,0,0,00-06
BLK-2026-00699,1998,21,2312,0,0,00-06
BLK-2026-00702,64,8,60,8,0,12-18
BLK-2026-00703,11237,49,13285,0,0,00-06
BLK-2026-00704,11,2,17,2,0,00-06
BLK-2026-00705,162,21,213,21,0,06-12
BLK-2026-00706,1053,15,1218,0,0,00-06
BLK-2025-00708,1058,5,1144,0,0,00-06
BLK-2026-00709,82,10,66,10,0,00-06
BLK-2026-00710,0,0,0,0,0,00-06
BLK-2026-00711,2947,24,3349,0,0,00-06
BLK-2026-00712,8787,43,10229,0,0,00-06
BLK-2026-00714,200,25,266,25,0,00-06
BLK-2026-00715,26,4,31,4,0,00-06
BLK-2026-00716,40,6,50,6,0,00-06
BLK-2026-00717,14654,54,16671,0,0,00-06
BLK-2025-00718,0,0,0,0,0,00-06
BLK-2025-00719,31,4,32,4,0,00-06
BLK-2026-00720,4792,32,5779,0,0,00-06
BLK-2026-00721,0,0,0,0,0,00-06
BLK-2026-00722,53,7,47,7,0,18-24
BLK-2026-00724,71,2,77,0,0,00-06
BLK-2026-00725,0,0,0,0,0,00-06
BLK-2026-00728,28,1,29,0,0,00-06
BLK-2025-00730,34,5,47,5,0,00-06
BLK-2026-00731,34,5,41,5,0,00-06
BLK-2025-00732,119,14,157,14,0,00-06
BLK-2026-00733,5405,25,5805,1,0,00-06
BLK-2026-00734,940,8,1028,0,0,00-06
BLK-2025-00736,0,0,0,0,0,00-06
BLK-2025-00739,7363,40,9784,0,0,06-12
BLK-2026-00740,4165,30,4954,0,0,00-06
BLK-2026-00741,142,2,151,0,0,00-06
BLK-2025-00744,52,7,41,7,0,00-06
BLK-2026-00745,11097,35,12520,1,0,00-06
BLK-2025-00746,13875,39,15158,1,0,00-06
BLK-2026-00747,0,0,0,0,0,00-06
BLK-2026-00752,6,1,6,1,0,00-06
BLK-2025-00753,0,0,0,0,0,00-06
BLK-2026-00754,1510,11,1690,0,0,00-06
BLK-2026-00755,0,0,0,0,0,00-06
BLK-2026-00756,11,2,18,2,0,00-06
BLK-2026-00759,53,6,52,6,0,00-06
BLK-2026-00761,29,4,36,4,0,12-18
BLK-2026-00765,6,1,5,1,0,00-06
BLK-2026-00768,0,0,0,0,0,00-06
BLK-2026-00769,6534,36,7595,0,0,00-06
BLK-2025-00770,77,9,100,9,0,00-06
BLK-2025-00772,180,22,133,22,0,00-06
BLK-2026-00774,764,10,876,0,0,00-06
BLK-2026-00775,5035,24,6496,1,0,06-12
BLK-2025-00776,2929,18,3355,1,0,00-06
BLK-2026-00777,5627,21,5776,0,0,00-06
BLK-2026-00779,11,2,15,2,0,00-06
BLK-2025-00781,0,0,0,0,0,00-06
BLK-2025-00782,0,0,0,0,0,00-06
BLK-2026-00783,2019,7,2197,0,0,12-18
BLK-2026-00784,0,0,0,0,0,00-06
BLK-2026-00788,66,7,58,7,0,00-06
BLK-2026-00791,0,0,0,0,0,00-06
BLK-2026-00792,0,0,0,0,0,00-06
BLK-2026-00793,6,1,4,1,0,00-06
BLK-2025-00794,0,0,0,0,0,00-06
BLK-2026-00795,208,27,277,27,0,00-06
BLK-2026-00796,77,9,67,9,0,00-06
BLK-2025-00797,17,3,11,3,0,00-06
BLK-2025-00798,189,23,152,23,0,00-06
BLK-2025-00799,10633,48,12913,0,0,00-06
BLK-2026-00800,22,4,22,4,0,00-06
BLK-2026-00803,0,0,0,0,0,00-06
BLK-2026-00805,549,9,608,1,0,00-06
BLK-2025-00806,0,0,0,0,0,18-24
BLK-2026-00807,185,4,198,0,0,00-06
BLK-2026-00808,78,10,71,10,0,00-06
BLK-2026-00810,11,2,8,2,0,00-06
BLK-2026-00811,134,16,152,16,0,00-06
BLK-2025-00812,431,4,465,0,0,00-06
BLK-2025-00813,29,4,23,4,0,00-06
BLK-2026-00814,6,1,7,1,0,00-06
BLK-2026-00815,22849,68,25138,0,0,00-06
BLK-2025-00816,11,2,13,2,0,00-06
BLK-2025-00817,50,6,49,6,0,00-06
BLK-2026-00818,18,2,20,2,0,00-06
BLK-2025-00820,49,7,66,7,0,00-06
BLK-2026-00821,6,1,8,1,0,00-06
BLK-2026-00822,52,7,65,7,0,00-06
BLK-2025-00823,23,3,33,3,0,00-06
BLK-2026-00824,66,7,93,7,0,00-06
BLK-2026-00825,0,0,0,0,0,00-06
BLK-2025-00826,0,0,0,0,0,00-06
BLK-2026-00827,11,2,11,2,0,00-06
BLK-2025-00828,0,0,0,0,0,00-06
BLK-2026-00830,11,2,8,2,0,00-06
BLK-2026-00831,29,4,32,4,0,00-06
BLK-2026-00832,22,4,18,4,0,00-06
BLK-2026-00833,211,1,250,0,0,00-06
BLK-2026-00835,23,3,19,3,0,00-06
BLK-2026-00840,34,5,34,5,0,00-06
BLK-2025-00841,11,2,11,2,0,00-06
