block_id,block_section_id,tasks_included,departments,merge_group_id,requested_start,requested_duration_min,sanctioned_start,sanctioned_duration_min,actual_start,actual_end,availed,overrun_min,overrun_reason,crew_id,machine_id,weather,season,was_merged
BLK-2025-00033,AVD-TI-UP_SUB,ENG-2025-04240,ENG,,2025-12-14 01:00,160,2025-12-14 01:00,200,2025-12-14 01:18,2025-12-14 04:21,true,-17,none,ENG-PV-B,BRM-SR-06,clear,monsoon,false
BLK-2026-00034,GI-STM-DN,SNT-2026-00781,SNT,,2026-06-29 01:30,75,2026-06-29 01:45,92,,,false,,,SNT-MAS-A,,clear,normal,false
BLK-2026-00035,CGL-WJ-SINGLE,ENG-2025-05659,ENG,,2026-01-17 01:45,216,2026-01-17 01:30,253,2026-01-17 01:44,2026-01-17 06:52,true,55,weather,ENG-GPD-B,RGM-SR-01,heavy_rain,normal,false
BLK-2025-00036,AVD-TI-UP,TRD-2025-01129,TRD,,2025-12-07 00:00,107,2025-12-07 00:00,126,,,false,,,TRD-AJJ-B,OHE-TC-03,clear,monsoon,false
BLK-2026-00037,TRL-AJJ-UP_SUB,TRD-2026-01691,TRD,,2026-01-13 03:30,188,2026-01-13 03:45,222,,,false,,,TRD-TBM-B,OHE-TC-06,clear,normal,false
BLK-2025-00038,AVD-TI-DN,ENG-2026-05899;ENG-2025-05476;SNT-2026-01100,ENG;SNT,MG-2025-0006,2025-11-30 00:00,643,2025-11-30 00:00,777,2025-11-29 23:50,2025-11-30 13:18,true,31,crew_short,ENG-GPD-A,,clear,monsoon,true
BLK-2026-00039,BBQ-TNP-DN,ENG-2026-04125;ENG-2026-04446;ENG-2025-05693,ENG,MG-2026-0007,2026-08-02 03:00,453,2026-08-02 03:15,571,2026-08-02 03:25,2026-08-02 12:20,true,-36,none,ENG-PER-C,,clear,normal,true
BLK-2026-00040,TRL-AJJ-DN,ENG-2026-04725,ENG,,2026-06-22 01:30,255,2026-06-22 01:45,320,2026-06-22 01:50,2026-06-22 06:19,true,-51,none,ENG-TRL-B,,rain,normal,false
BLK-2026-00041,TNP-ENR-UP,ENG-2026-04601,ENG,,2026-03-18 03:30,246,2026-03-18 03:15,283,2026-03-18 03:30,2026-03-18 07:32,true,-41,none,ENG-CJ-B,,clear,normal,false
BLK-2026-00042,TRL-AJJ-UP,ENG-2026-04858,ENG,,2026-08-05 00:00,293,2026-08-04 23:45,366,2026-08-05 00:04,2026-08-05 05:04,true,-66,none,ENG-CGL-B,,rain,normal,false
BLK-2026-00043,AVD-TI-UP,ENG-2026-05461,ENG,,2026-08-02 10:30,105,2026-08-02 10:15,121,,,false,,,ENG-STM-A,,heavy_rain,normal,false
BLK-2025-00044,MSB-MS-UP_SUB,SNT-2025-01550;SNT-2026-00980;SNT-2026-00768,SNT,MG-2025-0008,2025-12-14 02:00,74,2025-12-14 02:00,86,2025-12-14 01:57,2025-12-14 03:47,true,24,material_delay,SNT-MS-A,,heavy_rain,monsoon,true
BLK-2025-00045,PER-ABU-UP,SNT-2025-01336,SNT,,2025-12-16 01:45,43,2025-12-16 01:45,51,2025-12-16 01:38,2025-12-16 02:24,true,-5,none,SNT-TBM-A,,rain,monsoon,false
BLK-2026-00046,TRL-AJJ-UP,SNT-2026-00783,SNT,,2026-03-19 00:00,72,2026-03-19 00:00,85,2026-03-19 00:11,2026-03-19 01:22,true,-14,none,SNT-TNP-A,,clear,normal,false
BLK-2026-00047,PV-TBM-DN_SUB,SNT-2026-01385,SNT,,2026-03-06 00:45,78,2026-03-06 00:45,100,2026-03-06 00:44,2026-03-06 02:12,true,-12,none,SNT-TRL-A,,clear,normal,false
BLK-2025-00048,MAS-BBQ-UP_SUB,ENG-2025-05287,ENG,,2025-10-29 02:30,216,2025-10-29 02:30,251,2025-10-29 02:34,2025-10-29 07:13,true,28,crew_short,ENG-GPD-B,TAMP-SR-03,rain,monsoon,false
BLK-2026-00049,PER-ABU-DN,TRD-2026-01114,TRD,,2026-03-03 00:15,177,2026-03-03 00:00,204,2026-03-03 00:19,2026-03-03 03:35,true,-8,none,TRD-TBM-B,OHE-TC-01,clear,normal,false
BLK-2026-00050,MSB-MS-UP_SUB,ENG-2026-05140;TRD-2025-01017;SNT-2026-01453,ENG;SNT;TRD,MG-2026-0009,2026-06-28 01:00,212,2026-06-28 01:00,246,2026-06-28 00:52,2026-06-28 04:42,true,-16,none,ENG-GI-A,,clear,normal,true
BLK-2026-00051,STM-PV-UP,ENG-2026-05627,ENG,,2026-08-23 01:00,357,2026-08-23 01:15,436,2026-08-23 01:31,2026-08-23 09:24,true,37,material_delay,ENG-MBM-B,BCM-SR-01,clear,normal,false
BLK-2026-00052,MS-MBM-DN,ENG-2025-04312,ENG,,2026-01-27 03:30,318,2026-01-27 03:15,407,2026-01-27 03:11,2026-01-27 08:19,true,-99,none,ENG-PV-B,BCM-SR-01,clear,normal,false
BLK-2026-00053,ENR-MJR-UP,ENG-2026-04822,ENG,,2026-07-22 00:00,387,2026-07-22 00:00,455,,,false,,,ENG-TNP-A,,rain,normal,false
BLK-2026-00054,PV-TBM-UP_SUB,SNT-2026-01359,SNT,,2026-02-06 00:45,207,2026-02-06 00:45,239,2026-02-06 00:55,2026-02-06 04:54,true,0,none,SNT-CJ-B,,clear,normal,false
BLK-2026-00055,AVD-TI-DN_SUB,ENG-2026-05275,ENG,,2026-07-13 01:15,239,2026-07-13 01:15,296,2026-07-13 01:09,2026-07-13 05:48,true,-17,none,ENG-STM-B,RGM-SR-01,clear,normal,false
BLK-2026-00056,PON-GPD-UP,SNT-2026-01203,SNT,,2026-08-05 01:30,35,2026-08-05 01:30,45,2026-08-05 01:21,2026-08-05 02:05,true,-1,none,SNT-PER-B,,rain,normal,false
BLK-2026-00057,STM-PV-UP_SUB,SNT-2026-00559,SNT,,2026-04-01 02:45,113,2026-04-01 02:30,139,2026-04-01 02:44,2026-04-01 05:01,true,-2,none,SNT-AVD-B,,rain,normal,false
BLK-2025-00058,TRL-AJJ-UP,SNT-2025-00824,SNT,,2025-10-16 03:30,148,2025-10-16 03:30,180,,,false,,,SNT-CGL-B,,heavy_rain,monsoon,false
BLK-2026-00059,MAS-BBQ-UP_SUB,ENG-2026-04388,ENG,,2026-05-19 02:15,416,2026-05-19 02:15,502,2026-05-19 02:05,2026-05-19 09:18,true,-69,none,ENG-MAS-C,,clear,normal,false
BLK-2025-00060,PON-GPD-UP,ENG-2025-05959,ENG,,2025-10-15 00:00,434,2025-10-15 00:00,536,2025-10-14 23:51,2025-10-15 07:02,true,-105,none,ENG-CGL-B,,clear,monsoon,false
BLK-2026-00061,TI-TRL-DN,ENG-2026-05643,ENG,,2026-02-18 03:15,337,2026-02-18 03:15,421,2026-02-18 03:24,2026-02-18 09:21,true,-64,none,ENG-PV-B,TAMP-SR-03,clear,normal,false
BLK-2026-00062,MSB-MS-UP,SNT-2026-01120,SNT,,2026-05-17 12:30,291,2026-05-17 12:45,340,2026-05-17 12:55,2026-05-17 18:09,true,-26,none,SNT-AJJ-B,,clear,normal,false
BLK-2026-00063,MAS-BBQ-UP_SUB,ENG-2026-05997,ENG,,2026-06-20 02:00,171,2026-06-20 02:15,203,2026-06-20 02:30,2026-06-20 05:42,true,-11,none,ENG-AJJ-B,TAMP-SR-03,heavy_rain,normal,false
BLK-2026-00064,TI-TRL-UP,TRD-2026-01799,TRD,,2026-04-08 03:45,166,2026-04-08 03:45,210,,,false,,,TRD-GI-A,OHE-TC-05,rain,normal,false
BLK-2026-00065,MSB-MS-DN_SUB,ENG-2025-04708,ENG,,2026-01-07 00:30,369,2026-01-07 00:30,458,2026-01-07 00:49,2026-01-07 05:29,true,-178,none,ENG-MAS-C,,clear,normal,false
BLK-2026-00066,MS-MBM-DN,ENG-2026-04906,ENG,,2026-01-27 00:15,230,2026-01-27 00:15,292,2026-01-27 00:27,2026-01-27 04:22,true,-57,none,ENG-PV-A,,clear,normal,false
BLK-2026-00067,WJ-CJ-SINGLE,TRD-2026-01826,TRD,,2026-04-02 02:15,115,2026-04-02 02:30,140,2026-04-02 02:46,2026-04-02 04:52,true,-14,none,TRD-ENR-A,OHE-TC-02,clear,normal,false
BLK-2026-00068,MSB-MS-DN,SNT-2026-01310,SNT,,2026-09-03 01:15,257,2026-09-03 01:15,308,,,false,,,SNT-GI-B,,rain,normal,false
BLK-2026-00069,CGL-WJ-SINGLE,SNT-2026-01197,SNT,,2026-06-29 01:00,96,2026-06-29 01:15,111,2026-06-29 01:12,2026-06-29 02:47,true,-16,none,SNT-MSB-A,,clear,normal,false
BLK-2026-00070,AVD-TI-DN_SUB,SNT-2026-01329;SNT-2026-00702;TRD-2026-01195,SNT;TRD,MG-2026-0010,2026-03-26 02:45,241,2026-03-26 02:30,280,2026-03-26 02:28,2026-03-26 06:59,true,-9,none,SNT-CJ-B,,clear,normal,true
BLK-2026-00071,TRL-AJJ-DN,ENG-2026-04459,ENG,,2026-02-05 10:45,321,2026-02-05 10:45,369,2026-02-05 10:59,2026-02-05 16:14,true,-54,none,ENG-STM-C,,clear,normal,false
BLK-2026-00072,TRL-AJJ-UP_SUB,ENG-2026-05101,ENG,,2026-01-16 02:45,252,2026-01-16 02:45,314,2026-01-16 02:54,2026-01-16 06:47,true,-81,none,ENG-AVD-B,,clear,normal,false
BLK-2026-00073,CGL-WJ-SINGLE,SNT-2026-01486,SNT,,2026-02-23 02:15,81,2026-02-23 02:00,99,,,false,,,SNT-PER-B,,clear,normal,false
BLK-2025-00074,TRL-AJJ-DN,ENG-2025-04037;SNT-2025-00703;TRD-2025-01186,ENG;SNT;TRD,MG-2025-0011,2025-11-11 03:15,230,2025-11-11 03:00,294,2025-11-11 03:13,2025-11-11 08:04,true,-3,none,ENG-MS-B,RGM-SR-01,clear,monsoon,true
BLK-2025-00075,PON-GPD-DN,ENG-2025-05717,ENG,,2025-11-21 02:45,249,2025-11-21 02:45,289,2025-11-21 03:03,2025-11-21 07:27,true,-25,none,ENG-CGL-A,,clear,monsoon,false
BLK-2026-00076,ABU-AVD-UP_SUB,SNT-2025-01366;TRD-2026-01771;TRD-2025-01530,SNT;TRD,MG-2026-0012,2026-06-25 02:45,125,2026-06-25 02:45,151,2026-06-25 02:42,2026-06-25 05:21,true,8,none,TRD-TBM-A,OHE-TC-05,clear,normal,true
BLK-2026-00077,MS-MBM-DN_SUB,SNT-2026-01227,SNT,,2026-04-24 01:15,109,2026-04-24 01:15,132,2026-04-24 01:23,2026-04-24 03:20,true,-15,none,SNT-TBM-A,,clear,normal,false
BLK-2025-00078,ENR-MJR-UP,TRD-2025-01261,TRD,,2025-10-11 01:45,113,2025-10-11 02:00,133,2025-10-11 02:07,2025-10-11 03:50,true,-30,none,TRD-AJJ-B,OHE-TC-01,clear,monsoon,false
BLK-2026-00079,MBM-GI-UP_SUB,TRD-2026-01185,TRD,,2026-08-01 00:30,216,2026-08-01 00:45,267,2026-08-01 00:46,2026-08-01 04:37,true,-36,none,TRD-MAS-C,OHE-TC-07,clear,normal,false
BLK-2026-00080,AVD-TI-UP,ENG-2026-05786,ENG,,2026-05-09 02:15,257,2026-05-09 02:15,323,2026-05-09 02:27,2026-05-09 06:37,true,-73,none,ENG-MJR-A,,clear,normal,false
BLK-2026-00081,MS-MBM-DN,ENG-2026-04082,ENG,,2026-02-24 02:15,223,2026-02-24 02:15,278,2026-02-24 02:22,2026-02-24 06:42,true,-18,none,ENG-AJJ-B,TAMP-SR-05,clear,normal,false
BLK-2026-00082,TNP-ENR-DN,ENG-2026-05902,ENG,,2026-07-11 00:00,475,2026-07-11 00:00,573,2026-07-10 23:51,2026-07-11 06:00,true,-204,none,ENG-PER-C,,heavy_rain,normal,false
BLK-2026-00083,BBQ-PER-UP,ENG-2026-04012,ENG,,2026-06-24 03:45,168,2026-06-24 04:00,193,2026-06-24 04:20,2026-06-24 07:18,true,-15,none,ENG-ENR-B,TAMP-SR-03,clear,normal,false
BLK-2026-00084,BBQ-PER-UP,SNT-2026-00631,SNT,,2026-08-06 03:45,111,2026-08-06 03:45,137,2026-08-06 03:41,2026-08-06 05:40,true,-18,none,SNT-TRL-A,,clear,normal,false
BLK-2025-00085,MAS-BBQ-UP_SUB,ENG-2026-04020;ENG-2025-04490;ENG-2025-04122,ENG,MG-2025-0013,2025-10-07 02:15,388,2025-10-07 02:00,469,2025-10-07 02:14,2025-10-07 10:38,true,35,unexpected_condition,ENG-TNP-C,,clear,monsoon,true
BLK-2026-00086,MAS-BBQ-UP,ENG-2026-04070,ENG,,2026-03-26 02:30,397,2026-03-26 02:45,472,2026-03-26 02:41,2026-03-26 09:28,true,-65,none,ENG-TNP-C,,clear,normal,false
BLK-2026-00087,TRL-AJJ-UP,ENG-2026-04085,ENG,,2026-06-14 03:45,161,2026-06-14 03:45,186,2026-06-14 03:41,2026-06-14 06:34,true,-13,none,ENG-ENR-C,USFD-SR-01,clear,normal,false
BLK-2026-00088,TI-TRL-DN,SNT-2026-01042,SNT,,2026-04-03 03:00,75,2026-04-03 02:45,89,2026-04-03 03:01,2026-04-03 04:26,true,-4,none,SNT-PER-B,,rain,normal,false
BLK-2026-00089,PER-ABU-UP_SUB,ENG-2026-04509,ENG,,2026-02-25 00:00,279,2026-02-25 00:15,342,2026-02-25 00:08,2026-02-25 06:03,true,13,material_delay,ENG-CJ-A,,clear,normal,false
BLK-2026-00090,MSB-MS-DN_SUB,SNT-2026-00868;ENG-2026-05802;ENG-2026-05866,ENG;SNT,MG-2026-0014,2026-04-09 00:45,545,2026-04-09 00:45,665,,,false,,,ENG-AVD-C,,clear,normal,true
BLK-2025-00091,PV-TBM-UP_SUB,ENG-2025-04412;ENG-2026-05376;ENG-2025-05100,ENG,MG-2025-0015,2025-12-06 01:45,289,2025-12-06 01:45,341,2025-12-06 01:37,2025-12-06 07:48,true,30,weather,ENG-AJJ-C,,rain,monsoon,true
BLK-2025-00092,MJR-PON-UP,ENG-2025-05714,ENG,,2025-10-31 03:00,458,2025-10-31 03:15,586,2025-10-31 03:06,2025-10-31 10:01,true,-171,none,ENG-CGL-B,,clear,monsoon,false
BLK-2026-00093,MAS-BBQ-DN_SUB,ENG-2026-04612,ENG,,2026-05-19 03:30,371,2026-05-19 03:30,437,2026-05-19 03:23,2026-05-19 10:08,true,-32,none,ENG-MAS-B,,clear,normal,false
BLK-2026-00094,TI-TRL-UP,TRD-2026-01252;ENG-2026-05326;ENG-2025-05581,ENG;TRD,MG-2026-0016,2026-08-10 02:00,345,2026-08-10 02:00,406,,,false,,,ENG-CGL-B,,clear,normal,true
BLK-2026-00095,TNP-ENR-UP,ENG-2026-05446,ENG,,2026-02-14 03:30,231,2026-02-14 03:15,274,,,false,,,ENG-AJJ-C,,clear,normal,false
BLK-2025-00096,ABU-AVD-UP_SUB,SNT-2025-01029,SNT,,2025-10-18 03:15,237,2025-10-18 03:30,273,2025-10-18 03:40,2025-10-18 07:59,true,-14,none,SNT-TNP-B,,rain,monsoon,false
BLK-2026-00097,CGL-WJ-SINGLE,SNT-2026-01143,SNT,,2026-02-28 01:00,95,2026-02-28 01:00,115,2026-02-28 00:59,2026-02-28 02:34,true,-20,none,SNT-TBM-A,,clear,normal,false
BLK-2026-00098,PON-GPD-UP,ENG-2026-04371,ENG,,2026-04-06 02:30,318,2026-04-06 02:30,385,2026-04-06 02:43,2026-04-06 09:00,true,-8,none,ENG-MSB-A,,clear,normal,false
BLK-2026-00099,TI-TRL-DN_SUB,ENG-2025-04581,ENG,,2026-01-26 02:15,138,2026-01-26 02:15,173,,,false,,,ENG-PV-A,,clear,normal,false
BLK-2026-00100,MS-MBM-DN_SUB,ENG-2026-05343,ENG,,2026-07-23 01:30,407,2026-07-23 01:30,502,2026-07-23 01:45,2026-07-23 09:32,true,-35,none,ENG-TNP-B,BCM-SR-01,clear,normal,false
BLK-2026-00101,ABU-AVD-UP,ENG-2026-05592,ENG,,2026-02-01 01:15,324,2026-02-01 01:15,412,,,false,,,ENG-TRL-C,,clear,normal,false
BLK-2026-00102,MJR-PON-UP,ENG-2026-05374;TRD-2026-01092;ENG-2026-04780,ENG;TRD,MG-2026-0017,2026-07-03 01:45,624,2026-07-03 02:00,719,2026-07-03 01:59,2026-07-03 14:41,true,43,machine_late,ENG-CJ-B,,clear,normal,true
BLK-2026-00103,MAS-BBQ-UP_SUB,ENG-2026-04686,ENG,,2026-07-28 02:00,226,2026-07-28 02:00,272,2026-07-28 02:08,2026-07-28 06:41,true,1,none,ENG-MSB-B,TAMP-SR-07,clear,normal,false
BLK-2026-00104,TRL-AJJ-DN_SUB,ENG-2026-05539,ENG,,2026-03-01 03:45,186,2026-03-01 03:30,228,2026-03-01 03:31,2026-03-01 06:20,true,-59,none,ENG-PER-A,,clear,normal,false
BLK-2026-00105,MAS-BBQ-UP,ENG-2026-05635,ENG,,2026-01-23 00:30,232,2026-01-23 00:15,287,2026-01-23 00:16,2026-01-23 03:41,true,-82,none,ENG-PER-A,,clear,normal,false
BLK-2025-00106,PV-TBM-UP,SNT-2025-01214;ENG-2026-05864;ENG-2025-05966,ENG;SNT,MG-2025-0018,2025-11-28 01:15,339,2025-11-28 01:00,429,,,false,,,ENG-TI-C,,clear,monsoon,true
BLK-2026-00107,PV-TBM-DN,ENG-2025-04101,ENG,,2026-01-06 03:15,500,2026-01-06 03:30,588,2026-01-06 03:29,2026-01-06 11:34,true,-103,none,ENG-CJ-B,,clear,normal,false
BLK-2026-00108,TI-TRL-DN,ENG-2026-05319,ENG,,2026-07-24 01:00,232,2026-07-24 01:00,279,2026-07-24 00:57,2026-07-24 06:04,true,28,traffic_hold,ENG-TBM-A,,clear,normal,false
BLK-2026-00109,MS-MBM-DN_SUB,ENG-2026-05528,ENG,,2026-07-19 01:00,454,2026-07-19 00:45,548,2026-07-19 00:58,2026-07-19 08:52,true,-74,none,ENG-TI-C,,clear,normal,false
BLK-2026-00110,STM-PV-UP,ENG-2026-04243,ENG,,2026-08-26 01:00,221,2026-08-26 01:00,263,2026-08-26 01:16,2026-08-26 05:42,true,3,none,ENG-MJR-B,RGM-SR-01,clear,normal,false
BLK-2026-00111,GI-STM-DN,TRD-2025-01474,TRD,,2026-01-07 03:45,325,2026-01-07 04:00,381,2026-01-07 04:17,2026-01-07 10:53,true,15,traffic_hold,TRD-ENR-C,OHE-TC-01,clear,normal,false
BLK-2025-00112,PON-GPD-DN,ENG-2025-04593;ENG-2026-04436;TRD-2026-01293,ENG;TRD,MG-2025-0019,2025-11-26 03:00,401,2025-11-26 02:45,494,2025-11-26 02:51,2025-11-26 08:50,true,-135,none,ENG-MBM-A,,rain,monsoon,true
BLK-2025-00113,MAS-BBQ-UP,ENG-2025-05523,ENG,,2025-11-24 00:00,400,2025-11-24 00:00,488,2025-11-23 23:50,2025-11-24 06:37,true,-81,none,ENG-ABU-B,,rain,monsoon,false
BLK-2026-00114,TI-TRL-UP_SUB,TRD-2026-01729,TRD,,2026-08-06 00:15,167,2026-08-06 00:15,209,2026-08-06 00:28,2026-08-06 03:35,true,-22,none,TRD-CGL-A,OHE-TC-05,clear,normal,false
BLK-2026-00115,MSB-MS-DN_SUB,TRD-2026-01044,TRD,,2026-08-02 03:30,61,2026-08-02 03:45,74,2026-08-02 04:01,2026-08-02 05:07,true,-8,none,TRD-CGL-A,,clear,normal,false
BLK-2025-00116,MSB-MS-UP,SNT-2025-00912;SNT-2026-01114;SNT-2026-01440,SNT,MG-2025-0020,2025-10-31 03:45,114,2025-10-31 03:45,131,2025-10-31 03:48,2025-10-31 05:26,true,-33,none,SNT-TNP-A,,clear,monsoon,true
BLK-2025-00117,ENR-MJR-DN,TRD-2025-01665,TRD,,2025-11-07 03:45,165,2025-11-07 03:45,191,2025-11-07 03:42,2025-11-07 06:42,true,-11,none,TRD-GPD-A,OHE-TC-06,heavy_rain,monsoon,false
BLK-2026-00118,TRL-AJJ-UP,SNT-2026-00766,SNT,,2026-06-01 03:00,129,2026-06-01 03:00,150,2026-06-01 02:54,2026-06-01 05:13,true,-11,none,SNT-ENR-A,,clear,normal,false
