window_id,block_section_id,day_of_week,start_time,duration_min,window_type,max_departments
W-MSMBM-UP-SUN,MS-MBM-UP,SUN,00:30,180,corridor_block,3
W-MSMBM-UP-WED,MS-MBM-UP,WED,00:30,180,corridor_block,3
W-MSMBM-UP_SUB-TUE,MS-MBM-UP_SUB,TUE,00:30,180,corridor_block,3
W-MSMBM-UP_SUB-FRI,MS-MBM-UP_SUB,FRI,00:30,180,corridor_block,3
W-MSBMS-DN-THU,MSB-MS-DN,THU,00:30,180,corridor_block,3
W-MSBMS-DN-SUN,MSB-MS-DN,SUN,00:30,180,corridor_block,3
W-MSBMS-DN_SUB-SAT,MSB-MS-DN_SUB,SAT,00:30,180,corridor_block,3
W-MSBMS-DN_SUB-TUE,MSB-MS-DN_SUB,TUE,00:30,180,corridor_block,3
W-MSBMS-UP-MON,MSB-MS-UP,MON,00:30,180,corridor_block,3
W-MSBMS-UP-THU,MSB-MS-UP,THU,00:30,180,corridor_block,3
W-MSBMS-UP_SUB-WED,MSB-MS-UP_SUB,WED,00:30,180,corridor_block,3
W-MSBMS-UP_SUB-SAT,MSB-MS-UP_SUB,SAT,00:30,180,corridor_block,3
W-PVTBM-DN-FRI,PV-TBM-DN,FRI,00:30,180,corridor_block,3
W-PVTBM-DN-MON,PV-TBM-DN,MON,00:30,180,corridor_block,3
W-PVTBM-DN_SUB-SUN,PV-TBM-DN_SUB,SUN,00:30,180,corridor_block,3
W-PVTBM-DN_SUB-WED,PV-TBM-DN_SUB,WED,00:30,180,corridor_block,3
W-PVTBM-UP-TUE,PV-TBM-UP,TUE,00:30,180,corridor_block,3
W-PVTBM-UP-FRI,PV-TBM-UP,FRI,00:30,180,corridor_block,3
W-PVTBM-UP_SUB-THU,PV-TBM-UP_SUB,THU,00:30,180,corridor_block,3
W-PVTBM-UP_SUB-SUN,PV-TBM-UP_SUB,SUN,00:30,180,corridor_block,3
W-STMPV-DN-SAT,STM-PV-DN,SAT,00:30,180,corridor_block,3
W-STMPV-DN-TUE,STM-PV-DN,TUE,00:30,180,corridor_block,3
W-STMPV-DN_SUB-MON,STM-PV-DN_SUB,MON,00:30,180,corridor_block,3
W-STMPV-DN_SUB-THU,STM-PV-DN_SUB,THU,00:30,180,corridor_block,3
W-STMPV-UP-WED,STM-PV-UP,WED,00:30,180,corridor_block,3
W-STMPV-UP-SAT,STM-PV-UP,SAT,00:30,180,corridor_block,3
W-STMPV-UP_SUB-FRI,STM-PV-UP_SUB,FRI,00:30,180,corridor_block,3
W-STMPV-UP_SUB-MON,STM-PV-UP_SUB,MON,00:30,180,corridor_block,3
W-CGLWJ-SINGLE-MON,CGL-WJ-SINGLE,MON,10:00,180,corridor_block,2
W-CJTMLP-SINGLE-TUE,CJ-TMLP-SINGLE,TUE,10:00,180,corridor_block,2
W-TKOAJJ-SINGLE-WED,TKO-AJJ-SINGLE,WED,10:00,180,corridor_block,2
W-TMLPTKO-SINGLE-THU,TMLP-TKO-SINGLE,THU,10:00,180,corridor_block,2
W-WJCJ-SINGLE-FRI,WJ-CJ-SINGLE,FRI,10:00,180,corridor_block,2
