forecast_date,block_section_id,time_band,expected_rakes,confidence
2026-09-07,PER-ABU-DN,00-06,4,0.87
2026-09-07,PER-ABU-DN,06-12,1,0.68
2026-09-07,PER-ABU-DN,12-18,1,0.76
2026-09-07,PER-ABU-DN,18-24,3,0.83
2026-09-07,PER-ABU-UP,00-06,4,0.87
2026-09-07,PER-ABU-UP,06-12,1,0.64
2026-09-07,PER-ABU-UP,12-18,2,0.68
2026-09-07,PER-ABU-UP,18-24,2,0.86
2026-09-07,PON-GPD-DN,00-06,4,0.84
2026-09-07,PON-GPD-DN,06-12,1,0.68
2026-09-07,PON-GPD-DN,12-18,2,0.75
2026-09-07,PON-GPD-DN,18-24,3,0.82
2026-09-07,PON-GPD-UP,00-06,4,0.84
2026-09-07,PON-GPD-UP,06-12,2,0.67
2026-09-07,PON-GPD-UP,12-18,2,0.74
2026-09-07,PON-GPD-UP,18-24,3,0.77
2026-09-07,TI-TRL-DN,00-06,4,0.80
2026-09-07,TI-TRL-DN,06-12,1,0.68
2026-09-07,TI-TRL-DN,12-18,2,0.72
2026-09-07,TI-TRL-DN,18-24,2,0.87
2026-09-07,TI-TRL-UP,00-06,4,0.86
2026-09-07,TI-TRL-UP,06-12,1,0.63
2026-09-07,TI-TRL-UP,12-18,2,0.72
2026-09-07,TI-TRL-UP,18-24,3,0.81
2026-09-07,TNP-ENR-DN,00-06,8,0.83
2026-09-07,TNP-ENR-DN,06-12,2,0.65
2026-09-07,TNP-ENR-DN,12-18,4,0.69
2026-09-07,TNP-ENR-DN,18-24,6,0.85
2026-09-07,TNP-ENR-UP,00-06,6,0.85
2026-09-07,TNP-ENR-UP,06-12,2,0.68
2026-09-07,TNP-ENR-UP,12-18,5,0.69
2026-09-07,TNP-ENR-UP,18-24,5,0.80
2026-09-07,TRL-AJJ-DN,00-06,2,0.84
2026-09-07,TRL-AJJ-DN,06-12,1,0.70
2026-09-07,TRL-AJJ-DN,12-18,2,0.76
2026-09-07,TRL-AJJ-DN,18-24,3,0.81
2026-09-07,TRL-AJJ-UP,00-06,3,0.87
2026-09-07,TRL-AJJ-UP,06-12,1,0.63
2026-09-07,TRL-AJJ-UP,12-18,2,0.77
2026-09-07,TRL-AJJ-UP,18-24,2,0.79
2026-09-08,ABU-AVD-DN,00-06,3,0.89
2026-09-08,ABU-AVD-DN,06-12,1,0.70
2026-09-08,ABU-AVD-DN,12-18,2,0.75
2026-09-08,ABU-AVD-DN,18-24,2,0.79
2026-09-08,ABU-AVD-UP,00-06,3,0.87
2026-09-08,ABU-AVD-UP,06-12,1,0.70
2026-09-08,ABU-AVD-UP,12-18,1,0.76
2026-09-08,ABU-AVD-UP,18-24,3,0.84
2026-09-08,AVD-TI-DN,00-06,3,0.86
2026-09-08,AVD-TI-DN,06-12,1,0.67
2026-09-08,AVD-TI-DN,12-18,2,0.70
2026-09-08,AVD-TI-DN,18-24,3,0.78
2026-09-08,AVD-TI-UP,00-06,3,0.84
2026-09-08,AVD-TI-UP,06-12,1,0.69
2026-09-08,AVD-TI-UP,12-18,2,0.70
2026-09-08,AVD-TI-UP,18-24,3,0.80
2026-09-08,BBQ-PER-DN,00-06,4,0.86
2026-09-08,BBQ-PER-DN,06-12,1,0.66
2026-09-08,BBQ-PER-DN,12-18,2,0.77
2026-09-08,BBQ-PER-DN,18-24,2,0.82
2026-09-08,BBQ-PER-UP,00-06,3,0.87
2026-09-08,BBQ-PER-UP,06-12,1,0.67
2026-09-08,BBQ-PER-UP,12-18,2,0.77
2026-09-08,BBQ-PER-UP,18-24,3,0.82
2026-09-08,BBQ-TNP-DN,00-06,5,0.87
2026-09-08,BBQ-TNP-DN,06-12,3,0.70
2026-09-08,BBQ-TNP-DN,12-18,5,0.77
2026-09-08,BBQ-TNP-DN,18-24,7,0.80
2026-09-08,BBQ-TNP-UP,00-06,8,0.81
2026-09-08,BBQ-TNP-UP,06-12,3,0.61
2026-09-08,BBQ-TNP-UP,12-18,4,0.76
2026-09-08,BBQ-TNP-UP,18-24,5,0.77
2026-09-08,ENR-MJR-DN,00-06,6,0.82
2026-09-08,ENR-MJR-DN,06-12,2,0.68
2026-09-08,ENR-MJR-DN,12-18,4,0.77
2026-09-08,ENR-MJR-DN,18-24,6,0.84
2026-09-08,ENR-MJR-UP,00-06,8,0.82
2026-09-08,ENR-MJR-UP,06-12,2,0.70
2026-09-08,ENR-MJR-UP,12-18,5,0.77
2026-09-08,ENR-MJR-UP,18-24,6,0.79
2026-09-08,MAS-BBQ-DN,00-06,4,0.86
2026-09-08,MAS-BBQ-DN,06-12,1,0.66
2026-09-08,MAS-BBQ-DN,12-18,2,0.69
2026-09-08,MAS-BBQ-DN,18-24,3,0.86
2026-09-08,MAS-BBQ-UP,00-06,2,0.86
2026-09-08,MAS-BBQ-UP,06-12,1,0.63
2026-09-08,MAS-BBQ-UP,12-18,1,0.77
2026-09-08,MAS-BBQ-UP,18-24,3,0.80
2026-09-08,MJR-PON-DN,00-06,5,0.82
2026-09-08,MJR-PON-DN,06-12,1,0.67
2026-09-08,MJR-PON-DN,12-18,2,0.70
2026-09-08,MJR-PON-DN,18-24,3,0.82
2026-09-08,MJR-PON-UP,00-06,5,0.85
2026-09-08,MJR-PON-UP,06-12,1,0.65
2026-09-08,MJR-PON-UP,12-18,2,0.69
2026-09-08,MJR-PON-UP,18-24,4,0.79
2026-09-08,PER-ABU-DN,00-06,3,0.84
2026-09-08,PER-ABU-DN,06-12,1,0.61
2026-09-08,PER-ABU-DN,12-18,2,0.70
2026-09-08,PER-ABU-DN,18-24,2,0.86
2026-09-08,PER-ABU-UP,00-06,2,0.84
2026-09-08,PER-ABU-UP,06-12,1,0.69
2026-09-08,PER-ABU-UP,12-18,1,0.68
2026-09-08,PER-ABU-UP,18-24,3,0.87
2026-09-08,PON-GPD-DN,00-06,3,0.85
2026-09-08,PON-GPD-DN,06-12,1,0.62
2026-09-08,PON-GPD-DN,12-18,2,0.77
2026-09-08,PON-GPD-DN,18-24,3,0.84
2026-09-08,PON-GPD-UP,00-06,4,0.87
2026-09-08,PON-GPD-UP,06-12,2,0.65
2026-09-08,PON-GPD-UP,12-18,3,0.73
2026-09-08,PON-GPD-UP,18-24,3,0.83
2026-09-08,TI-TRL-DN,00-06,3,0.90
2026-09-08,TI-TRL-DN,06-12,1,0.70
2026-09-08,TI-TRL-DN,12-18,2,0.71
2026-09-08,TI-TRL-DN,18-24,3,0.84
2026-09-08,TI-TRL-UP,00-06,3,0.86
2026-09-08,TI-TRL-UP,06-12,1,0.67
2026-09-08,TI-TRL-UP,12-18,1,0.68
2026-09-08,TI-TRL-UP,18-24,2,0.84
2026-09-08,TNP-ENR-DN,00-06,7,0.86
2026-09-08,TNP-ENR-DN,06-12,3,0.64
2026-09-08,TNP-ENR-DN,12-18,5,0.76
2026-09-08,TNP-ENR-DN,18-24,6,0.78
2026-09-08,TNP-ENR-UP,00-06,6,0.88
2026-09-08,TNP-ENR-UP,06-12,2,0.67
2026-09-08,TNP-ENR-UP,12-18,4,0.76
2026-09-08,TNP-ENR-UP,18-24,7,0.77
2026-09-08,TRL-AJJ-DN,00-06,2,0.86
2026-09-08,TRL-AJJ-DN,06-12,1,0.62
2026-09-08,TRL-AJJ-DN,12-18,2,0.71
2026-09-08,TRL-AJJ-DN,18-24,2,0.85
2026-09-08,TRL-AJJ-UP,00-06,3,0.88
2026-09-08,TRL-AJJ-UP,06-12,1,0.65
2026-09-08,TRL-AJJ-UP,12-18,2,0.75
2026-09-08,TRL-AJJ-UP,18-24,3,0.80
2026-09-09,ABU-AVD-DN,00-06,4,0.84
2026-09-09,ABU-AVD-DN,06-12,1,0.69
2026-09-09,ABU-AVD-DN,12-18,2,0.68
2026-09-09,ABU-AVD-DN,18-24,3,0.78
2026-09-09,ABU-AVD-UP,00-06,2,0.89
2026-09-09,ABU-AVD-UP,06-12,1,0.69
2026-09-09,ABU-AVD-UP,12-18,2,0.73
2026-09-09,ABU-AVD-UP,18-24,2,0.79
2026-09-09,AVD-TI-DN,00-06,4,0.86
2026-09-09,AVD-TI-DN,06-12,1,0.68
2026-09-09,AVD-TI-DN,12-18,2,0.76
2026-09-09,AVD-TI-DN,18-24,2,0.84
2026-09-09,AVD-TI-UP,00-06,3,0.82
2026-09-09,AVD-TI-UP,06-12,1,0.66
2026-09-09,AVD-TI-UP,12-18,2,0.75
2026-09-09,AVD-TI-UP,18-24,3,0.84
2026-09-09,BBQ-PER-DN,00-06,3,0.87
2026-09-09,BBQ-PER-DN,06-12,1,0.64
2026-09-09,BBQ-PER-DN,12-18,2,0.74
2026-09-09,BBQ-PER-DN,18-24,2,0.84
2026-09-09,BBQ-PER-UP,00-06,3,0.88
2026-09-09,BBQ-PER-UP,06-12,1,0.63
2026-09-09,BBQ-PER-UP,12-18,2,0.75
2026-09-09,BBQ-PER-UP,18-24,3,0.82
2026-09-09,BBQ-TNP-DN,00-06,9,0.89
2026-09-09,BBQ-TNP-DN,06-12,3,0.66
2026-09-09,BBQ-TNP-DN,12-18,3,0.71
2026-09-09,BBQ-TNP-DN,18-24,6,0.86
2026-09-09,BBQ-TNP-UP,00-06,8,0.86
2026-09-09,BBQ-TNP-UP,06-12,2,0.69
2026-09-09,BBQ-TNP-UP,12-18,3,0.71
2026-09-09,BBQ-TNP-UP,18-24,5,0.77
2026-09-09,ENR-MJR-DN,00-06,6,0.90
2026-09-09,ENR-MJR-DN,06-12,2,0.63
2026-09-09,ENR-MJR-DN,12-18,3,0.68
2026-09-09,ENR-MJR-DN,18-24,5,0.82
2026-09-09,ENR-MJR-UP,00-06,6,0.81
2026-09-09,ENR-MJR-UP,06-12,2,0.61
2026-09-09,ENR-MJR-UP,12-18,4,0.70
2026-09-09,ENR-MJR-UP,18-24,6,0.79
2026-09-09,MAS-BBQ-DN,00-06,4,0.86
2026-09-09,MAS-BBQ-DN,06-12,1,0.62
2026-09-09,MAS-BBQ-DN,12-18,1,0.68
2026-09-09,MAS-BBQ-DN,18-24,3,0.86
2026-09-09,MAS-BBQ-UP,00-06,4,0.84
2026-09-09,MAS-BBQ-UP,06-12,1,0.68
2026-09-09,MAS-BBQ-UP,12-18,2,0.73
2026-09-09,MAS-BBQ-UP,18-24,3,0.84
2026-09-09,MJR-PON-DN,00-06,4,0.86
2026-09-09,MJR-PON-DN,06-12,1,0.69
2026-09-09,MJR-PON-DN,12-18,2,0.76
2026-09-09,MJR-PON-DN,18-24,4,0.78
2026-09-09,MJR-PON-UP,00-06,3,0.84
2026-09-09,MJR-PON-UP,06-12,1,0.62
2026-09-09,MJR-PON-UP,12-18,3,0.70
2026-09-09,MJR-PON-UP,18-24,3,0.78
2026-09-09,PER-ABU-DN,00-06,3,0.80
2026-09-09,PER-ABU-DN,06-12,1,0.67
2026-09-09,PER-ABU-DN,12-18,2,0.77
2026-09-09,PER-ABU-DN,18-24,2,0.84
2026-09-09,PER-ABU-UP,00-06,3,0.90
2026-09-09,PER-ABU-UP,06-12,1,0.65
2026-09-09,PER-ABU-UP,12-18,2,0.76
2026-09-09,PER-ABU-UP,18-24,2,0.87
2026-09-09,PON-GPD-DN,00-06,4,0.83
2026-09-09,PON-GPD-DN,06-12,1,0.64
2026-09-09,PON-GPD-DN,12-18,2,0.78
2026-09-09,PON-GPD-DN,18-24,3,0.85
2026-09-09,PON-GPD-UP,00-06,4,0.85
2026-09-09,PON-GPD-UP,06-12,2,0.66
2026-09-09,PON-GPD-UP,12-18,3,0.76
2026-09-09,PON-GPD-UP,18-24,3,0.78
2026-09-09,TI-TRL-DN,00-06,2,0.84
2026-09-09,TI-TRL-DN,06-12,1,0.65
2026-09-09,TI-TRL-DN,12-18,2,0.76
2026-09-09,TI-TRL-DN,18-24,3,0.82
2026-09-09,TI-TRL-UP,00-06,4,0.85
2026-09-09,TI-TRL-UP,06-12,1,0.66
2026-09-09,TI-TRL-UP,12-18,2,0.75
2026-09-09,TI-TRL-UP,18-24,3,0.85
2026-09-09,TNP-ENR-DN,00-06,8,0.85
2026-09-09,TNP-ENR-DN,06-12,2,0.62
2026-09-09,TNP-ENR-DN,12-18,3,0.71
2026-09-09,TNP-ENR-DN,18-24,8,0.83
2026-09-09,TNP-ENR-UP,00-06,6,0.85
2026-09-09,TNP-ENR-UP,06-12,2,0.61
2026-09-09,TNP-ENR-UP,12-18,5,0.76
2026-09-09,TNP-ENR-UP,18-24,6,0.77
2026-09-09,TRL-AJJ-DN,00-06,3,0.89
2026-09-09,TRL-AJJ-DN,06-12,1,0.63
2026-09-09,TRL-AJJ-DN,12-18,2,0.78
2026-09-09,TRL-AJJ-DN,18-24,3,0.85
2026-09-09,TRL-AJJ-UP,00-06,4,0.89
2026-09-09,TRL-AJJ-UP,06-12,1,0.62
2026-09-09,TRL-AJJ-UP,12-18,2,0.73
2026-09-09,TRL-AJJ-UP,18-24,3,0.83
2026-09-10,ABU-AVD-DN,00-06,3,0.80
2026-09-10,ABU-AVD-DN,06-12,1,0.67
2026-09-10,ABU-AVD-DN,12-18,2,0.72
2026-09-10,ABU-AVD-DN,18-24,3,0.81
2026-09-10,ABU-AVD-UP,00-06,3,0.86
2026-09-10,ABU-AVD-UP,06-12,1,0.65
2026-09-10,ABU-AVD-UP,12-18,1,0.74
2026-09-10,ABU-AVD-UP,18-24,3,0.81
2026-09-10,AVD-TI-DN,00-06,3,0.86
2026-09-10,AVD-TI-DN,06-12,1,0.66
2026-09-10,AVD-TI-DN,12-18,2,0.74
2026-09-10,AVD-TI-DN,18-24,3,0.77
2026-09-10,AVD-TI-UP,00-06,3,0.82
2026-09-10,AVD-TI-UP,06-12,1,0.69
2026-09-10,AVD-TI-UP,12-18,2,0.74
2026-09-10,AVD-TI-UP,18-24,3,0.81
2026-09-10,BBQ-PER-DN,00-06,3,0.89
2026-09-10,BBQ-PER-DN,06-12,1,0.67
2026-09-10,BBQ-PER-DN,12-18,1,0.74
2026-09-10,BBQ-PER-DN,18-24,3,0.85
2026-09-10,BBQ-PER-UP,00-06,3,0.82
2026-09-10,BBQ-PER-UP,06-12,1,0.63
2026-09-10,BBQ-PER-UP,12-18,2,0.71
2026-09-10,BBQ-PER-UP,18-24,3,0.85
2026-09-10,BBQ-TNP-DN,00-06,6,0.80
2026-09-10,BBQ-TNP-DN,06-12,3,0.61
2026-09-10,BBQ-TNP-DN,12-18,5,0.73
2026-09-10,BBQ-TNP-DN,18-24,6,0.81
2026-09-10,BBQ-TNP-UP,00-06,6,0.82
2026-09-10,BBQ-TNP-UP,06-12,2,0.64
2026-09-10,BBQ-TNP-UP,12-18,4,0.76
2026-09-10,BBQ-TNP-UP,18-24,7,0.85
2026-09-10,ENR-MJR-DN,00-06,6,0.86
2026-09-10,ENR-MJR-DN,06-12,3,0.67
2026-09-10,ENR-MJR-DN,12-18,5,0.70
2026-09-10,ENR-MJR-DN,18-24,6,0.80
2026-09-10,ENR-MJR-UP,00-06,7,0.81
2026-09-10,ENR-MJR-UP,06-12,2,0.70
2026-09-10,ENR-MJR-UP,12-18,5,0.74
2026-09-10,ENR-MJR-UP,18-24,7,0.78
2026-09-10,MAS-BBQ-DN,00-06,3,0.80
2026-09-10,MAS-BBQ-DN,06-12,1,0.69
2026-09-10,MAS-BBQ-DN,12-18,2,0.77
2026-09-10,MAS-BBQ-DN,18-24,2,0.80
2026-09-10,MAS-BBQ-UP,00-06,3,0.87
2026-09-10,MAS-BBQ-UP,06-12,1,0.69
2026-09-10,MAS-BBQ-UP,12-18,2,0.72
2026-09-10,MAS-BBQ-UP,18-24,3,0.85
2026-09-10,MJR-PON-DN,00-06,3,0.84
2026-09-10,MJR-PON-DN,06-12,1,0.63
2026-09-10,MJR-PON-DN,12-18,2,0.71
2026-09-10,MJR-PON-DN,18-24,4,0.78
2026-09-10,MJR-PON-UP,00-06,4,0.85
2026-09-10,MJR-PON-UP,06-12,1,0.70
2026-09-10,MJR-PON-UP,12-18,2,0.70
2026-09-10,MJR-PON-UP,18-24,3,0.80
2026-09-10,PER-ABU-DN,00-06,3,0.88
2026-09-10,PER-ABU-DN,06-12,1,0.69
2026-09-10,PER-ABU-DN,12-18,2,0.71
2026-09-10,PER-ABU-DN,18-24,3,0.82
2026-09-10,PER-ABU-UP,00-06,3,0.84
2026-09-10,PER-ABU-UP,06-12,1,0.62
2026-09-10,PER-ABU-UP,12-18,2,0.78
2026-09-10,PER-ABU-UP,18-24,3,0.82
2026-09-10,PON-GPD-DN,00-06,3,0.87
2026-09-10,PON-GPD-DN,06-12,1,0.69
2026-09-10,PON-GPD-DN,12-18,3,0.75
2026-09-10,PON-GPD-DN,18-24,3,0.79
2026-09-10,PON-GPD-UP,00-06,4,0.89
2026-09-10,PON-GPD-UP,06-12,1,0.69
2026-09-10,PON-GPD-UP,12-18,2,0.72
2026-09-10,PON-GPD-UP,18-24,4,0.77
2026-09-10,TI-TRL-DN,00-06,3,0.82
2026-09-10,TI-TRL-DN,06-12,1,0.68
2026-09-10,TI-TRL-DN,12-18,2,0.71
2026-09-10,TI-TRL-DN,18-24,2,0.87
2026-09-10,TI-TRL-UP,00-06,3,0.88
2026-09-10,TI-TRL-UP,06-12,1,0.65
2026-09-10,TI-TRL-UP,12-18,2,0.74
2026-09-10,TI-TRL-UP,18-24,3,0.83
2026-09-10,TNP-ENR-DN,00-06,7,0.89
2026-09-10,TNP-ENR-DN,06-12,3,0.67
2026-09-10,TNP-ENR-DN,12-18,4,0.71
2026-09-10,TNP-ENR-DN,18-24,6,0.77
2026-09-10,TNP-ENR-UP,00-06,9,0.82
2026-09-10,TNP-ENR-UP,06-12,3,0.66
2026-09-10,TNP-ENR-UP,12-18,4,0.74
2026-09-10,TNP-ENR-UP,18-24,7,0.79
2026-09-10,TRL-AJJ-DN,00-06,3,0.86
2026-09-10,TRL-AJJ-DN,06-12,1,0.63
2026-09-10,TRL-AJJ-DN,12-18,2,0.72
2026-09-10,TRL-AJJ-DN,18-24,2,0.85
2026-09-10,TRL-AJJ-UP,00-06,3,0.85
2026-09-10,TRL-AJJ-UP,06-12,1,0.65
2026-09-10,TRL-AJJ-UP,12-18,2,0.72
2026-09-10,TRL-AJJ-UP,18-24,2,0.79
2026-09-11,ABU-AVD-DN,00-06,4,0.86
2026-09-11,ABU-AVD-DN,06-12,1,0.68
2026-09-11,ABU-AVD-DN,12-18,2,0.72
2026-09-11,ABU-AVD-DN,18-24,3,0.79
2026-09-11,ABU-AVD-UP,00-06,2,0.84
2026-09-11,ABU-AVD-UP,06-12,1,0.62
2026-09-11,ABU-AVD-UP,12-18,2,0.71
2026-09-11,ABU-AVD-UP,18-24,3,0.81
2026-09-11,AVD-TI-DN,00-06,3,0.87
2026-09-11,AVD-TI-DN,06-12,1,0.66
2026-09-11,AVD-TI-DN,12-18,2,0.77
2026-09-11,AVD-TI-DN,18-24,3,0.87
2026-09-11,AVD-TI-UP,00-06,3,0.83
2026-09-11,AVD-TI-UP,06-12,1,0.63
2026-09-11,AVD-TI-UP,12-18,2,0.75
2026-09-11,AVD-TI-UP,18-24,2,0.81
2026-09-11,BBQ-PER-DN,00-06,2,0.90
2026-09-11,BBQ-PER-DN,06-12,1,0.68
2026-09-11,BBQ-PER-DN,12-18,2,0.73
2026-09-11,BBQ-PER-DN,18-24,3,0.78
2026-09-11,BBQ-PER-UP,00-06,3,0.86
2026-09-11,BBQ-PER-UP,06-12,1,0.62
2026-09-11,BBQ-PER-UP,12-18,1,0.75
2026-09-11,BBQ-PER-UP,18-24,3,0.84
2026-09-11,BBQ-TNP-DN,00-06,7,0.85
2026-09-11,BBQ-TNP-DN,06-12,3,0.61
2026-09-11,BBQ-TNP-DN,12-18,3,0.75
2026-09-11,BBQ-TNP-DN,18-24,8,0.85
2026-09-11,BBQ-TNP-UP,00-06,9,0.85
2026-09-11,BBQ-TNP-UP,06-12,2,0.62
2026-09-11,BBQ-TNP-UP,12-18,4,0.69
2026-09-11,BBQ-TNP-UP,18-24,8,0.84
2026-09-11,ENR-MJR-DN,00-06,6,0.80
2026-09-11,ENR-MJR-DN,06-12,3,0.63
2026-09-11,ENR-MJR-DN,12-18,5,0.76
2026-09-11,ENR-MJR-DN,18-24,6,0.86
2026-09-11,ENR-MJR-UP,00-06,7,0.84
2026-09-11,ENR-MJR-UP,06-12,2,0.63
2026-09-11,ENR-MJR-UP,12-18,3,0.78
2026-09-11,ENR-MJR-UP,18-24,7,0.79
2026-09-11,MAS-BBQ-DN,00-06,3,0.82
2026-09-11,MAS-BBQ-DN,06-12,1,0.69
2026-09-11,MAS-BBQ-DN,12-18,2,0.77
2026-09-11,MAS-BBQ-DN,18-24,3,0.80
2026-09-11,MAS-BBQ-UP,00-06,4,0.88
2026-09-11,MAS-BBQ-UP,06-12,1,0.64
2026-09-11,MAS-BBQ-UP,12-18,2,0.76
2026-09-11,MAS-BBQ-UP,18-24,2,0.83
2026-09-11,MJR-PON-DN,00-06,5,0.85
2026-09-11,MJR-PON-DN,06-12,2,0.63
2026-09-11,MJR-PON-DN,12-18,2,0.69
2026-09-11,MJR-PON-DN,18-24,3,0.86
2026-09-11,MJR-PON-UP,00-06,5,0.80
2026-09-11,MJR-PON-UP,06-12,1,0.69
2026-09-11,MJR-PON-UP,12-18,2,0.72
2026-09-11,MJR-PON-UP,18-24,4,0.78
2026-09-11,PER-ABU-DN,00-06,2,0.82
2026-09-11,PER-ABU-DN,06-12,1,0.61
2026-09-11,PER-ABU-DN,12-18,2,0.75
2026-09-11,PER-ABU-DN,18-24,3,0.82
2026-09-11,PER-ABU-UP,00-06,3,0.81
2026-09-11,PER-ABU-UP,06-12,1,0.65
2026-09-11,PER-ABU-UP,12-18,1,0.75
2026-09-11,PER-ABU-UP,18-24,2,0.79
2026-09-11,PON-GPD-DN,00-06,3,0.83
2026-09-11,PON-GPD-DN,06-12,1,0.64
2026-09-11,PON-GPD-DN,12-18,3,0.76
2026-09-11,PON-GPD-DN,18-24,4,0.83
2026-09-11,PON-GPD-UP,00-06,5,0.83
2026-09-11,PON-GPD-UP,06-12,2,0.61
2026-09-11,PON-GPD-UP,12-18,2,0.69
2026-09-11,PON-GPD-UP,18-24,4,0.81
2026-09-11,TI-TRL-DN,00-06,3,0.86
2026-09-11,TI-TRL-DN,06-12,1,0.67
2026-09-11,TI-TRL-DN,12-18,2,0.73
2026-09-11,TI-TRL-DN,18-24,2,0.82
2026-09-11,TI-TRL-UP,00-06,3,0.85
2026-09-11,TI-TRL-UP,06-12,1,0.66
2026-09-11,TI-TRL-UP,12-18,2,0.68
2026-09-11,TI-TRL-UP,18-24,2,0.85
2026-09-11,TNP-ENR-DN,00-06,7,0.90
2026-09-11,TNP-ENR-DN,06-12,3,0.70
2026-09-11,TNP-ENR-DN,12-18,5,0.70
2026-09-11,TNP-ENR-DN,18-24,5,0.86
2026-09-11,TNP-ENR-UP,00-06,7,0.86
2026-09-11,TNP-ENR-UP,06-12,2,0.64
2026-09-11,TNP-ENR-UP,12-18,4,0.72
2026-09-11,TNP-ENR-UP,18-24,7,0.78
2026-09-11,TRL-AJJ-DN,00-06,3,0.89
2026-09-11,TRL-AJJ-DN,06-12,1,0.70
2026-09-11,TRL-AJJ-DN,12-18,2,0.73
2026-09-11,TRL-AJJ-DN,18-24,2,0.82
2026-09-11,TRL-AJJ-UP,00-06,3,0.89
2026-09-11,TRL-AJJ-UP,06-12,1,0.61
2026-09-11,TRL-AJJ-UP,12-18,2,0.74
2026-09-11,TRL-AJJ-UP,18-24,2,0.82
2026-09-12,ABU-AVD-DN,00-06,2,0.88
2026-09-12,ABU-AVD-DN,06-12,1,0.69
2026-09-12,ABU-AVD-DN,12-18,2,0.74
2026-09-12,ABU-AVD-DN,18-24,2,0.84
2026-09-12,ABU-AVD-UP,00-06,2,0.87
2026-09-12,ABU-AVD-UP,06-12,1,0.61
2026-09-12,ABU-AVD-UP,12-18,2,0.71
2026-09-12,ABU-AVD-UP,18-24,3,0.87
2026-09-12,AVD-TI-DN,00-06,2,0.80
2026-09-12,AVD-TI-DN,06-12,1,0.62
2026-09-12,AVD-TI-DN,12-18,2,0.73
2026-09-12,AVD-TI-DN,18-24,2,0.85
2026-09-12,AVD-TI-UP,00-06,2,0.85
2026-09-12,AVD-TI-UP,06-12,1,0.68
2026-09-12,AVD-TI-UP,12-18,1,0.75
2026-09-12,AVD-TI-UP,18-24,2,0.86
2026-09-12,BBQ-PER-DN,00-06,2,0.85
2026-09-12,BBQ-PER-DN,06-12,1,0.70
2026-09-12,BBQ-PER-DN,12-18,1,0.74
2026-09-12,BBQ-PER-DN,18-24,2,0.80
2026-09-12,BBQ-PER-UP,00-06,3,0.86
