crew_id,department,base_section,size,shift_pattern,qualifications,min_rest_hours,max_consecutive_nights,max_weekly_duty_hours,division_id
TRD-AJJ-B,TRD,TRL-AJJ-UP,5,rotating_3,TRD-OHE-INSP;TRD-OHE-INSULATOR;TRD-OHE-TENSION;TRD-OHE-DROPPER;TRD-OHE-EARTHING;TRD-OHE-FAULT;TRD-OHE-YARD,12,3,52,SR-MAS
TRD-ENR-B,TRD,TNP-ENR-UP,6,rotating_3,TRD-OHE-INSP;TRD-OHE-INSULATOR;TRD-OHE-TENSION;TRD-OHE-DROPPER;TRD-OHE-EARTHING;TRD-OHE-FAULT;TRD-OHE-YARD,12,3,52,SR-MAS
TRD-GPD-B,TRD,PON-GPD-UP,5,rotating_3,TRD-OHE-INSP;TRD-OHE-INSULATOR;TRD-OHE-TENSION;TRD-OHE-DROPPER;TRD-OHE-EARTHING;TRD-OHE-FAULT;TRD-OHE-YARD,12,3,54,SR-MAS
TRD-MSB-B,TRD,MSB-MS-UP_SUB,7,rotating_3,TRD-OHE-WIRE-RENEW;TRD-OHE-MAST;TRD-NEUTRAL-SECTION,12,3,54,SR-MAS
TRD-GI-B,TRD,MBM-GI-UP_SUB,6,rotating_3,TRD-OHE-WIRE-RENEW;TRD-OHE-MAST;TRD-NEUTRAL-SECTION,12,3,52,SR-MAS
TRD-TBM-B,TRD,PV-TBM-UP_SUB,8,rotating_3,TRD-OHE-WIRE-RENEW;TRD-OHE-MAST;TRD-NEUTRAL-SECTION,12,3,54,SR-MAS
TRD-CGL-B,TRD,CGL-WJ-SINGLE,8,rotating_3,TRD-OHE-WIRE-RENEW;TRD-OHE-MAST;TRD-NEUTRAL-SECTION,12,3,48,SR-MAS
TRD-MAS-C,TRD,MAS-BBQ-UP_SUB,8,rotating_2,TRD-OHE-WIRE-RENEW;TRD-OHE-MAST;TRD-NEUTRAL-SECTION,12,2,48,SR-MAS
TRD-AVD-C,TRD,ABU-AVD-UP_SUB,6,rotating_3,TRD-OHE-WIRE-RENEW;TRD-OHE-MAST;TRD-NEUTRAL-SECTION,12,3,54,SR-MAS
TRD-AJJ-C,TRD,TRL-AJJ-UP,8,rotating_2,TRD-OHE-WIRE-RENEW;TRD-OHE-MAST;TRD-NEUTRAL-SECTION,12,2,52,SR-MAS
TRD-ENR-C,TRD,TNP-ENR-UP,7,rotating_2,TRD-OHE-WIRE-RENEW;TRD-OHE-MAST;TRD-NEUTRAL-SECTION,12,2,54,SR-MAS
TRD-GPD-C,TRD,PON-GPD-UP,5,day_only,TRD-SUBSTN-MAINT;TRD-SWITCHING-POST,12,0,48,SR-MAS
TRD-MSB-C,TRD,MSB-MS-UP_SUB,3,day_only,TRD-SUBSTN-MAINT;TRD-SWITCHING-POST,12,0,52,SR-MAS
TRD-GI-C,TRD,MBM-GI-UP_SUB,3,day_only,TRD-SUBSTN-MAINT;TRD-SWITCHING-POST,12,0,48,SR-MAS
TRD-TBM-C,TRD,PV-TBM-UP_SUB,5,day_only,TRD-SUBSTN-MAINT;TRD-SWITCHING-POST,12,0,48,SR-MAS
SNT-MAS-A,SNT,MAS-BBQ-UP_SUB,4,rotating_3,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,3,52,SR-MAS
SNT-PER-A,SNT,BBQ-PER-UP_SUB,4,rotating_2,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,2,52,SR-MAS
SNT-AVD-A,SNT,ABU-AVD-UP_SUB,3,rotating_2,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,2,54,SR-MAS
SNT-TRL-A,SNT,TI-TRL-UP,3,rotating_2,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,2,48,SR-MAS
SNT-AJJ-A,SNT,TRL-AJJ-UP,5,rotating_2,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,2,52,SR-MAS
SNT-TNP-A,SNT,BBQ-TNP-UP,4,rotating_3,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,3,54,SR-MAS
SNT-ENR-A,SNT,TNP-ENR-UP,4,rotating_3,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,3,52,SR-MAS
SNT-GPD-A,SNT,PON-GPD-UP,3,rotating_2,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,2,52,SR-MAS
SNT-MSB-A,SNT,MSB-MS-UP_SUB,5,rotating_2,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,2,48,SR-MAS
SNT-MS-A,SNT,MSB-MS-UP_SUB,4,rotating_2,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,2,54,SR-MAS
SNT-GI-A,SNT,MBM-GI-UP_SUB,4,rotating_2,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,2,48,SR-MAS
SNT-STM-A,SNT,GI-STM-UP_SUB,4,rotating_2,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,2,48,SR-MAS
SNT-TBM-A,SNT,PV-TBM-UP_SUB,4,rotating_2,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,2,48,SR-MAS
SNT-CGL-A,SNT,CGL-WJ-SINGLE,5,rotating_2,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,2,48,SR-MAS
SNT-CJ-A,SNT,WJ-CJ-SINGLE,4,rotating_2,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,2,48,SR-MAS
SNT-MAS-B,SNT,MAS-BBQ-UP_SUB,5,rotating_2,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,2,54,SR-MAS
SNT-PER-B,SNT,BBQ-PER-UP_SUB,5,rotating_3,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,3,52,SR-MAS
SNT-AVD-B,SNT,ABU-AVD-UP_SUB,3,rotating_3,SNT-POINT-SERVICE;SNT-SIGNAL-LAMP;SNT-TRACK-CIRCUIT;SNT-AXLE-COUNTER;SNT-BLOCK-INSTRUMENT;SNT-LC-GATE,12,3,54,SR-MAS
SNT-TRL-B,SNT,TI-TRL-UP,6,rotating_3,SNT-POINT-REPLACE;SNT-SIGNAL-REPLACE;SNT-INTERLOCK-TEST;SNT-CABLE-LAY,12,3,52,SR-MAS
SNT-AJJ-B,SNT,TRL-AJJ-UP,6,rotating_3,SNT-POINT-REPLACE;SNT-SIGNAL-REPLACE;SNT-INTERLOCK-TEST;SNT-CABLE-LAY,12,3,48,SR-MAS
SNT-TNP-B,SNT,BBQ-TNP-UP,4,rotating_2,SNT-POINT-REPLACE;SNT-SIGNAL-REPLACE;SNT-INTERLOCK-TEST;SNT-CABLE-LAY,12,2,48,SR-MAS
SNT-ENR-B,SNT,TNP-ENR-UP,6,rotating_2,SNT-POINT-REPLACE;SNT-SIGNAL-REPLACE;SNT-INTERLOCK-TEST;SNT-CABLE-LAY,12,2,48,SR-MAS
SNT-GPD-B,SNT,PON-GPD-UP,4,rotating_2,SNT-POINT-REPLACE;SNT-SIGNAL-REPLACE;SNT-INTERLOCK-TEST;SNT-CABLE-LAY,12,2,48,SR-MAS
SNT-MSB-B,SNT,MSB-MS-UP_SUB,6,rotating_3,SNT-POINT-REPLACE;SNT-SIGNAL-REPLACE;SNT-INTERLOCK-TEST;SNT-CABLE-LAY,12,3,52,SR-MAS
SNT-MS-B,SNT,MSB-MS-UP_SUB,5,rotating_3,SNT-POINT-REPLACE;SNT-SIGNAL-REPLACE;SNT-INTERLOCK-TEST;SNT-CABLE-LAY,12,3,52,SR-MAS
SNT-GI-B,SNT,MBM-GI-UP_SUB,5,rotating_3,SNT-POINT-REPLACE;SNT-SIGNAL-REPLACE;SNT-INTERLOCK-TEST;SNT-CABLE-LAY,12,3,48,SR-MAS
SNT-STM-B,SNT,GI-STM-UP_SUB,6,rotating_3,SNT-POINT-REPLACE;SNT-SIGNAL-REPLACE;SNT-INTERLOCK-TEST;SNT-CABLE-LAY,12,3,48,SR-MAS
SNT-TBM-B,SNT,PV-TBM-UP_SUB,5,rotating_2,SNT-POINT-REPLACE;SNT-SIGNAL-REPLACE;SNT-INTERLOCK-TEST;SNT-CABLE-LAY,12,2,52,SR-MAS
SNT-CGL-B,SNT,CGL-WJ-SINGLE,5,rotating_2,SNT-POINT-REPLACE;SNT-SIGNAL-REPLACE;SNT-INTERLOCK-TEST;SNT-CABLE-LAY,12,2,54,SR-MAS
SNT-CJ-B,SNT,WJ-CJ-SINGLE,6,rotating_3,SNT-POINT-REPLACE;SNT-SIGNAL-REPLACE;SNT-INTERLOCK-TEST;SNT-CABLE-LAY,12,3,48,SR-MAS
