block_section_id,from_station,to_station,line_id,start_km,end_km,corridor_id,parallel_edges,next_sections,electrified,sectional_speed_kmph,daily_train_count,traffic_type,bidirectional_capable,monsoon_sensitive,division_id
AVD-TI-UP,AVD,TI,UP,21.0,29.0,MAS-AJJ,AVD-TI-DN;AVD-TI-UP_SUB;AVD-TI-DN_SUB,TI-TRL-UP,true,110,76,trunk,true,false,SR-MAS
AVD-TI-DN,AVD,TI,DN,21.0,29.0,MAS-AJJ,AVD-TI-UP;AVD-TI-UP_SUB;AVD-TI-DN_SUB,TI-TRL-DN,true,110,76,trunk,true,false,SR-MAS
AVD-TI-UP_SUB,AVD,TI,UP_SUB,21.0,29.0,MAS-AJJ,AVD-TI-UP;AVD-TI-DN;AVD-TI-DN_SUB,TI-TRL-UP_SUB,true,100,70,suburban,false,false,SR-MAS
AVD-TI-DN_SUB,AVD,TI,DN_SUB,21.0,29.0,MAS-AJJ,AVD-TI-UP;AVD-TI-DN;AVD-TI-UP_SUB,TI-TRL-DN_SUB,true,100,70,suburban,false,false,SR-MAS
TI-TRL-UP,TI,TRL,UP,29.0,42.0,MAS-AJJ,TI-TRL-DN;TI-TRL-UP_SUB;TI-TRL-DN_SUB,TRL-AJJ-UP,true,110,74,trunk,true,false,SR-MAS
TI-TRL-DN,TI,TRL,DN,29.0,42.0,MAS-AJJ,TI-TRL-UP;TI-TRL-UP_SUB;TI-TRL-DN_SUB,TRL-AJJ-DN,true,110,74,trunk,true,false,SR-MAS
TI-TRL-UP_SUB,TI,TRL,UP_SUB,29.0,42.0,MAS-AJJ,TI-TRL-UP;TI-TRL-DN;TI-TRL-DN_SUB,TRL-AJJ-UP_SUB,true,100,55,suburban,false,false,SR-MAS
TI-TRL-DN_SUB,TI,TRL,DN_SUB,29.0,42.0,MAS-AJJ,TI-TRL-UP;TI-TRL-DN;TI-TRL-UP_SUB,TRL-AJJ-DN_SUB,true,100,55,suburban,false,false,SR-MAS
TRL-AJJ-UP,TRL,AJJ,UP,42.0,68.5,MAS-AJJ,TRL-AJJ-DN;TRL-AJJ-UP_SUB;TRL-AJJ-DN_SUB,TKO-AJJ-SINGLE,true,110,70,trunk,true,false,SR-MAS
TRL-AJJ-DN,TRL,AJJ,DN,42.0,68.5,MAS-AJJ,TRL-AJJ-UP;TRL-AJJ-UP_SUB;TRL-AJJ-DN_SUB,TKO-AJJ-SINGLE,true,110,70,trunk,true,false,SR-MAS
TRL-AJJ-UP_SUB,TRL,AJJ,UP_SUB,42.0,68.5,MAS-AJJ,TRL-AJJ-UP;TRL-AJJ-DN;TRL-AJJ-DN_SUB,TKO-AJJ-SINGLE,true,100,35,suburban,false,false,SR-MAS
TRL-AJJ-DN_SUB,TRL,AJJ,DN_SUB,42.0,68.5,MAS-AJJ,TRL-AJJ-UP;TRL-AJJ-DN;TRL-AJJ-UP_SUB,TKO-AJJ-SINGLE,true,100,35,suburban,false,false,SR-MAS
BBQ-TNP-UP,BBQ,TNP,UP,2.0,5.0,BBQ-GPD,BBQ-TNP-DN,TNP-ENR-UP,true,60,55,freight,true,true,SR-MAS
BBQ-TNP-DN,BBQ,TNP,DN,2.0,5.0,BBQ-GPD,BBQ-TNP-UP,TNP-ENR-DN,true,60,55,freight,true,true,SR-MAS
TNP-ENR-UP,TNP,ENR,UP,5.0,16.0,BBQ-GPD,TNP-ENR-DN,ENR-MJR-UP,true,80,48,freight,true,true,SR-MAS
TNP-ENR-DN,TNP,ENR,DN,5.0,16.0,BBQ-GPD,TNP-ENR-UP,ENR-MJR-DN,true,80,48,freight,true,true,SR-MAS
ENR-MJR-UP,ENR,MJR,UP,16.0,26.0,BBQ-GPD,ENR-MJR-DN,MJR-PON-UP,true,100,40,freight,true,true,SR-MAS
ENR-MJR-DN,ENR,MJR,DN,16.0,26.0,BBQ-GPD,ENR-MJR-UP,MJR-PON-DN,true,100,40,freight,true,true,SR-MAS
MJR-PON-UP,MJR,PON,UP,26.0,35.0,BBQ-GPD,MJR-PON-DN,PON-GPD-UP,true,100,34,freight,true,true,SR-MAS
MJR-PON-DN,MJR,PON,DN,26.0,35.0,BBQ-GPD,MJR-PON-UP,PON-GPD-DN,true,100,34,freight,true,true,SR-MAS
PON-GPD-UP,PON,GPD,UP,35.0,47.0,BBQ-GPD,PON-GPD-DN,,true,100,34,freight,true,true,SR-MAS
PON-GPD-DN,PON,GPD,DN,35.0,47.0,BBQ-GPD,PON-GPD-UP,,true,100,34,freight,true,true,SR-MAS
MSB-MS-UP,MSB,MS,UP,0.0,4.3,MSB-TBM,MSB-MS-DN;MSB-MS-UP_SUB;MSB-MS-DN_SUB,MS-MBM-UP,true,60,70,mixed,true,true,SR-MAS
MSB-MS-DN,MSB,MS,DN,0.0,4.3,MSB-TBM,MSB-MS-UP;MSB-MS-UP_SUB;MSB-MS-DN_SUB,MS-MBM-DN,true,60,70,mixed,true,true,SR-MAS
MSB-MS-UP_SUB,MSB,MS,UP_SUB,0.0,4.3,MSB-TBM,MSB-MS-UP;MSB-MS-DN;MSB-MS-DN_SUB,MS-MBM-UP_SUB,true,50,200,suburban,false,true,SR-MAS
MSB-MS-DN_SUB,MSB,MS,DN_SUB,0.0,4.3,MSB-TBM,MSB-MS-UP;MSB-MS-DN;MSB-MS-UP_SUB,MS-MBM-DN_SUB,true,50,200,suburban,false,true,SR-MAS
MS-MBM-UP,MS,MBM,UP,4.3,11.3,MSB-TBM,MS-MBM-DN;MS-MBM-UP_SUB;MS-MBM-DN_SUB,MBM-GI-UP,true,90,66,mixed,true,true,SR-MAS
MS-MBM-DN,MS,MBM,DN,4.3,11.3,MSB-TBM,MS-MBM-UP;MS-MBM-UP_SUB;MS-MBM-DN_SUB,MBM-GI-DN,true,90,66,mixed,true,true,SR-MAS
MS-MBM-UP_SUB,MS,MBM,UP_SUB,4.3,11.3,MSB-TBM,MS-MBM-UP;MS-MBM-DN;MS-MBM-DN_SUB,MBM-GI-UP_SUB,true,75,195,suburban,false,true,SR-MAS
MS-MBM-DN_SUB,MS,MBM,DN_SUB,4.3,11.3,MSB-TBM,MS-MBM-UP;MS-MBM-DN;MS-MBM-UP_SUB,MBM-GI-DN_SUB,true,75,195,suburban,false,true,SR-MAS
MBM-GI-UP,MBM,GI,UP,11.3,15.0,MSB-TBM,MBM-GI-DN;MBM-GI-UP_SUB;MBM-GI-DN_SUB,GI-STM-UP,true,90,66,mixed,true,true,SR-MAS
MBM-GI-DN,MBM,GI,DN,11.3,15.0,MSB-TBM,MBM-GI-UP;MBM-GI-UP_SUB;MBM-GI-DN_SUB,GI-STM-DN,true,90,66,mixed,true,true,SR-MAS
MBM-GI-UP_SUB,MBM,GI,UP_SUB,11.3,15.0,MSB-TBM,MBM-GI-UP;MBM-GI-DN;MBM-GI-DN_SUB,GI-STM-UP_SUB,true,75,195,suburban,false,true,SR-MAS
MBM-GI-DN_SUB,MBM,GI,DN_SUB,11.3,15.0,MSB-TBM,MBM-GI-UP;MBM-GI-DN;MBM-GI-UP_SUB,GI-STM-DN_SUB,true,75,195,suburban,false,true,SR-MAS
GI-STM-UP,GI,STM,UP,15.0,17.1,MSB-TBM,GI-STM-DN;GI-STM-UP_SUB;GI-STM-DN_SUB,STM-PV-UP,true,100,64,mixed,true,true,SR-MAS
GI-STM-DN,GI,STM,DN,15.0,17.1,MSB-TBM,GI-STM-UP;GI-STM-UP_SUB;GI-STM-DN_SUB,STM-PV-DN,true,100,64,mixed,true,true,SR-MAS
GI-STM-UP_SUB,GI,STM,UP_SUB,15.0,17.1,MSB-TBM,GI-STM-UP;GI-STM-DN;GI-STM-DN_SUB,STM-PV-UP_SUB,true,80,190,suburban,false,true,SR-MAS
GI-STM-DN_SUB,GI,STM,DN_SUB,15.0,17.1,MSB-TBM,GI-STM-UP;GI-STM-DN;GI-STM-UP_SUB,STM-PV-DN_SUB,true,80,190,suburban,false,true,SR-MAS
STM-PV-UP,STM,PV,UP,17.1,23.1,MSB-TBM,STM-PV-DN;STM-PV-UP_SUB;STM-PV-DN_SUB,PV-TBM-UP,true,100,60,mixed,true,true,SR-MAS
STM-PV-DN,STM,PV,DN,17.1,23.1,MSB-TBM,STM-PV-UP;STM-PV-UP_SUB;STM-PV-DN_SUB,PV-TBM-DN,true,100,60,mixed,true,true,SR-MAS
STM-PV-UP_SUB,STM,PV,UP_SUB,17.1,23.1,MSB-TBM,STM-PV-UP;STM-PV-DN;STM-PV-DN_SUB,PV-TBM-UP_SUB,true,80,180,suburban,false,true,SR-MAS
STM-PV-DN_SUB,STM,PV,DN_SUB,17.1,23.1,MSB-TBM,STM-PV-UP;STM-PV-DN;STM-PV-UP_SUB,PV-TBM-DN_SUB,true,80,180,suburban,false,true,SR-MAS
PV-TBM-UP,PV,TBM,UP,23.1,29.1,MSB-TBM,PV-TBM-DN;PV-TBM-UP_SUB;PV-TBM-DN_SUB,,true,100,60,mixed,true,true,SR-MAS
PV-TBM-DN,PV,TBM,DN,23.1,29.1,MSB-TBM,PV-TBM-UP;PV-TBM-UP_SUB;PV-TBM-DN_SUB,,true,100,60,mixed,true,true,SR-MAS
PV-TBM-UP_SUB,PV,TBM,UP_SUB,23.1,29.1,MSB-TBM,PV-TBM-UP;PV-TBM-DN;PV-TBM-DN_SUB,,true,80,180,suburban,false,true,SR-MAS
PV-TBM-DN_SUB,PV,TBM,DN_SUB,23.1,29.1,MSB-TBM,PV-TBM-UP;PV-TBM-DN;PV-TBM-UP_SUB,,true,80,180,suburban,false,true,SR-MAS
CGL-WJ-SINGLE,CGL,WJ,SINGLE,59.8,81.8,AJJ-CGL,,WJ-CJ-SINGLE,true,100,18,branch,true,false,SR-MAS
WJ-CJ-SINGLE,WJ,CJ,SINGLE,81.8,95.8,AJJ-CGL,,CJ-TMLP-SINGLE,true,100,18,branch,true,false,SR-MAS
CJ-TMLP-SINGLE,CJ,TMLP,SINGLE,95.8,105.6,AJJ-CGL,,TMLP-TKO-SINGLE,false,90,14,branch,true,false,SR-MAS
TMLP-TKO-SINGLE,TMLP,TKO,SINGLE,105.6,112.1,AJJ-CGL,,TKO-AJJ-SINGLE,false,90,14,branch,true,false,SR-MAS
TKO-AJJ-SINGLE,TKO,AJJ,SINGLE,112.1,122.7,AJJ-CGL,,TRL-AJJ-UP;TRL-AJJ-DN,false,90,14,branch,true,false,SR-MAS
