asset_id,asset_type,department,block_section_id,station_code,km,criticality_class,install_date,last_overhaul_date,cumulative_tonnage_gmt,failure_count_12m
TC-ABUAVD-02,track_circuit,SNT,ABU-AVD-DN,,19.28,B,2021-01-10,,170.9,0
OHE-ABUAVD-04,OHE_span,TRD,ABU-AVD-DN_SUB,,19.53,B,2006-06-30,2026-04-13,,0
OHE-ABUAVD-05,OHE_span,TRD,ABU-AVD-DN_SUB,,20.60,B,2000-03-06,2020-06-27,,0
OHE-ABUAVD-06,OHE_span,TRD,ABU-AVD-DN_SUB,,15.86,A,2006-03-22,2026-03-04,,0
AC-ABUAVD-02,axle_counter,SNT,ABU-AVD-DN_SUB,,18.11,A,2020-06-24,,137.2,1
BL-ABUAVD-03,ballast,ENG,ABU-AVD-DN_SUB,,15.55,B,2025-05-23,,114.3,0
BL-ABUAVD-04,ballast,ENG,ABU-AVD-DN_SUB,,19.86,B,2023-12-28,,69.4,1
CW-ABUAVD-03,contact_wire,TRD,ABU-AVD-DN_SUB,,15.81,A,2022-06-08,,,0
CW-ABUAVD-04,contact_wire,TRD,ABU-AVD-DN_SUB,,18.89,A,2008-05-25,2022-01-30,,1
INS-ABUAVD-02,insulator,TRD,ABU-AVD-DN_SUB,,19.18,B,2012-08-27,2021-02-28,,0
MST-ABUAVD-03,mast,TRD,ABU-AVD-DN_SUB,,16.09,A,1992-10-05,2017-07-06,,2
MST-ABUAVD-04,mast,TRD,ABU-AVD-DN_SUB,,16.17,A,2014-08-16,,,1
RL-ABUAVD-05,rail,ENG,ABU-AVD-DN_SUB,,19.64,A,2017-05-14,2026-01-20,224.9,0
RL-ABUAVD-06,rail,ENG,ABU-AVD-DN_SUB,,19.13,A,2017-09-08,2026-06-09,408.1,0
RL-ABUAVD-07,rail,ENG,ABU-AVD-DN_SUB,,17.61,A,2012-08-28,2025-06-26,421.0,1
RL-ABUAVD-08,rail,ENG,ABU-AVD-DN_SUB,,20.41,A,2012-08-31,2024-02-07,336.6,1
SG-ABUAVD-03,signal,SNT,ABU-AVD-DN_SUB,,17.72,A,2017-06-26,,,1
SG-ABUAVD-04,signal,SNT,ABU-AVD-DN_SUB,,20.51,A,2025-01-18,,,1
SL-ABUAVD-03,sleeper,ENG,ABU-AVD-DN_SUB,,20.48,A,2002-10-14,2023-09-05,668.6,1
SL-ABUAVD-04,sleeper,ENG,ABU-AVD-DN_SUB,,19.01,B,1995-11-16,2025-01-27,70.4,0
TC-ABUAVD-03,track_circuit,SNT,ABU-AVD-DN_SUB,,15.60,B,2016-04-14,2025-10-18,83.1,1
TC-ABUAVD-04,track_circuit,SNT,ABU-AVD-DN_SUB,,19.18,B,2024-01-03,,297.9,3
OHE-ABUAVD-07,OHE_span,TRD,ABU-AVD-UP,,16.40,B,1999-11-16,2022-08-05,,1
OHE-ABUAVD-08,OHE_span,TRD,ABU-AVD-UP,,19.32,C,2006-02-14,2026-05-12,,0
OHE-ABUAVD-09,OHE_span,TRD,ABU-AVD-UP,,15.72,B,2017-07-23,,,1
AC-ABUAVD-03,axle_counter,SNT,ABU-AVD-UP,,18.36,C,2022-11-15,,385.2,0
BL-ABUAVD-05,ballast,ENG,ABU-AVD-UP,,18.15,B,2022-04-24,2026-05-17,432.6,1
BL-ABUAVD-06,ballast,ENG,ABU-AVD-UP,,17.92,C,2022-02-23,,118.3,0
CW-ABUAVD-05,contact_wire,TRD,ABU-AVD-UP,,15.18,B,2019-05-11,,,1
CW-ABUAVD-06,contact_wire,TRD,ABU-AVD-UP,,17.26,A,2023-04-02,,,0
INS-ABUAVD-03,insulator,TRD,ABU-AVD-UP,,19.36,C,2019-12-13,,,0
MST-ABUAVD-05,mast,TRD,ABU-AVD-UP,,15.84,B,2025-03-03,,,0
MST-ABUAVD-06,mast,TRD,ABU-AVD-UP,,17.52,B,2005-05-15,,,1
RL-ABUAVD-09,rail,ENG,ABU-AVD-UP,,16.46,B,2003-03-30,2017-03-17,610.9,2
RL-ABUAVD-10,rail,ENG,ABU-AVD-UP,,18.50,B,2013-01-18,2022-11-27,748.6,1
RL-ABUAVD-11,rail,ENG,ABU-AVD-UP,,15.16,B,2016-12-12,2025-10-31,321.4,1
RL-ABUAVD-12,rail,ENG,ABU-AVD-UP,,19.36,B,2024-01-22,,853.0,1
SG-ABUAVD-05,signal,SNT,ABU-AVD-UP,,17.88,B,2010-11-11,2023-01-23,,0
SG-ABUAVD-06,signal,SNT,ABU-AVD-UP,,15.55,A,2023-12-31,,,1
SL-ABUAVD-05,sleeper,ENG,ABU-AVD-UP,,16.02,B,1994-12-10,2012-08-15,1345.2,4
SL-ABUAVD-06,sleeper,ENG,ABU-AVD-UP,,20.75,C,1993-04-09,2008-12-02,692.5,0
TC-ABUAVD-05,track_circuit,SNT,ABU-AVD-UP,,19.53,C,2013-03-09,2022-04-14,64.6,1
TC-ABUAVD-06,track_circuit,SNT,ABU-AVD-UP,,17.71,C,2013-03-16,2021-09-21,227.0,1
OHE-ABUAVD-10,OHE_span,TRD,ABU-AVD-UP_SUB,,16.44,B,2001-11-14,2022-08-27,,0
OHE-ABUAVD-11,OHE_span,TRD,ABU-AVD-UP_SUB,,17.27,B,2003-02-03,2024-10-12,,1
OHE-ABUAVD-12,OHE_span,TRD,ABU-AVD-UP_SUB,,18.93,B,2013-06-22,,,0
AC-ABUAVD-04,axle_counter,SNT,ABU-AVD-UP_SUB,,17.14,A,2015-07-21,2023-08-02,246.7,0
BL-ABUAVD-07,ballast,ENG,ABU-AVD-UP_SUB,,20.29,A,2021-01-21,,190.8,3
BL-ABUAVD-08,ballast,ENG,ABU-AVD-UP_SUB,,15.54,B,2015-12-14,2023-06-22,91.5,1
CW-ABUAVD-07,contact_wire,TRD,ABU-AVD-UP_SUB,,20.25,A,2025-10-04,,,0
CW-ABUAVD-08,contact_wire,TRD,ABU-AVD-UP_SUB,,16.38,A,2020-05-09,,,0
INS-ABUAVD-04,insulator,TRD,ABU-AVD-UP_SUB,,15.32,A,2021-08-06,,,0
MST-ABUAVD-07,mast,TRD,ABU-AVD-UP_SUB,,16.12,B,2016-07-24,,,0
MST-ABUAVD-08,mast,TRD,ABU-AVD-UP_SUB,,16.09,A,1998-08-11,2025-12-29,,0
RL-ABUAVD-13,rail,ENG,ABU-AVD-UP_SUB,,15.29,A,2003-07-10,2020-09-15,203.2,1
RL-ABUAVD-14,rail,ENG,ABU-AVD-UP_SUB,,19.89,A,2009-06-23,2020-03-20,286.3,1
RL-ABUAVD-15,rail,ENG,ABU-AVD-UP_SUB,,20.29,A,2004-05-07,2025-10-24,74.1,0
RL-ABUAVD-16,rail,ENG,ABU-AVD-UP_SUB,,17.48,A,2003-08-17,2023-07-11,306.4,0
SG-ABUAVD-07,signal,SNT,ABU-AVD-UP_SUB,,15.81,B,2014-12-03,2025-11-20,,0
SG-ABUAVD-08,signal,SNT,ABU-AVD-UP_SUB,,20.50,A,2014-09-21,2025-06-14,,1
SL-ABUAVD-07,sleeper,ENG,ABU-AVD-UP_SUB,,19.32,B,1989-08-04,2018-09-18,679.6,1
SL-ABUAVD-08,sleeper,ENG,ABU-AVD-UP_SUB,,17.37,A,2019-05-15,,431.2,1
TC-ABUAVD-07,track_circuit,SNT,ABU-AVD-UP_SUB,,18.16,A,2016-06-03,2022-08-09,267.5,0
TC-ABUAVD-08,track_circuit,SNT,ABU-AVD-UP_SUB,,15.95,B,2014-05-30,2024-07-18,45.4,0
OHE-AVDTI-01,OHE_span,TRD,AVD-TI-DN,,27.40,C,1994-05-16,2019-06-06,,0
OHE-AVDTI-02,OHE_span,TRD,AVD-TI-DN,,25.44,B,2003-11-22,2023-06-21,,1
OHE-AVDTI-03,OHE_span,TRD,AVD-TI-DN,,23.82,C,2015-02-09,,,1
OHE-AVDTI-04,OHE_span,TRD,AVD-TI-DN,,21.94,C,2023-01-15,,,0
AC-AVDTI-01,axle_counter,SNT,AVD-TI-DN,,26.92,C,2016-04-16,2024-06-21,195.6,1
AC-AVDTI-02,axle_counter,SNT,AVD-TI-DN,,27.21,B,2015-07-03,2020-11-18,578.7,2
BL-AVDTI-01,ballast,ENG,AVD-TI-DN,,23.75,B,2019-10-17,2025-11-29,226.3,0
BL-AVDTI-02,ballast,ENG,AVD-TI-DN,,25.79,B,2021-10-30,2026-01-03,300.2,0
BL-AVDTI-03,ballast,ENG,AVD-TI-DN,,23.58,B,2021-05-01,2026-05-20,303.5,1
CW-AVDTI-01,contact_wire,TRD,AVD-TI-DN,,23.92,B,2008-04-01,2024-01-08,,1
CW-AVDTI-02,contact_wire,TRD,AVD-TI-DN,,26.52,B,2021-01-17,,,0
INS-AVDTI-01,insulator,TRD,AVD-TI-DN,,27.35,B,2015-07-27,2025-03-15,,0
INS-AVDTI-02,insulator,TRD,AVD-TI-DN,,27.85,B,2025-11-23,,,0
MST-AVDTI-01,mast,TRD,AVD-TI-DN,,25.20,B,2016-01-31,,,0
MST-AVDTI-02,mast,TRD,AVD-TI-DN,,23.40,C,2006-07-22,,,1
MST-AVDTI-03,mast,TRD,AVD-TI-DN,,21.48,C,1991-01-05,2020-08-28,,1
RL-AVDTI-01,rail,ENG,AVD-TI-DN,,23.44,C,2019-03-03,,258.6,0
RL-AVDTI-02,rail,ENG,AVD-TI-DN,,27.65,B,2023-12-07,,870.0,4
RL-AVDTI-03,rail,ENG,AVD-TI-DN,,23.39,B,2024-07-26,,275.6,0
RL-AVDTI-04,rail,ENG,AVD-TI-DN,,28.21,B,2009-04-11,2025-06-23,942.2,1
RL-AVDTI-05,rail,ENG,AVD-TI-DN,,23.03,B,2005-03-31,2025-01-08,839.3,1
SG-AVDTI-01,signal,SNT,AVD-TI-DN,,26.70,A,2016-07-02,,,0
SG-AVDTI-02,signal,SNT,AVD-TI-DN,,24.85,B,2018-04-17,,,0
SG-AVDTI-03,signal,SNT,AVD-TI-DN,,22.99,B,2008-10-13,2025-11-03,,1
SL-AVDTI-01,sleeper,ENG,AVD-TI-DN,,23.79,C,2018-02-06,,1509.7,1
SL-AVDTI-02,sleeper,ENG,AVD-TI-DN,,22.79,C,1996-01-13,2017-03-19,1288.0,2
SL-AVDTI-03,sleeper,ENG,AVD-TI-DN,,23.65,C,2022-04-29,,662.5,0
TC-AVDTI-01,track_circuit,SNT,AVD-TI-DN,,28.62,C,2025-11-02,,589.4,1
TC-AVDTI-02,track_circuit,SNT,AVD-TI-DN,,27.80,B,2020-10-28,2026-05-07,533.4,2
TC-AVDTI-03,track_circuit,SNT,AVD-TI-DN,,27.82,C,2018-06-19,2026-06-19,202.7,0
OHE-AVDTI-05,OHE_span,TRD,AVD-TI-DN_SUB,,22.43,B,2014-02-01,,,0
OHE-AVDTI-06,OHE_span,TRD,AVD-TI-DN_SUB,,21.40,C,1999-04-21,2023-10-27,,0
OHE-AVDTI-07,OHE_span,TRD,AVD-TI-DN_SUB,,27.21,C,2006-03-08,2025-12-23,,2
OHE-AVDTI-08,OHE_span,TRD,AVD-TI-DN_SUB,,25.43,C,2025-02-26,,,1
AC-AVDTI-03,axle_counter,SNT,AVD-TI-DN_SUB,,26.10,C,2018-07-10,,87.8,1
AC-AVDTI-04,axle_counter,SNT,AVD-TI-DN_SUB,,27.32,B,2022-04-07,,91.3,1
BL-AVDTI-04,ballast,ENG,AVD-TI-DN_SUB,,22.61,C,2020-09-03,,94.7,0
BL-AVDTI-05,ballast,ENG,AVD-TI-DN_SUB,,24.65,C,2022-07-13,,51.3,0
BL-AVDTI-06,ballast,ENG,AVD-TI-DN_SUB,,28.04,C,2017-10-27,2024-08-10,78.6,0
CW-AVDTI-03,contact_wire,TRD,AVD-TI-DN_SUB,,26.58,C,2016-05-23,,,0
CW-AVDTI-04,contact_wire,TRD,AVD-TI-DN_SUB,,22.16,B,2013-06-03,,,0
INS-AVDTI-03,insulator,TRD,AVD-TI-DN_SUB,,26.54,C,2018-08-01,,,0
INS-AVDTI-04,insulator,TRD,AVD-TI-DN_SUB,,28.33,B,2022-08-17,,,0
MST-AVDTI-04,mast,TRD,AVD-TI-DN_SUB,,23.22,B,1995-04-13,2025-06-04,,0
MST-AVDTI-05,mast,TRD,AVD-TI-DN_SUB,,22.37,C,1995-08-03,2020-08-13,,1
MST-AVDTI-06,mast,TRD,AVD-TI-DN_SUB,,22.05,B,1989-02-23,2023-12-03,,0
RL-AVDTI-06,rail,ENG,AVD-TI-DN_SUB,,26.57,B,2015-02-02,2025-01-14,246.2,1
RL-AVDTI-07,rail,ENG,AVD-TI-DN_SUB,,22.00,A,2008-07-13,2022-03-11,187.2,1
RL-AVDTI-08,rail,ENG,AVD-TI-DN_SUB,,22.29,C,2005-06-08,2021-01-10,119.5,0
RL-AVDTI-09,rail,ENG,AVD-TI-DN_SUB,,21.20,B,2008-06-02,2022-09-06,177.0,0
RL-AVDTI-10,rail,ENG,AVD-TI-DN_SUB,,27.78,B,2015-12-30,,119.2,0
SG-AVDTI-04,signal,SNT,AVD-TI-DN_SUB,,22.14,B,2023-01-15,,,0
SG-AVDTI-05,signal,SNT,AVD-TI-DN_SUB,,22.34,B,2021-11-26,,,2
SG-AVDTI-06,signal,SNT,AVD-TI-DN_SUB,,28.71,B,2019-07-11,,,0
SL-AVDTI-04,sleeper,ENG,AVD-TI-DN_SUB,,27.56,B,1997-04-20,2022-07-08,52.2,1
SL-AVDTI-05,sleeper,ENG,AVD-TI-DN_SUB,,22.37,C,1993-11-08,2017-11-02,37.8,0
SL-AVDTI-06,sleeper,ENG,AVD-TI-DN_SUB,,21.84,C,2010-07-31,2024-11-22,335.8,0
TC-AVDTI-04,track_circuit,SNT,AVD-TI-DN_SUB,,22.16,B,2025-01-08,,31.4,0
TC-AVDTI-05,track_circuit,SNT,AVD-TI-DN_SUB,,26.19,C,2020-11-23,,65.6,0
TC-AVDTI-06,track_circuit,SNT,AVD-TI-DN_SUB,,22.63,C,2016-10-07,2026-04-06,78.9,0
OHE-AVDTI-09,OHE_span,TRD,AVD-TI-UP,,22.93,C,2015-05-04,,,0
OHE-AVDTI-10,OHE_span,TRD,AVD-TI-UP,,27.45,B,1998-04-23,2023-04-25,,1
OHE-AVDTI-11,OHE_span,TRD,AVD-TI-UP,,21.87,B,2014-08-08,,,0
OHE-AVDTI-12,OHE_span,TRD,AVD-TI-UP,,25.61,B,2007-02-19,2026-04-21,,0
AC-AVDTI-05,axle_counter,SNT,AVD-TI-UP,,24.97,C,2021-05-17,,122.4,0
AC-AVDTI-06,axle_counter,SNT,AVD-TI-UP,,27.17,C,2015-03-08,2025-02-18,47.1,1
BL-AVDTI-07,ballast,ENG,AVD-TI-UP,,28.27,C,2025-11-19,,321.1,1
BL-AVDTI-08,ballast,ENG,AVD-TI-UP,,25.52,C,2021-06-11,,73.5,0
BL-AVDTI-09,ballast,ENG,AVD-TI-UP,,26.53,C,2016-08-20,2025-02-16,87.4,1
CW-AVDTI-05,contact_wire,TRD,AVD-TI-UP,,25.09,B,2012-09-19,2026-03-11,,1
CW-AVDTI-06,contact_wire,TRD,AVD-TI-UP,,28.14,B,2013-08-13,,,0
INS-AVDTI-05,insulator,TRD,AVD-TI-UP,,27.14,B,2013-10-27,2023-08-17,,0
INS-AVDTI-06,insulator,TRD,AVD-TI-UP,,26.78,B,2014-03-16,2026-05-07,,1
MST-AVDTI-07,mast,TRD,AVD-TI-UP,,27.27,C,2024-11-24,,,0
MST-AVDTI-08,mast,TRD,AVD-TI-UP,,21.95,C,2013-01-09,,,1
MST-AVDTI-09,mast,TRD,AVD-TI-UP,,25.37,B,2025-06-03,,,0
RL-AVDTI-11,rail,ENG,AVD-TI-UP,,24.30,B,2013-06-10,2025-01-11,846.0,1
RL-AVDTI-12,rail,ENG,AVD-TI-UP,,25.76,B,2011-04-14,2025-05-25,83.7,0
RL-AVDTI-13,rail,ENG,AVD-TI-UP,,26.87,B,2005-09-22,2024-04-14,58.2,0
RL-AVDTI-14,rail,ENG,AVD-TI-UP,,26.70,A,2019-04-03,,839.8,2
RL-AVDTI-15,rail,ENG,AVD-TI-UP,,26.42,B,2010-05-02,2019-10-26,813.2,2
SG-AVDTI-07,signal,SNT,AVD-TI-UP,,26.18,B,2020-07-07,,,0
SG-AVDTI-08,signal,SNT,AVD-TI-UP,,27.41,B,2022-06-24,,,1
SG-AVDTI-09,signal,SNT,AVD-TI-UP,,21.53,B,2018-10-13,,,2
SL-AVDTI-07,sleeper,ENG,AVD-TI-UP,,22.18,C,1998-10-11,2021-07-07,93.1,0
SL-AVDTI-08,sleeper,ENG,AVD-TI-UP,,27.64,C,2010-10-27,2025-02-12,470.0,1
SL-AVDTI-09,sleeper,ENG,AVD-TI-UP,,22.82,C,2025-06-16,,1313.6,2
TC-AVDTI-07,track_circuit,SNT,AVD-TI-UP,,27.59,B,2015-12-28,2026-06-03,472.4,0
TC-AVDTI-08,track_circuit,SNT,AVD-TI-UP,,23.62,B,2024-11-10,,76.8,1
TC-AVDTI-09,track_circuit,SNT,AVD-TI-UP,,28.71,B,2024-06-21,,204.7,0
OHE-AVDTI-13,OHE_span,TRD,AVD-TI-UP_SUB,,27.34,B,1998-07-15,2026-02-21,,1
OHE-AVDTI-14,OHE_span,TRD,AVD-TI-UP_SUB,,26.28,B,2008-01-09,,,1
OHE-AVDTI-15,OHE_span,TRD,AVD-TI-UP_SUB,,22.83,B,2006-07-12,2026-06-18,,0
OHE-AVDTI-16,OHE_span,TRD,AVD-TI-UP_SUB,,21.17,C,2013-02-05,,,0
AC-AVDTI-07,axle_counter,SNT,AVD-TI-UP_SUB,,25.70,B,2024-04-03,,101.5,1
AC-AVDTI-08,axle_counter,SNT,AVD-TI-UP_SUB,,26.87,B,2016-01-23,2024-02-06,6.5,0
BL-AVDTI-10,ballast,ENG,AVD-TI-UP_SUB,,25.54,B,2020-01-12,2026-06-03,84.2,0
BL-AVDTI-11,ballast,ENG,AVD-TI-UP_SUB,,25.43,C,2024-04-01,,80.7,0
BL-AVDTI-12,ballast,ENG,AVD-TI-UP_SUB,,25.54,B,2018-08-21,2026-04-20,28.1,0
CW-AVDTI-07,contact_wire,TRD,AVD-TI-UP_SUB,,25.15,B,2016-12-20,,,0
CW-AVDTI-08,contact_wire,TRD,AVD-TI-UP_SUB,,24.98,B,2005-12-18,2023-03-21,,1
INS-AVDTI-07,insulator,TRD,AVD-TI-UP_SUB,,25.76,B,2015-08-29,2023-09-02,,1
INS-AVDTI-08,insulator,TRD,AVD-TI-UP_SUB,,21.90,C,2016-03-11,2024-03-02,,0
MST-AVDTI-10,mast,TRD,AVD-TI-UP_SUB,,28.53,B,1998-02-20,2022-12-21,,2
MST-AVDTI-11,mast,TRD,AVD-TI-UP_SUB,,21.60,C,2019-08-09,,,0
MST-AVDTI-12,mast,TRD,AVD-TI-UP_SUB,,27.26,C,2004-05-03,,,0
RL-AVDTI-16,rail,ENG,AVD-TI-UP_SUB,,24.02,B,2003-04-14,2021-03-10,246.0,1
RL-AVDTI-17,rail,ENG,AVD-TI-UP_SUB,,21.87,A,2023-09-02,,209.4,0
RL-AVDTI-18,rail,ENG,AVD-TI-UP_SUB,,26.80,C,2022-11-01,,60.4,0
RL-AVDTI-19,rail,ENG,AVD-TI-UP_SUB,,27.02,A,2020-01-22,,185.7,0
RL-AVDTI-20,rail,ENG,AVD-TI-UP_SUB,,27.12,B,2010-06-04,2024-12-16,142.8,0
SG-AVDTI-10,signal,SNT,AVD-TI-UP_SUB,,22.12,B,2019-08-27,,,0
SG-AVDTI-11,signal,SNT,AVD-TI-UP_SUB,,21.46,B,2008-06-29,2020-06-30,,0
SG-AVDTI-12,signal,SNT,AVD-TI-UP_SUB,,25.34,B,2010-02-15,2024-05-20,,0
SL-AVDTI-10,sleeper,ENG,AVD-TI-UP_SUB,,27.72,C,1999-05-27,2025-06-19,179.5,0
SL-AVDTI-11,sleeper,ENG,AVD-TI-UP_SUB,,27.92,B,2008-09-08,2026-04-05,347.5,3
SL-AVDTI-12,sleeper,ENG,AVD-TI-UP_SUB,,24.55,B,1997-06-18,2023-06-01,236.7,4
TC-AVDTI-10,track_circuit,SNT,AVD-TI-UP_SUB,,24.78,C,2016-01-17,2025-03-09,15.5,0
TC-AVDTI-11,track_circuit,SNT,AVD-TI-UP_SUB,,27.78,B,2024-04-12,,24.3,0
TC-AVDTI-12,track_circuit,SNT,AVD-TI-UP_SUB,,22.02,B,2025-12-03,,74.9,0
OHE-BBQPER-01,OHE_span,TRD,BBQ-PER-DN,,4.23,C,2007-04-03,2026-04-04,,0
OHE-BBQPER-02,OHE_span,TRD,BBQ-PER-DN,,2.76,C,1995-09-12,2025-09-20,,1
AC-BBQPER-01,axle_counter,SNT,BBQ-PER-DN,,4.82,B,2017-11-25,2023-08-05,524.6,0
BL-BBQPER-01,ballast,ENG,BBQ-PER-DN,,4.89,B,2018-04-27,2022-09-18,289.5,1
CW-BBQPER-01,contact_wire,TRD,BBQ-PER-DN,,3.84,B,2017-04-16,,,0
INS-BBQPER-01,insulator,TRD,BBQ-PER-DN,,2.92,C,2023-03-17,,,0
MST-BBQPER-01,mast,TRD,BBQ-PER-DN,,3.08,B,1997-04-29,2026-03-12,,1
RL-BBQPER-01,rail,ENG,BBQ-PER-DN,,3.01,B,2018-08-31,,218.0,0
RL-BBQPER-02,rail,ENG,BBQ-PER-DN,,2.86,B,2008-03-30,2022-01-18,388.3,0
SG-BBQPER-01,signal,SNT,BBQ-PER-DN,,3.32,A,2017-11-15,,,1
SL-BBQPER-01,sleeper,ENG,BBQ-PER-DN,,4.92,C,2015-03-26,,1743.1,0
TC-BBQPER-01,track_circuit,SNT,BBQ-PER-DN,,3.85,C,2016-10-21,2025-09-18,144.7,0
OHE-BBQPER-03,OHE_span,TRD,BBQ-PER-DN_SUB,,3.25,A,2003-09-10,2024-03-14,,0
OHE-BBQPER-04,OHE_span,TRD,BBQ-PER-DN_SUB,,4.23,A,2009-08-29,,,1
AC-BBQPER-02,axle_counter,SNT,BBQ-PER-DN_SUB,,3.54,B,2013-01-16,2024-10-11,28.4,2
BL-BBQPER-02,ballast,ENG,BBQ-PER-DN_SUB,,4.26,B,2015-07-31,2025-03-04,204.6,0
CW-BBQPER-02,contact_wire,TRD,BBQ-PER-DN_SUB,,4.44,A,2007-07-10,2021-09-27,,3
INS-BBQPER-02,insulator,TRD,BBQ-PER-DN_SUB,,2.41,A,2025-01-06,,,0
MST-BBQPER-02,mast,TRD,BBQ-PER-DN_SUB,,4.08,A,2009-02-13,,,1
RL-BBQPER-03,rail,ENG,BBQ-PER-DN_SUB,,4.26,A,2009-05-25,2024-04-11,533.0,1
RL-BBQPER-04,rail,ENG,BBQ-PER-DN_SUB,,3.32,A,2015-07-09,,132.7,0
SG-BBQPER-02,signal,SNT,BBQ-PER-DN_SUB,,4.52,A,2021-08-28,,,1
SL-BBQPER-02,sleeper,ENG,BBQ-PER-DN_SUB,,2.74,A,2009-07-23,2024-11-25,739.4,0
TC-BBQPER-02,track_circuit,SNT,BBQ-PER-DN_SUB,,4.26,A,2018-05-22,2023-12-06,277.6,1
OHE-BBQPER-05,OHE_span,TRD,BBQ-PER-UP,,4.12,C,1996-05-17,2021-08-12,,0
OHE-BBQPER-06,OHE_span,TRD,BBQ-PER-UP,,4.30,B,1997-10-16,2024-07-04,,0
AC-BBQPER-03,axle_counter,SNT,BBQ-PER-UP,,3.23,C,2023-06-12,,496.3,1
BL-BBQPER-03,ballast,ENG,BBQ-PER-UP,,4.11,C,2016-02-16,2025-03-28,156.3,2
CW-BBQPER-03,contact_wire,TRD,BBQ-PER-UP,,2.09,B,2005-12-24,2024-01-08,,1
INS-BBQPER-03,insulator,TRD,BBQ-PER-UP,,4.31,C,2019-06-14,,,0
MST-BBQPER-03,mast,TRD,BBQ-PER-UP,,4.81,C,1997-02-22,2026-06-05,,0
RL-BBQPER-05,rail,ENG,BBQ-PER-UP,,2.64,B,2008-05-09,2024-09-22,927.5,3
RL-BBQPER-06,rail,ENG,BBQ-PER-UP,,3.12,B,2025-09-14,,654.2,0
SG-BBQPER-03,signal,SNT,BBQ-PER-UP,,3.79,A,2013-09-02,2025-12-31,,0
SL-BBQPER-03,sleeper,ENG,BBQ-PER-UP,,4.12,C,2024-10-18,,1327.0,4
TC-BBQPER-03,track_circuit,SNT,BBQ-PER-UP,,3.43,B,2014-11-20,2025-08-14,170.9,0
OHE-BBQPER-07,OHE_span,TRD,BBQ-PER-UP_SUB,,2.10,B,2011-03-13,,,0
OHE-BBQPER-08,OHE_span,TRD,BBQ-PER-UP_SUB,,4.27,A,2017-12-25,,,0
AC-BBQPER-04,axle_counter,SNT,BBQ-PER-UP_SUB,,2.65,B,2016-09-13,2025-05-07,113.6,0
BL-BBQPER-04,ballast,ENG,BBQ-PER-UP_SUB,,2.73,A,2023-05-09,,51.5,0
CW-BBQPER-04,contact_wire,TRD,BBQ-PER-UP_SUB,,4.40,A,2016-08-14,,,0
INS-BBQPER-04,insulator,TRD,BBQ-PER-UP_SUB,,4.19,A,2025-02-07,,,2
MST-BBQPER-04,mast,TRD,BBQ-PER-UP_SUB,,3.33,B,1992-12-19,2017-11-14,,1
RL-BBQPER-07,rail,ENG,BBQ-PER-UP_SUB,,3.03,A,2006-11-09,2024-01-13,205.9,1
RL-BBQPER-08,rail,ENG,BBQ-PER-UP_SUB,,4.11,A,2021-02-18,,48.3,2
SG-BBQPER-04,signal,SNT,BBQ-PER-UP_SUB,,2.30,A,2025-04-21,,,0
