task_id,source_system,source_ref,department,task_type_id,asset_id,location_kind,block_section_id,station_code,start_km,end_km,line_id,origin,raised_date,days_pending,severity,deadline,safety_critical,access_required,requested_duration_min,crew_required,machine_required,materials_ready,season_restricted,night_permitted,status
SNT-2026-00506,SMMS,SMMS-00506,SNT,SNT-TRACK-CIRCUIT,TC-MBMGI-04,edge,MBM-GI-UP_SUB,,14.36,14.86,UP_SUB,overdue,2026-08-17,21,minor,2026-11-04,false,disconnection,83,3,none,true,true,true,pending
SNT-2026-00507,SMMS,SMMS-00507,SNT,SNT-POINT-REPLACE,PT-MS-03,node,,MS,4.32,4.32,,defect,2026-01-21,228,major,,false,disconnection,205,4,none,true,false,true,done
TRD-2025-01004,TDMS,TDMS-01004,TRD,TRD-OHE-INSULATOR,INS-MSMBM-04,edge,MS-MBM-DN_SUB,,6.47,6.57,DN_SUB,defect,2025-11-26,51,minor,,false,power_block,94,4,OHE_tower_car,false,true,true,done
ENG-2026-04007,TMS,TMS-04007,ENG,ENG-SLEEPER-RENEWAL,SL-TITRL-12,edge,TI-TRL-UP,,35.59,36.09,UP,defect,2026-07-04,65,minor,2026-10-31,false,traffic_block,238,17,none,true,true,true,pending
ENG-2026-04008,TMS,TMS-04008,ENG,ENG-RAIL-WELD,RL-AVDTI-05,edge,AVD-TI-DN,,23.03,24.03,DN,defect,2026-07-30,39,3,,false,traffic_block,211,7,none,true,false,true,pending
ENG-2026-04009,TMS,TMS-04009,ENG,ENG-DESTRESSING,RL-BBQTNP-04,edge,BBQ-TNP-UP,,2.74,3.74,UP,overdue,2026-05-24,79,2,,false,traffic_block,256,10,none,true,false,true,done
ENG-2026-04010,TMS,TMS-04010,ENG,ENG-SLEEPER-RENEWAL,SL-TRLAJJ-03,edge,TRL-AJJ-DN,,46.40,46.90,DN,defect,2026-01-18,22,minor,,false,traffic_block,385,21,none,true,true,true,done
TRD-2025-01005,TDMS,TDMS-01005,TRD,TRD-OHE-MAST,MST-TRLAJJ-44,edge,TRL-AJJ-UP_SUB,,61.00,61.20,UP_SUB,routine,2025-10-05,82,minor,,false,power_block,185,6,OHE_tower_car,true,true,true,cancelled
TRD-2026-01006,TDMS,TDMS-01006,TRD,TRD-NEUTRAL-SECTION,OHE-MBMGI-01,edge,MBM-GI-DN,,13.30,13.50,DN,overdue,2026-04-01,60,minor,,false,power_block,138,7,OHE_tower_car,true,false,true,done
ENG-2026-04011,TMS,TMS-04011,ENG,ENG-TURNOUT-OVERHAUL,TO-AVD-01,node,,AVD,21.00,21.00,,routine,2026-07-16,53,minor,2026-08-19,false,traffic_block,228,16,none,true,true,true,scheduled
ENG-2026-04012,TMS,TMS-04012,ENG,ENG-CURVE-REALIGN,BL-BBQPER-03,edge,BBQ-PER-UP,,4.11,4.91,UP,proactive,2026-05-20,25,minor,2026-09-04,false,traffic_block,168,13,tamper,true,true,true,done
ENG-2026-04013,TMS,TMS-04013,ENG,ENG-BRIDGE-REPAIR,BR-WJCJ-01,edge,WJ-CJ-SINGLE,,88.71,88.81,SINGLE,defect,2026-07-27,42,major,,false,traffic_block,267,11,none,true,true,false,scheduled
ENG-2025-04014,TMS,TMS-04014,ENG,ENG-CURVE-REALIGN,BL-ABUAVD-03,edge,ABU-AVD-DN_SUB,,15.55,16.35,DN_SUB,routine,2025-09-07,65,minor,2025-11-23,false,traffic_block,185,12,tamper,true,true,true,done
ENG-2026-04015,TMS,TMS-04015,ENG,ENG-TURNOUT-TAMP,TO-BBQ-07,node,,BBQ,2.00,2.00,,routine,2026-04-16,19,major,2026-08-05,false,traffic_block,138,10,tamper,true,true,true,done
ENG-2026-04016,TMS,TMS-04016,ENG,ENG-CURVE-REALIGN,BL-TRLAJJ-21,edge,TRL-AJJ-UP,,56.26,57.06,UP,overdue,2026-08-24,14,minor,,false,traffic_block,214,13,tamper,true,true,true,scheduled
SNT-2025-00508,SMMS,SMMS-00508,SNT,SNT-SIGNAL-REPLACE,SG-TITRL-19,edge,TI-TRL-UP_SUB,,40.99,41.09,UP_SUB,defect,2025-10-11,95,minor,,false,disconnection,172,6,none,true,true,true,done
ENG-2026-04017,TMS,TMS-04017,ENG,ENG-SLEEPER-RENEWAL,SL-WJCJ-02,edge,WJ-CJ-SINGLE,,89.54,90.04,SINGLE,defect,2026-09-05,2,minor,2026-11-17,false,traffic_block,431,19,none,true,true,true,scheduled
ENG-2026-04018,TMS,TMS-04018,ENG,ENG-DRAIN-CLEAR,,edge,WJ-CJ-SINGLE,,83.45,84.95,SINGLE,emergency_followup,2026-06-17,23,major,,false,none,199,7,none,true,true,false,done
ENG-2026-04019,TMS,TMS-04019,ENG,ENG-SLEEPER-RENEWAL,SL-TRLAJJ-07,edge,TRL-AJJ-DN,,52.41,52.91,DN,defect,2026-08-22,16,minor,2026-12-17,false,traffic_block,239,16,none,true,true,true,in_progress
ENG-2026-04020,TMS,TMS-04020,ENG,ENG-YARD-PWAY,BL-MAS-07,node,,MAS,0.00,0.00,,proactive,2026-01-01,147,major,,false,traffic_block,157,9,none,true,true,true,done
TRD-2025-01007,TDMS,TDMS-01007,TRD,TRD-OHE-DROPPER,CW-BBQTNP-01,edge,BBQ-TNP-DN,,2.94,3.44,DN,routine,2025-11-28,139,major,,false,power_block,91,5,OHE_tower_car,true,false,true,done
SNT-2025-00509,SMMS,SMMS-00509,SNT,SNT-TRACK-CIRCUIT,TC-MASBBQ-04,edge,MAS-BBQ-UP_SUB,,0.98,1.48,UP_SUB,overdue,2025-11-15,282,major,,false,disconnection,98,3,none,true,true,true,done
ENG-2026-04021,TMS,TMS-04021,ENG,ENG-RAIL-WELD,RL-STMPV-10,edge,STM-PV-UP,,20.59,21.59,UP,defect,2026-04-26,112,3,,false,traffic_block,259,7,none,true,false,true,deferred
ENG-2026-04022,TMS,TMS-04022,ENG,ENG-TURNOUT-OVERHAUL,TO-BBQ-09,node,,BBQ,2.00,2.00,,routine,2026-08-25,13,minor,,false,traffic_block,330,13,none,true,true,true,in_progress
ENG-2026-04023,TMS,TMS-04023,ENG,ENG-DRAIN-CLEAR,,edge,GI-STM-UP,,15.36,16.86,UP,routine,2026-05-11,64,minor,,false,none,215,7,none,true,true,false,done
ENG-2025-04024,TMS,TMS-04024,ENG,ENG-TAMPING,BL-ENRMJR-01,edge,ENR-MJR-DN,,18.79,20.79,DN,routine,2025-12-16,212,minor,,false,traffic_block,202,9,tamper,true,true,true,cancelled
TRD-2026-01008,TDMS,TDMS-01008,TRD,TRD-OHE-WIRE-RENEW,CW-MSMBM-04,edge,MS-MBM-DN_SUB,,7.50,8.50,DN_SUB,defect,2026-07-27,3,minor,,false,power_block,340,8,OHE_tower_car,true,true,true,done
ENG-2026-04025,TMS,TMS-04025,ENG,ENG-TAMPING,BL-BBQPER-03,edge,BBQ-PER-UP,,4.11,5.00,UP,routine,2026-02-12,129,minor,,false,traffic_block,244,10,tamper,true,true,true,done
TRD-2026-01009,TDMS,TDMS-01009,TRD,TRD-OHE-DROPPER,CW-ABUAVD-04,edge,ABU-AVD-DN_SUB,,18.89,19.39,DN_SUB,overdue,2026-05-26,80,minor,2026-08-04,false,power_block,96,4,OHE_tower_car,true,false,true,done
SNT-2026-00510,SMMS,SMMS-00510,SNT,SNT-AXLE-COUNTER,AC-GISTM-04,edge,GI-STM-UP_SUB,,16.70,17.00,UP_SUB,routine,2026-07-14,49,minor,,false,disconnection,88,3,none,true,true,true,done
ENG-2026-04026,TMS,TMS-04026,ENG,ENG-CURVE-REALIGN,BL-STMPV-01,edge,STM-PV-DN,,19.72,20.52,DN,overdue,2026-01-19,114,minor,,false,traffic_block,202,11,tamper,true,true,true,done
ENG-2026-04027,TMS,TMS-04027,ENG,ENG-SLEEPER-RENEWAL,SL-TRLAJJ-18,edge,TRL-AJJ-DN_SUB,,62.11,62.61,DN_SUB,defect,2026-03-11,87,minor,,false,traffic_block,246,16,none,false,true,true,done
ENG-2026-04028,TMS,TMS-04028,ENG,ENG-SLEEPER-RENEWAL,SL-PVTBM-03,edge,PV-TBM-DN_SUB,,24.05,24.55,DN_SUB,defect,2026-02-08,3,major,2026-03-24,false,traffic_block,433,17,none,true,true,true,done
ENG-2025-04029,TMS,TMS-04029,ENG,ENG-TAMPING,BL-TRLAJJ-18,edge,TRL-AJJ-DN_SUB,,59.31,61.31,DN_SUB,proactive,2025-10-10,193,major,2026-01-06,false,traffic_block,328,9,tamper,true,true,true,deferred
ENG-2026-04030,TMS,TMS-04030,ENG,ENG-RAIL-GRIND,RL-TNPENR-11,edge,TNP-ENR-UP,,7.41,10.41,UP,overdue,2026-05-14,11,3,,false,traffic_block,213,4,rail_grinder,true,false,true,done
SNT-2026-00511,SMMS,SMMS-00511,SNT,SNT-SIGNAL-LAMP,SG-TKOAJJ-01,edge,TKO-AJJ-SINGLE,,122.60,122.70,SINGLE,overdue,2026-02-20,189,minor,,false,none,53,2,none,true,false,true,done
ENG-2026-04031,TMS,TMS-04031,ENG,ENG-TURNOUT-OVERHAUL,TO-GPD-02,node,,GPD,47.00,47.00,,routine,2026-03-29,75,minor,,false,traffic_block,389,13,none,false,true,true,done
TRD-2026-01010,TDMS,TDMS-01010,TRD,TRD-OHE-MAST,MST-AVDTI-05,edge,AVD-TI-DN_SUB,,22.37,22.57,DN_SUB,routine,2026-08-19,8,major,,false,power_block,165,6,OHE_tower_car,true,true,true,done
TRD-2026-01011,TDMS,TDMS-01011,TRD,TRD-OHE-DROPPER,CW-ABUAVD-05,edge,ABU-AVD-UP,,15.18,15.68,UP,overdue,2026-04-24,25,minor,,false,power_block,121,5,OHE_tower_car,true,false,true,done
TRD-2026-01012,TDMS,TDMS-01012,TRD,TRD-OHE-INSULATOR,INS-PONGPD-06,edge,PON-GPD-UP,,45.93,46.03,UP,defect,2026-04-30,57,critical,2026-05-22,true,power_block,107,5,OHE_tower_car,false,true,true,done
ENG-2026-04032,TMS,TMS-04032,ENG,ENG-USFD-TEST,RL-ABUAVD-06,edge,ABU-AVD-DN_SUB,,19.13,21.00,DN_SUB,overdue,2026-06-29,70,2,2026-10-23,false,traffic_block,121,4,USFD_car,true,false,true,pending
SNT-2026-00512,SMMS,SMMS-00512,SNT,SNT-POINT-REPLACE,PT-CGL-08,node,,CGL,59.84,59.84,,defect,2026-09-03,3,minor,,false,disconnection,142,4,none,true,false,true,done
ENG-2026-04033,TMS,TMS-04033,ENG,ENG-USFD-TEST,RL-STMPV-01,edge,STM-PV-DN,,20.38,23.10,DN,overdue,2026-05-19,103,3,2026-07-29,false,traffic_block,97,3,USFD_car,true,false,true,done
SNT-2026-00513,SMMS,SMMS-00513,SNT,SNT-POINT-SERVICE,PT-AVD-05,node,,AVD,21.00,21.00,,routine,2026-08-02,36,minor,2026-11-28,false,disconnection,59,3,none,true,false,true,in_progress
ENG-2026-04034,TMS,TMS-04034,ENG,ENG-USFD-TEST,RL-AVDTI-03,edge,AVD-TI-DN,,23.39,29.00,DN,overdue,2026-04-11,82,2,,false,traffic_block,172,3,USFD_car,true,false,true,cancelled
ENG-2026-04035,TMS,TMS-04035,ENG,ENG-RAIL-WELD,RL-PONGPD-05,edge,PON-GPD-DN,,43.67,44.67,DN,defect,2026-08-21,17,3,2026-10-04,false,traffic_block,238,6,none,true,false,true,pending
SNT-2026-00514,SMMS,SMMS-00514,SNT,SNT-TRACK-CIRCUIT,TC-TITRL-16,edge,TI-TRL-UP_SUB,,36.19,36.69,UP_SUB,routine,2026-04-26,69,minor,,false,disconnection,99,3,none,true,true,true,done
ENG-2025-04036,TMS,TMS-04036,ENG,ENG-RAIL-RENEWAL,RL-ABUAVD-03,edge,ABU-AVD-DN,,18.89,19.39,DN,defect,2025-11-23,286,2,,false,traffic_block,472,24,none,true,true,true,done
ENG-2025-04037,TMS,TMS-04037,ENG,ENG-RAIL-GRIND,RL-TRLAJJ-16,edge,TRL-AJJ-DN,,58.76,61.76,DN,overdue,2025-10-09,202,3,,false,traffic_block,230,4,rail_grinder,true,false,true,done
TRD-2026-01013,TDMS,TDMS-01013,TRD,TRD-OHE-INSULATOR,INS-PONGPD-02,edge,PON-GPD-DN,,44.64,44.74,DN,defect,2026-02-17,167,major,,false,power_block,73,4,OHE_tower_car,true,true,true,done
SNT-2025-00515,SMMS,SMMS-00515,SNT,SNT-TRACK-CIRCUIT,TC-PERABU-06,edge,PER-ABU-DN_SUB,,13.86,14.36,DN_SUB,proactive,2025-09-11,284,major,2025-10-15,false,disconnection,81,4,none,true,true,true,done
TRD-2026-01014,TDMS,TDMS-01014,TRD,TRD-OHE-MAST,MST-TNPENR-08,edge,TNP-ENR-UP,,15.38,15.58,UP,routine,2026-04-25,41,minor,2026-07-29,false,power_block,128,6,OHE_tower_car,true,true,true,done
SNT-2026-00516,SMMS,SMMS-00516,SNT,SNT-POINT-SERVICE,PT-CGL-01,node,,CGL,59.84,59.84,,routine,2026-02-01,171,minor,2026-03-17,false,disconnection,74,4,none,true,false,true,done
SNT-2026-00517,SMMS,SMMS-00517,SNT,SNT-TRACK-CIRCUIT,TC-STMPV-01,edge,STM-PV-DN,,17.56,18.06,DN,routine,2026-01-01,95,minor,,false,disconnection,84,3,none,false,true,true,done
TRD-2025-01015,TDMS,TDMS-01015,TRD,TRD-OHE-INSULATOR,INS-MSMBM-04,edge,MS-MBM-DN_SUB,,6.47,6.57,DN_SUB,defect,2025-09-17,52,minor,,false,power_block,119,4,OHE_tower_car,true,true,true,done
TRD-2026-01016,TDMS,TDMS-01016,TRD,TRD-OHE-INSULATOR,INS-PONGPD-06,edge,PON-GPD-UP,,45.93,46.03,UP,defect,2026-03-26,44,minor,,false,power_block,86,4,OHE_tower_car,false,true,true,done
ENG-2026-04038,TMS,TMS-04038,ENG,ENG-TRACK-PATROL,,edge,BBQ-TNP-DN,,2.63,4.63,DN,overdue,2026-03-05,93,minor,,false,none,110,2,none,true,false,false,done
SNT-2026-00518,SMMS,SMMS-00518,SNT,SNT-SIGNAL-REPLACE,SG-BBQPER-03,edge,BBQ-PER-UP,,3.79,3.89,UP,emergency_followup,2026-06-27,1,critical,2026-07-22,true,disconnection,245,6,none,true,true,true,deferred
ENG-2026-04039,TMS,TMS-04039,ENG,ENG-RAIL-RENEWAL,RL-TNPENR-02,edge,TNP-ENR-DN,,12.86,13.36,DN,defect,2026-06-06,33,3,2026-07-10,false,traffic_block,313,24,none,true,true,true,done
ENG-2025-04040,TMS,TMS-04040,ENG,ENG-SLEEPER-RENEWAL,SL-TRLAJJ-01,edge,TRL-AJJ-DN,,60.93,61.43,DN,defect,2025-10-22,118,minor,2025-12-11,false,traffic_block,347,18,none,true,true,true,done
SNT-2026-00519,SMMS,SMMS-00519,SNT,SNT-TRACK-CIRCUIT,TC-GISTM-03,edge,GI-STM-UP,,16.57,17.07,UP,overdue,2026-06-15,11,major,,false,disconnection,98,3,none,true,true,true,done
ENG-2026-04041,TMS,TMS-04041,ENG,ENG-TURNOUT-OVERHAUL,TO-TRL-04,node,,TRL,42.00,42.00,,overdue,2026-07-28,32,major,,false,traffic_block,326,13,none,true,true,true,done
ENG-2026-04042,TMS,TMS-04042,ENG,ENG-RAIL-WELD,RL-AVDTI-03,edge,AVD-TI-DN,,23.39,24.39,DN,defect,2026-03-14,118,3,,false,traffic_block,218,6,none,false,false,true,done
ENG-2026-04043,TMS,TMS-04043,ENG,ENG-DESTRESSING,RL-STMPV-01,edge,STM-PV-DN,,20.38,21.38,DN,routine,2026-01-25,153,3,,false,traffic_block,204,11,none,true,false,true,done
TRD-2025-01017,TDMS,TDMS-01017,TRD,TRD-OHE-YARD,OHE-MSB-01,node,,MSB,0.00,0.00,,overdue,2025-12-06,200,minor,,false,power_block,195,5,OHE_tower_car,true,true,true,done
SNT-2026-00520,SMMS,SMMS-00520,SNT,SNT-SIGNAL-REPLACE,SG-MSMBM-03,edge,MS-MBM-DN_SUB,,7.46,7.56,DN_SUB,defect,2026-08-16,22,minor,,false,disconnection,156,6,none,true,true,true,pending
TRD-2026-01018,TDMS,TDMS-01018,TRD,TRD-OHE-INSP,OHE-PONGPD-03,edge,PON-GPD-DN,,46.17,47.00,DN,proactive,2026-05-12,29,major,,false,power_block,71,4,OHE_tower_car,false,false,true,done
TRD-2026-01019,TDMS,TDMS-01019,TRD,TRD-OHE-WIRE-RENEW,CW-STMPV-04,edge,STM-PV-DN_SUB,,21.41,22.41,DN_SUB,defect,2026-08-30,8,minor,,false,power_block,323,10,OHE_tower_car,true,true,true,scheduled
ENG-2026-04044,TMS,TMS-04044,ENG,ENG-CURVE-REALIGN,BL-ENRMJR-06,edge,ENR-MJR-UP,,23.13,23.93,UP,routine,2026-07-26,43,major,2026-11-13,false,traffic_block,168,12,tamper,true,true,true,in_progress
SNT-2026-00521,SMMS,SMMS-00521,SNT,SNT-TRACK-CIRCUIT,TC-TRLAJJ-33,edge,TRL-AJJ-UP,,54.29,54.79,UP,routine,2026-04-03,152,minor,,false,disconnection,120,4,none,true,true,true,cancelled
ENG-2026-04045,TMS,TMS-04045,ENG,ENG-RAIL-RENEWAL,RL-PONGPD-09,edge,PON-GPD-UP,,37.25,37.75,UP,defect,2026-01-26,222,3,,false,traffic_block,367,20,none,true,true,true,done
TRD-2026-01020,TDMS,TDMS-01020,TRD,TRD-OHE-MAST,MST-TRLAJJ-05,edge,TRL-AJJ-DN,,53.98,54.18,DN,proactive,2026-01-27,151,minor,,false,power_block,198,6,OHE_tower_car,false,true,true,done
ENG-2025-04046,TMS,TMS-04046,ENG,ENG-RAIL-RENEWAL,RL-ENRMJR-06,edge,ENR-MJR-DN,,21.47,21.97,DN,defect,2025-11-11,164,3,2025-12-16,false,traffic_block,514,24,none,true,true,true,done
ENG-2026-04047,TMS,TMS-04047,ENG,ENG-SLEEPER-RENEWAL,SL-TITRL-04,edge,TI-TRL-DN,,33.08,33.58,DN,defect,2026-07-29,40,major,,false,traffic_block,253,16,none,true,true,true,scheduled
ENG-2026-04048,TMS,TMS-04048,ENG,ENG-SLEEPER-RENEWAL,SL-AVDTI-09,edge,AVD-TI-UP,,22.82,23.32,UP,defect,2026-07-25,44,minor,,false,traffic_block,340,20,none,true,true,true,pending
ENG-2025-04049,TMS,TMS-04049,ENG,ENG-TURNOUT-TAMP,TO-BBQ-10,node,,BBQ,2.00,2.00,,emergency_followup,2025-11-26,176,critical,2025-12-15,true,traffic_block,199,8,tamper,true,true,true,done
ENG-2025-04050,TMS,TMS-04050,ENG,ENG-RAIL-WELD,RL-MJRPON-11,edge,MJR-PON-UP,,29.56,30.56,UP,defect,2025-11-25,112,2,,false,traffic_block,206,7,none,true,false,true,done
ENG-2026-04051,TMS,TMS-04051,ENG,ENG-RAIL-WELD,RL-TKOAJJ-07,edge,TKO-AJJ-SINGLE,,119.01,120.01,SINGLE,defect,2026-02-12,177,3,,false,traffic_block,217,7,none,true,false,true,done
TRD-2026-01021,TDMS,TDMS-01021,TRD,TRD-OHE-DROPPER,CW-MSMBM-04,edge,MS-MBM-DN_SUB,,7.50,8.00,DN_SUB,routine,2026-08-31,7,minor,2026-12-26,false,power_block,114,4,OHE_tower_car,true,false,true,in_progress
TRD-2025-01022,TDMS,TDMS-01022,TRD,TRD-SUBSTN-MAINT,SS-TBM-01,node,,TBM,29.14,29.14,,routine,2025-12-07,178,minor,,false,none,286,6,none,false,false,true,done
ENG-2026-04052,TMS,TMS-04052,ENG,ENG-SLEEPER-RENEWAL,SL-STMPV-08,edge,STM-PV-UP_SUB,,19.64,20.14,UP_SUB,defect,2026-06-08,91,major,,false,traffic_block,359,20,none,true,true,true,scheduled
ENG-2025-04053,TMS,TMS-04053,ENG,ENG-TURNOUT-TAMP,TO-MSB-06,node,,MSB,0.00,0.00,,overdue,2025-11-09,5,minor,,false,traffic_block,246,8,tamper,false,true,true,done
SNT-2026-00522,SMMS,SMMS-00522,SNT,SNT-TRACK-CIRCUIT,TC-CJTMLP-01,edge,CJ-TMLP-SINGLE,,107.06,107.56,SINGLE,emergency_followup,2026-05-03,85,major,,false,disconnection,85,3,none,true,true,true,done
ENG-2026-04054,TMS,TMS-04054,ENG,ENG-TURNOUT-OVERHAUL,TO-TRL-01,node,,TRL,42.00,42.00,,overdue,2026-06-11,47,minor,2026-08-15,false,traffic_block,243,12,none,true,true,true,done
ENG-2026-04055,TMS,TMS-04055,ENG,ENG-TURNOUT-TAMP,TO-AVD-03,node,,AVD,21.00,21.00,,routine,2026-06-02,14,minor,2026-08-11,false,traffic_block,248,8,tamper,true,true,true,done
ENG-2026-04056,TMS,TMS-04056,ENG,ENG-SLEEPER-RENEWAL,SL-WJCJ-04,edge,WJ-CJ-SINGLE,,88.24,88.74,SINGLE,defect,2026-09-06,1,major,,false,traffic_block,340,17,none,true,true,true,in_progress
TRD-2026-01023,TDMS,TDMS-01023,TRD,TRD-OHE-INSP,OHE-MBMGI-08,edge,MBM-GI-UP_SUB,,14.49,15.00,UP_SUB,overdue,2026-09-01,6,major,2026-10-06,false,power_block,107,4,OHE_tower_car,true,false,true,in_progress
SNT-2026-00523,SMMS,SMMS-00523,SNT,SNT-POINT-REPLACE,PT-MAS-09,node,,MAS,0.00,0.00,,defect,2026-08-20,9,major,,false,disconnection,189,4,none,true,false,true,done
ENG-2025-04057,TMS,TMS-04057,ENG,ENG-RAIL-RENEWAL,RL-MSBMS-10,edge,MSB-MS-UP_SUB,,2.67,3.17,UP_SUB,defect,2025-10-22,199,3,,false,traffic_block,381,24,none,true,true,true,done
TRD-2026-01024,TDMS,TDMS-01024,TRD,TRD-OHE-DROPPER,CW-MASBBQ-03,edge,MAS-BBQ-UP,,1.53,2.00,UP,emergency_followup,2026-08-10,28,major,,false,power_block,81,5,OHE_tower_car,true,false,true,in_progress
ENG-2026-04058,TMS,TMS-04058,ENG,ENG-SLEEPER-RENEWAL,SL-CGLWJ-06,edge,CGL-WJ-SINGLE,,66.93,67.43,SINGLE,proactive,2026-04-11,9,minor,,false,traffic_block,229,17,none,true,true,true,done
ENG-2026-04059,TMS,TMS-04059,ENG,ENG-SLEEPER-RENEWAL,SL-PERABU-07,edge,PER-ABU-DN_SUB,,7.02,7.52,DN_SUB,defect,2026-05-02,75,major,,false,traffic_block,420,16,none,true,true,true,done
SNT-2026-00524,SMMS,SMMS-00524,SNT,SNT-POINT-REPLACE,PT-PER-08,node,,PER,5.00,5.00,,defect,2026-07-31,29,minor,,false,disconnection,248,5,none,true,false,true,done
ENG-2026-04060,TMS,TMS-04060,ENG,ENG-SLEEPER-RENEWAL,SL-GISTM-04,edge,GI-STM-UP_SUB,,15.17,15.67,UP_SUB,defect,2026-03-03,11,minor,,false,traffic_block,300,16,none,true,true,true,done
ENG-2026-04061,TMS,TMS-04061,ENG,ENG-BRIDGE-REPAIR,BR-TNPENR-01,edge,TNP-ENR-DN,,8.69,8.79,DN,defect,2026-08-04,22,major,2026-09-21,false,traffic_block,418,12,none,false,true,false,done
ENG-2025-04062,TMS,TMS-04062,ENG,ENG-RAIL-RENEWAL,RL-MBMGI-03,edge,MBM-GI-DN_SUB,,13.10,13.60,DN_SUB,defect,2025-11-15,224,2,,false,traffic_block,432,26,none,false,true,true,done
ENG-2026-04063,TMS,TMS-04063,ENG,ENG-TRACK-PATROL,,edge,BBQ-PER-DN,,4.54,5.00,DN,proactive,2026-08-20,18,major,2026-12-07,false,none,82,2,none,true,false,false,pending
ENG-2025-04064,TMS,TMS-04064,ENG,ENG-RAIL-GRIND,RL-PONGPD-12,edge,PON-GPD-UP,,42.15,45.15,UP,overdue,2025-09-18,29,1,2025-09-28,true,traffic_block,212,4,rail_grinder,true,false,true,done
ENG-2026-04065,TMS,TMS-04065,ENG,ENG-RAIL-RENEWAL,RL-MSMBM-10,edge,MS-MBM-DN_SUB,,6.44,6.94,DN_SUB,defect,2026-06-28,40,1,2026-07-15,true,traffic_block,353,25,none,true,true,true,done
ENG-2026-04066,TMS,TMS-04066,ENG,ENG-CURVE-REALIGN,BL-WJCJ-01,edge,WJ-CJ-SINGLE,,88.34,89.14,SINGLE,routine,2026-08-19,19,minor,,false,traffic_block,162,13,tamper,false,true,true,in_progress
